p,n,poly,factorization
9679,2,x^2 + x + 3,2^5 * 3 * 5 * 11^2 * 1613
9679,3,x^3 + x^2 + 14,2 * 3^2 * 1613 * 3049 * 10243
9679,4,x^4 + x^3 + 13,2^6 * 3 * 5 * 11^2 * 701 * 1613 * 66821
9679,5,x^5 + x^4 + 4,2 * 3 * 101 * 1613 * 86905138840141
9679,6,x^6 + x^5 + 33,2^5 * 3^2 * 5 * 7 * 11^2 * 19^3 * 1613 * 1951 * 3049 * 10243
9679,7,x^7 + x^6 + 25,2 * 3 * 43 * 1613 * 674717 * 28342470481154831
9679,8,x^8 + x^7 + 13,2^7 * 3 * 5 * 11^2 * 41 * 701 * 1613 * 66821 * 107030636231801
9679,9,x^9 + x^8 + 14,2 * 3^3 * 433 * 1613 * 3049 * 10243 * 632956389187389028939
9679,10,x^10 + x^9 + 259,2^5 * 3 * 5^2 * 11^2 * 61 * 101 * 1613 * 28772477070581 * 86905138840141
9679,11,x^11 + x^10 + 5,2 * 3 * 89 * 331 * 1613 * 244980643027890547272656201119615339
9679,12,x^12 + x^11 + 54,2^6 * 3^2 * 5 * 7 * 11^2 * 13 * 19^3 * 701 * 1613 * 1951 * 3049 * 10243 * 66821 * 19764973 * 34157209
9679,13,x^13 + x^12 + 32,2 * 3 * 1613 * 76883 * 8793877855189422808192219388756869352406587
9679,14,x^14 + x^13 + 107,2^5 * 3 * 5 * 11^2 * 29 * 43 * 71 * 1613 * 3067 * 674717 * 127159999 * 1023805441 * 28342470481154831
9679,15,x^15 + x^14 + 32,2 * 3^2 * 31 * 101 * 1613 * 3049 * 10243 * 86905138840141 * 2484490571417986086064028478751
9679,16,x^16 + x^15 + 24,2^8 * 3 * 5 * 11^2 * 17 * 41 * 701 * 1613 * 66821 * 44998958708273 * 107030636231801 * 50345717858528641
9679,17,x^17 + x^16 + 2,2 * 3 * 103 * 1429 * 1613 * 1143047 * 8025016020743 * 2698387940050879 * 1628729163940976735645717
9679,18,x^18 + x^17 + 68,2^5 * 3^3 * 5 * 7 * 11^2 * 19^3 * 433 * 1613 * 1951 * 3049 * 10243 * 632956389187389028939 * 822210349552604832284083
9679,19,x^19 + x^18 + 2,2 * 3 * 229 * 1613 * 272347 * 8913240223189486881768392530022004447148017745066328945010130087
9679,20,x^20 + x^19 + 12,2^6 * 3 * 5^2 * 11^2 * 61 * 101 * 701 * 1613 * 3041 * 5821 * 66821 * 28772477070581 * 86905138840141 * 4351408891269334399973621
