p,n,poly,factorization
3541,2,x^2 + x + 18,2^3 * 3 * 5 * 7 * 11 * 23 * 59
3541,3,x^3 + x^2 + 28,2^2 * 3^2 * 5 * 19^2 * 37 * 59 * 313
3541,4,x^4 + x^3 + 18,2^4 * 3 * 5 * 7 * 11 * 13 * 23 * 59 * 277 * 1741
3541,5,x^5 + x^4 + 35,2^2 * 3 * 5^2 * 59 * 427001 * 73659281
3541,6,x^6 + x^5 + 89,2^3 * 3^2 * 5 * 7 * 11 * 19^2 * 23 * 37 * 59 * 313 * 12535141
3541,7,x^7 + x^6 + 33,2^2 * 3 * 5 * 59 * 42759529 * 46115329121443
3541,8,x^8 + x^7 + 18,2^5 * 3 * 5 * 7 * 11 * 13 * 23 * 59 * 277 * 1741 * 1018673 * 77168297
3541,9,x^9 + x^8 + 94,2^2 * 3^3 * 5 * 19^2 * 37 * 59 * 73 * 313 * 1567 * 5744370579593131
3541,10,x^10 + x^9 + 35,2^3 * 3 * 5^2 * 7 * 11 * 23 * 59 * 61 * 101 * 427001 * 73659281 * 25511140121
3541,11,x^11 + x^10 + 33,2^2 * 3 * 5 * 59 * 1528569276631 * 202813474881699912173681
3541,12,x^12 + x^11 + 96,2^4 * 3^2 * 5 * 7 * 11 * 13 * 19^2 * 23 * 37 * 59 * 277 * 313 * 1741 * 7852777 * 12535141 * 20020753
3541,13,x^13 + x^12 + 24,2^2 * 3 * 5 * 59 * 79 * 1057176251 * 46543527622668088126714579844177
3541,14,x^14 + x^13 + 94,2^3 * 3 * 5 * 7^2 * 11 * 23 * 59 * 239 * 42759529 * 46115329121443 * 1177977484313693477
3541,15,x^15 + x^14 + 38,2^2 * 3^2 * 5^2 * 19^2 * 31 * 37 * 59 * 313 * 601 * 22741 * 427001 * 5027791 * 73659281 * 11600102028901
3541,16,x^16 + x^15 + 63,2^6 * 3 * 5 * 7 * 11 * 13 * 17 * 23 * 59 * 277 * 1741 * 317729 * 1018673 * 77168297 * 2288082297893195314177
3541,17,x^17 + x^16 + 38,2^2 * 3 * 5 * 59 * 647 * 944567964543151218029231480786068963752924109177060231
3541,18,x^18 + x^17 + 35,2^3 * 3^3 * 5 * 7 * 11 * 19^2 * 23 * 37 * 59 * 73 * 313 * 1567 * 12535141 * 1581057091 * 1246832196031 * 5744370579593131
3541,19,x^19 + x^18 + 153,2^2 * 3 * 5 * 59 * 6268608838279370248440583 * 1222413607574765835571073612927746478473
3541,20,x^20 + x^19 + 90,2^4 * 3 * 5^2 * 7 * 11 * 13 * 23 * 59 * 61 * 101 * 277 * 1741 * 427001 * 73659281 * 25511140121 * 24717661443215712187451502961
3541,21,x^21 + x^20 + 35,2^2 * 3^2 * 5 * 19^2 * 37 * 43 * 59 * 313 * 1085113 * 42759529 * 522308599 * 46115329121443 * 159410842993670419791471301
3541,22,x^22 + x^21 + 18,2^3 * 3 * 5 * 7 * 11^2 * 23 * 59 * 2531 * 7129 * 1528569276631 * 202813474881699912173681 * 1561072928586618742729251709
