p,n,poly,factorization
6469,2,x^2 + x + 22,2^3 * 3 * 5 * 7^2 * 11 * 647
6469,3,x^3 + x^2 + 37,2^2 * 3^2 * 7^2 * 11 * 67 * 208231
6469,4,x^4 + x^3 + 22,2^4 * 3 * 5 * 7^2 * 11 * 13 * 37 * 41 * 647 * 1061
6469,5,x^5 + x^4 + 22,2^2 * 3 * 7^2 * 11 * 1751522596171661
6469,6,x^6 + x^5 + 22,2^3 * 3^2 * 5 * 7^2 * 11 * 67 * 647 * 4789 * 8737 * 208231
6469,7,x^7 + x^6 + 32,2^2 * 3 * 7^3 * 11 * 113 * 8597 * 10778706254248633
6469,8,x^8 + x^7 + 96,2^5 * 3 * 5 * 7^2 * 11 * 13 * 17 * 37 * 41 * 647 * 1061 * 19273 * 24329 * 109849
6469,9,x^9 + x^8 + 159,2^2 * 3^3 * 7^2 * 11 * 19 * 67 * 109 * 208231 * 22027177 * 535503990691
6469,10,x^10 + x^9 + 134,2^3 * 3 * 5^2 * 7^2 * 11 * 61 * 647 * 19081 * 300871121 * 1751522596171661
6469,11,x^11 + x^10 + 168,2^2 * 3 * 7^2 * 11^2 * 23 * 331 * 3917 * 391324072718516508325024886221
6469,12,x^12 + x^11 + 247,2^4 * 3^2 * 5 * 7^2 * 11 * 13 * 37 * 41 * 67 * 647 * 1061 * 4789 * 8737 * 208231 * 5620933 * 311558917
6469,13,x^13 + x^12 + 37,2^2 * 3 * 7^2 * 11 * 33078319 * 5551013142946129 * 29254808990238505551931
6469,14,x^14 + x^13 + 42,2^3 * 3 * 5 * 7^3 * 11 * 113 * 127 * 647 * 8597 * 2744718817 * 210210399043 * 10778706254248633
6469,15,x^15 + x^14 + 88,2^2 * 3^2 * 7^2 * 11 * 67 * 1831 * 208231 * 9359941 * 65580601 * 2728306900051 * 1751522596171661
6469,16,x^16 + x^15 + 122,2^6 * 3 * 5 * 7^2 * 11 * 13 * 17 * 37 * 41 * 647 * 1061 * 19273 * 24329 * 109849 * 74669761 * 535574737 * 38344437305953
6469,17,x^17 + x^16 + 37,2^2 * 3 * 7^2 * 11 * 443 * 632692371190169 * 51860560302302123 * 647184383800673173975801201
6469,18,x^18 + x^17 + 42,2^3 * 3^3 * 5 * 7^2 * 11 * 19 * 67 * 109 * 647 * 4789 * 8737 * 208231 * 1710091 * 22027177 * 535503990691 * 42855215713821703
6469,19,x^19 + x^18 + 466,2^2 * 3 * 7^2 * 11 * 229 * 1597 * 10068557 * 1673029117 * 3473034572661181823 * 18399906790327627465781362441
6469,20,x^20 + x^19 + 32,2^4 * 3 * 5^2 * 7^2 * 11 * 13 * 37 * 41 * 61 * 647 * 821 * 1061 * 19081 * 300871121 * 1751522596171661 * 3735545594784452416459919501
