p,n,poly,factorization
9587,2,x^2 + x + 7,2^3 * 3 * 17 * 47 * 4793
9587,3,x^3 + x^2 + 3,2 * 7 * 19 * 4793 * 691129
9587,4,x^4 + x^3 + 2,2^4 * 3 * 5 * 17 * 29 * 47 * 557 * 569 * 4793
9587,5,x^5 + x^4 + 3,2 * 31 * 4793 * 272530126853191
9587,6,x^6 + x^5 + 32,2^3 * 3^2 * 7 * 17 * 19 * 47 * 3847 * 4793 * 7963 * 691129
9587,7,x^7 + x^6 + 3,2 * 43 * 827 * 4793 * 23752709 * 919294271113
9587,8,x^8 + x^7 + 29,2^5 * 3 * 5 * 17 * 29 * 47 * 113 * 557 * 569 * 4793 * 37378551742937
9587,9,x^9 + x^8 + 79,2 * 7 * 19 * 163 * 1009 * 4793 * 7723 * 19009 * 691129 * 32156760277
9587,10,x^10 + x^9 + 19,2^3 * 3 * 11 * 17 * 31 * 47 * 4793 * 1101641 * 697032191 * 272530126853191
9587,11,x^11 + x^10 + 11,2 * 89 * 4793 * 92192783 * 532477457293 * 1501358538598879687
9587,12,x^12 + x^11 + 28,2^4 * 3^2 * 5 * 7 * 13 * 17 * 19 * 29 * 47 * 73 * 97 * 193 * 557 * 569 * 1069 * 3847 * 4793 * 7963 * 444793 * 691129
9587,13,x^13 + x^12 + 4,2 * 53 * 4793 * 31123 * 1522951 * 6946447 * 4696987042073 * 7355508300062599
9587,14,x^14 + x^13 + 43,2^3 * 3 * 17 * 43 * 47 * 827 * 4793 * 80221 * 23752709 * 919294271113 * 9677495874062560783
9587,15,x^15 + x^14 + 47,2 * 7 * 19 * 31 * 4793 * 120121 * 691129 * 272530126853191 * 594015226178735604347619481
9587,16,x^16 + x^15 + 21,2^6 * 3 * 5 * 17 * 29 * 47 * 113 * 557 * 569 * 2833 * 4793 * 61441 * 37378551742937 * 204987308531560209313537
9587,17,x^17 + x^16 + 33,2 * 103 * 409 * 4793 * 1103029 * 326096120508333382847 * 336105674746179551616934604810381
9587,18,x^18 + x^17 + 63,2^3 * 3^3 * 7 * 17 * 19 * 37 * 47 * 163 * 271 * 1009 * 3847 * 4793 * 7723 * 7963 * 19009 * 691129 * 1086931 * 32156760277 * 23746637314837
9587,19,x^19 + x^18 + 14,2 * 4793 * 468095423805702553796063887352838673800303344717789257235075004371562877
9587,20,x^20 + x^19 + 24,2^4 * 3 * 5^2 * 11 * 17 * 29 * 31 * 47 * 557 * 569 * 4793 * 1101641 * 1386821 * 697032191 * 272530126853191 * 10291327538285232669818041
