p,r,n,poly,factorization
71,1,2,x^2 + x + 11,2^4 * 3^2 * 5 * 7
71,1,3,x^3 + x^2 + 8,2 * 5 * 7 * 5113
71,1,4,x^4 + x^3 + 13,2^5 * 3^2 * 5 * 7 * 2521
71,1,5,x^5 + x^4 + 6,2 * 5^2 * 7 * 11 * 211 * 2221
71,1,6,x^6 + x^5 + 33,2^4 * 3^3 * 5 * 7 * 1657 * 5113
71,1,7,x^7 + x^6 + 10,2 * 5 * 7^2 * 883 * 21020917
71,1,8,x^8 + x^7 + 55,2^6 * 3^2 * 5 * 7 * 2521 * 12705841
71,1,9,x^9 + x^8 + 2,2 * 5 * 7 * 37 * 5113 * 3462179509
71,1,10,x^10 + x^9 + 22,2^4 * 3^2 * 5^2 * 7 * 11 * 211 * 2221 * 25058741
71,1,11,x^11 + x^10 + 64,2 * 5 * 7 * 23 * 143554218709131407
71,1,12,x^12 + 2*x^11 + 47,2^5 * 3^3 * 5 * 7 * 13 * 1657 * 2521 * 5113 * 1954357
71,1,13,x^13 + x^12 + 10,2 * 5 * 7 * 3202878953 * 5196608121641
71,1,14,x^14 + x^13 + 11,2^4 * 3^2 * 5 * 7^2 * 29 * 883 * 21020917 * 4355900459
71,1,15,x^15 + x^14 + 24,2 * 5^2 * 7 * 11 * 31 * 211 * 991 * 2221 * 5113 * 20723940961
71,1,16,x^16 + x^15 + 28,2^7 * 3^2 * 5 * 7 * 17 * 113 * 577 * 2521 * 12705841 * 291295393
71,1,17,x^17 + x^16 + 36,2 * 5 * 7 * 239 * 3652120847 * 484563667343825089
71,1,18,x^18 + 2*x^17 + 42,2^4 * 3^4 * 5 * 7 * 19 * 37 * 73 * 109 * 1657 * 5113 * 282439 * 3462179509
71,1,19,x^19 + 2*x^18 + 58,2 * 5 * 7 * 1900857799450121 * 1121659287043817009
71,1,20,x^20 + x^19 + 59,2^5 * 3^2 * 5^2 * 7 * 11 * 211 * 661 * 1301 * 2221 * 2521 * 16661 * 45061 * 25058741
71,1,21,x^21 + x^20 + 8,2 * 5 * 7^2 * 883 * 5113 * 21020917 * 9401987029 * 1720764515149
71,1,22,x^22 + x^21 + 44,2^4 * 3^2 * 5 * 7 * 23 * 419 * 5479 * 1398279582151 * 143554218709131407
71,1,23,x^23 + x^22 + 3,2 * 5 * 7 * 47^2 * 242329 * 101214532738371118365636938570353
71,1,24,x^24 + x^23 + 62,2^6 * 3^3 * 5 * 7 * 13 * 1657 * 2521 * 5113 * 87553 * 1954357 * 12705841 * 7375572577
71,1,25,x^25 + x^24 + 8,2 * 5^3 * 7 * 11 * 101 * 211 * 2221 * 20983387291613122762977433756068601
71,1,26,x^26 + 2*x^25 + 22,2^4 * 3^2 * 5 * 7 * 79 * 131 * 8893 * 677561 * 259496173 * 3202878953 * 5196608121641
71,1,27,x^27 + x^26 + 10,2 * 5 * 7 * 37 * 5113 * 435187 * 2354239 * 3462179509 * 2051747030353434227101
71,1,28,x^28 + x^27 + 7,2^5 * 3^2 * 5 * 7^2 * 29 * 883 * 2521 * 21020917 * 141392833 * 4355900459 * 116034368889937
71,1,29,x^29 + x^28 + 15,2 * 5 * 7 * 59 * 233 * 55217 * 78823 * 151381 * 76908581 * 9963552294291466709650117
71,1,30,x^30 + x^29 + 35,2^4 * 3^3 * 5^2 * 7 * 11 * 31 * 211 * 571 * 991 * 1657 * 2221 * 5113 * 25058741 * 20723940961 * 1146842069011
71,1,31,x^31 + 7*x^30 + 36,2 * 5 * 7 * 34987327501952148741715973931001901034456358966279363081
71,1,32,x^32 + x^31 + 52,2^8 * 3^2 * 5 * 7 * 17 * 113 * 577 * 2521 * 12705841 * 190404353 * 291295393 * 1095031748345506649537
71,1,33,x^33 + 4*x^32 + 8,2 * 5 * 7 * 23 * 67 * 5113 * 2472559 * 839080734031 * 75159289066365307 * 143554218709131407
71,1,34,x^34 + x^33 + 3*x + 63,2^4 * 3^2 * 5 * 7 * 239 * 953 * 3652120847 * 484563667343825089 * 431485823150027282220549337
71,1,35,x^35 + x^34 + 6*x + 43,2 * 5^2 * 7^2 * 11 * 211 * 883 * 2221 * 3851 * 21020917 * 185435951 * 27341958001 * 13596996771196629406141
71,1,36,x^36 + x^35 + 5*x + 47,2^5 * 3^4 * 5 * 7 * 13 * 19 * 37 * 73 * 109 * 1657 * 2521 * 5113 * 282439 * 1954357 * 3462179509 * 16409682740512710850321
71,1,37,x^37 + 7*x^36 + 12,2 * 5 * 7 * 5107 * 295039 * 135361815053567525209 * 21974520549331119682722178818565237501
71,1,38,x^38 + x^37 + 7*x + 52,2^4 * 3^2 * 5 * 7 * 4523 * 1900857799450121 * 1121659287043817009 * 458299666787048643771638539697
71,1,39,x^39 + x^38 + x + 15,2 * 5 * 7 * 157 * 3433 * 5113 * 7177 * 3202878953 * 5196608121641 * 68631718244527755365887349371256293
71,1,40,x^40 + x^39 + 8*x + 68,2^6 * 3^2 * 5^2 * 7 * 11 * 41 * 211 * 661 * 1301 * 2221 * 2521 * 3881 * 16661 * 45061 * 56401 * 75721 * 12705841 * 25058741 * 613624820402521
71,1,41,x^41 + 3*x^40 + 64,2 * 5 * 7 * 113892272217800388917563305886676849934477281231425494342533202719055481441
71,1,42,x^42 + x^41 + 61,2^4 * 3^3 * 5 * 7^2 * 29 * 43 * 883 * 1657 * 3529 * 5113 * 21020917 * 4355900459 * 9401987029 * 1720764515149 * 109661202782502043
71,1,43,x^43 + 7*x^42 + 43,2 * 5 * 7 * 224633 * 1024819185160151 * 5418886121812908763 * 460235512295219646338525212207902681157
71,1,44,x^44 + 2*x^43 + 61,2^5 * 3^2 * 5 * 7 * 23 * 89 * 419 * 1321 * 2521 * 5479 * 50821 * 187939093 * 1398279582151 * 143554218709131407 * 9434690832579747593
71,1,45,x^45 + x^44 + x + 6,2 * 5^2 * 7 * 11 * 31 * 37 * 211 * 991 * 2221 * 5113 * 6661 * 3462179509 * 20723940961 * 746691609426121 * 54140024877745322213776261
71,1,46,x^46 + x^45 + x + 13,2^4 * 3^2 * 5 * 7 * 47^2 * 20333 * 242329 * 285719560157 * 9067093424043575083773191 * 101214532738371118365636938570353
71,1,47,x^47 + x^46 + 10,2 * 5 * 7 * 283 * 104059 * 309167 * 5337134816430408007307 * 300245813953729034024777796807587087214920657781469
71,1,48,x^48 + x^47 + 4*x + 59,2^7 * 3^3 * 5 * 7 * 13 * 17 * 113 * 577 * 1657 * 2521 * 3889 * 5113 * 87553 * 501841 * 1954357 * 12705841 * 291295393 * 7375572577 * 213663085840829095489
71,1,49,x^49 + 7*x^48 + 38,2 * 5 * 7^3 * 883 * 21020917 * 2210773528783 * 4195901741076946933133674441093 * 8717321051346661613082049522851709
