p,e,n,poly,factorization
8597,1,2,x^2 + x + 3,2^3 * 3 * 7 * 307 * 1433
8597,1,3,x^3 + x^2 + 2,2^2 * 7 * 97 * 307 * 762031
8597,1,4,x^4 + x^3 + 30,2^4 * 3 * 5 * 7 * 307 * 1217 * 1433 * 6073
8597,1,5,x^5 + x^4 + 2,2^2 * 7 * 307 * 5463088385420461
8597,1,6,x^6 + x^5 + 14,2^3 * 3^2 * 7 * 13^2 * 97 * 307 * 1433 * 145759 * 762031
8597,1,7,x^7 + x^6 + 32,2^2 * 7^2 * 307 * 32093367181 * 1797292472641
8597,1,8,x^8 + x^7 + 2,2^5 * 3 * 5 * 7 * 307 * 1217 * 1433 * 6073 * 2731226460455641
8597,1,9,x^9 + x^8 + 65,2^2 * 7 * 19 * 97 * 307 * 762031 * 12752569 * 1666212074901973
8597,1,10,x^10 + x^9 + 3,2^3 * 3 * 7 * 11 * 307 * 1433 * 42221 * 11760234791 * 5463088385420461
8597,1,11,x^11 + x^10 + 17,2^2 * 7 * 23 * 307 * 239135173849771 * 401003802743133022496339
8597,1,12,x^12 + x^11 + 2,2^4 * 3^2 * 5 * 7 * 13^2 * 97 * 307 * 1217 * 1433 * 6073 * 18061 * 145759 * 762031 * 302444651293
8597,1,13,x^13 + x^12 + 12,2^2 * 7 * 79 * 307 * 492653195844629 * 4188371975764605991868470252991
8597,1,14,x^14 + x^13 + 59,2^3 * 3 * 7^2 * 29 * 307 * 1433 * 32093367181 * 1797292472641 * 13919801702621108234417
8597,1,15,x^15 + x^14 + 11,2^2 * 7 * 31 * 61 * 97 * 307 * 1381 * 23761 * 762031 * 5463088385420461 * 480811639188854985871
8597,1,16,x^16 + x^15 + 8,2^6 * 3 * 5 * 7 * 17 * 307 * 1217 * 1433 * 6073 * 13633 * 288487217 * 2731226460455641 * 223140544256744113
8597,1,17,x^17 + x^16 + 59,2^2 * 7 * 307 * 16261679461 * 54756534155977929231969658174634699334672183035356381
8597,1,18,x^18 + x^17 + 108,2^3 * 3^3 * 7 * 13^2 * 19 * 97 * 307 * 1433 * 145759 * 762031 * 12752569 * 1666212074901973 * 134573734873773406089919
8597,1,19,x^19 + x^18 + 59,2^2 * 7 * 307 * 2004052236083 * 730380077934921371037316253 * 44961132835999954995791932772233
8597,1,20,x^20 + x^19 + 35,2^4 * 3 * 5^2 * 7 * 11 * 307 * 1217 * 1433 * 6073 * 42221 * 33550921 * 1596006701 * 11760234791 * 111446451991561 * 5463088385420461
8597,2,2,x^4 + x^3 + 30,2^4 * 3 * 5 * 7 * 307 * 1217 * 1433 * 6073
8597,2,3,x^6 + x^5 + 14,2^3 * 3^2 * 7 * 13^2 * 97 * 307 * 1433 * 145759 * 762031
8597,2,4,x^8 + x^7 + 2,2^5 * 3 * 5 * 7 * 307 * 1217 * 1433 * 6073 * 2731226460455641
8597,2,5,x^10 + x^9 + 3,2^3 * 3 * 7 * 11 * 307 * 1433 * 42221 * 11760234791 * 5463088385420461
8597,2,6,x^12 + x^11 + 2,2^4 * 3^2 * 5 * 7 * 13^2 * 97 * 307 * 1217 * 1433 * 6073 * 18061 * 145759 * 762031 * 302444651293
8597,2,7,x^14 + x^13 + 59,2^3 * 3 * 7^2 * 29 * 307 * 1433 * 32093367181 * 1797292472641 * 13919801702621108234417
8597,2,8,x^16 + x^15 + 8,2^6 * 3 * 5 * 7 * 17 * 307 * 1217 * 1433 * 6073 * 13633 * 288487217 * 2731226460455641 * 223140544256744113
8597,2,9,x^18 + x^17 + 108,2^3 * 3^3 * 7 * 13^2 * 19 * 97 * 307 * 1433 * 145759 * 762031 * 12752569 * 1666212074901973 * 134573734873773406089919
8597,2,10,x^20 + x^19 + 35,2^4 * 3 * 5^2 * 7 * 11 * 307 * 1217 * 1433 * 6073 * 42221 * 33550921 * 1596006701 * 11760234791 * 111446451991561 * 5463088385420461
8597,3,2,x^6 + x^5 + 14,2^3 * 3^2 * 7 * 13^2 * 97 * 307 * 1433 * 145759 * 762031
8597,3,3,x^9 + x^8 + 65,2^2 * 7 * 19 * 97 * 307 * 762031 * 12752569 * 1666212074901973
8597,3,4,x^12 + x^11 + 2,2^4 * 3^2 * 5 * 7 * 13^2 * 97 * 307 * 1217 * 1433 * 6073 * 18061 * 145759 * 762031 * 302444651293
8597,3,5,x^15 + x^14 + 11,2^2 * 7 * 31 * 61 * 97 * 307 * 1381 * 23761 * 762031 * 5463088385420461 * 480811639188854985871
8597,3,6,x^18 + x^17 + 108,2^3 * 3^3 * 7 * 13^2 * 19 * 97 * 307 * 1433 * 145759 * 762031 * 12752569 * 1666212074901973 * 134573734873773406089919
8597,4,2,x^8 + x^7 + 2,2^5 * 3 * 5 * 7 * 307 * 1217 * 1433 * 6073 * 2731226460455641
8597,4,3,x^12 + x^11 + 2,2^4 * 3^2 * 5 * 7 * 13^2 * 97 * 307 * 1217 * 1433 * 6073 * 18061 * 145759 * 762031 * 302444651293
8597,4,4,x^16 + x^15 + 8,2^6 * 3 * 5 * 7 * 17 * 307 * 1217 * 1433 * 6073 * 13633 * 288487217 * 2731226460455641 * 223140544256744113
8597,4,5,x^20 + x^19 + 35,2^4 * 3 * 5^2 * 7 * 11 * 307 * 1217 * 1433 * 6073 * 42221 * 33550921 * 1596006701 * 11760234791 * 111446451991561 * 5463088385420461
8597,5,2,x^10 + x^9 + 3,2^3 * 3 * 7 * 11 * 307 * 1433 * 42221 * 11760234791 * 5463088385420461
8597,5,3,x^15 + x^14 + 11,2^2 * 7 * 31 * 61 * 97 * 307 * 1381 * 23761 * 762031 * 5463088385420461 * 480811639188854985871
8597,5,4,x^20 + x^19 + 35,2^4 * 3 * 5^2 * 7 * 11 * 307 * 1217 * 1433 * 6073 * 42221 * 33550921 * 1596006701 * 11760234791 * 111446451991561 * 5463088385420461
8597,6,2,x^12 + x^11 + 2,2^4 * 3^2 * 5 * 7 * 13^2 * 97 * 307 * 1217 * 1433 * 6073 * 18061 * 145759 * 762031 * 302444651293
8597,6,3,x^18 + x^17 + 108,2^3 * 3^3 * 7 * 13^2 * 19 * 97 * 307 * 1433 * 145759 * 762031 * 12752569 * 1666212074901973 * 134573734873773406089919
8597,7,2,x^14 + x^13 + 59,2^3 * 3 * 7^2 * 29 * 307 * 1433 * 32093367181 * 1797292472641 * 13919801702621108234417
8597,8,2,x^16 + x^15 + 8,2^6 * 3 * 5 * 7 * 17 * 307 * 1217 * 1433 * 6073 * 13633 * 288487217 * 2731226460455641 * 223140544256744113
8597,9,2,x^18 + x^17 + 108,2^3 * 3^3 * 7 * 13^2 * 19 * 97 * 307 * 1433 * 145759 * 762031 * 12752569 * 1666212074901973 * 134573734873773406089919
8597,10,2,x^20 + x^19 + 35,2^4 * 3 * 5^2 * 7 * 11 * 307 * 1217 * 1433 * 6073 * 42221 * 33550921 * 1596006701 * 11760234791 * 111446451991561 * 5463088385420461
