p,e,n,poly,factorization
5749,1,2,x^2 + x + 18,2^3 * 3 * 5^3 * 23 * 479
5749,1,3,x^3 + x^2 + 2,2^2 * 3^2 * 7 * 13 * 19 * 479 * 6373
5749,1,4,x^4 + x^3 + 2,2^4 * 3 * 5^3 * 23 * 41 * 479 * 403061
5749,1,5,x^5 + x^4 + 10,2^2 * 3 * 479 * 881 * 1240134745021
5749,1,6,x^6 + x^5 + 23,2^3 * 3^2 * 5^3 * 7 * 13 * 19 * 23 * 479 * 6373 * 33045253
5749,1,7,x^7 + x^6 + 2,2^2 * 3 * 29 * 197 * 479 * 6320699987534182027
5749,1,8,x^8 + x^7 + 33,2^5 * 3 * 5^3 * 23 * 41 * 479 * 403061 * 546184333551001
5749,1,9,x^9 + x^8 + 33,2^2 * 3^3 * 7 * 13 * 19 * 73 * 479 * 487 * 6373 * 338517227916204067
5749,1,10,x^10 + x^9 + 68,2^3 * 3 * 5^4 * 11 * 23 * 479 * 881 * 991 * 20038137601 * 1240134745021
5749,1,11,x^11 + x^10 + 23,2^2 * 3 * 479 * 115365626790616973 * 341918189884276362787
5749,1,12,x^12 + x^11 + 182,2^4 * 3^2 * 5^3 * 7 * 13 * 19 * 23 * 37 * 41 * 479 * 6373 * 403061 * 33045253 * 29523476595973
5749,1,13,x^13 + x^12 + 24,2^2 * 3 * 479 * 521 * 677 * 1596713 * 2314888085904036582919478954381681
5749,1,14,x^14 + x^13 + 30,2^3 * 3 * 5^3 * 23 * 29 * 197 * 479 * 6320699987534182027 * 36097598973468422691757
5749,1,15,x^15 + x^14 + 24,2^2 * 3^2 * 7 * 13 * 19 * 31 * 61^2 * 479 * 881 * 6373 * 73291 * 131041 * 1240134745021 * 1076920663651621
5749,1,16,x^16 + x^15 + 78,2^6 * 3 * 5^3 * 17 * 23 * 41 * 479 * 16097 * 403061 * 2521465201 * 546184333551001 * 864692374932049
5749,1,17,x^17 + x^16 + 47,2^2 * 3 * 479 * 647 * 1531 * 2671451707 * 538177687824634085606659751044467448304175199
5749,1,18,x^18 + x^17 + 62,2^3 * 3^3 * 5^3 * 7 * 13 * 19 * 23 * 73 * 181 * 479 * 487 * 6373 * 8929 * 9883 * 33045253 * 2260391464459 * 338517227916204067
5749,1,19,x^19 + x^18 + 23,2^2 * 3 * 479 * 47069231194248910980036858994914366942141767570822351400578490510751
5749,1,20,x^20 + x^19 + 38,2^4 * 3 * 5^4 * 11 * 23 * 41 * 479 * 881 * 991 * 403061 * 20038137601 * 1240134745021 * 80308210563661 * 14858621059877941
5749,1,21,x^21 + x^20 + 150,2^2 * 3^2 * 7^2 * 13 * 19 * 29 * 197 * 479 * 6373 * 8779 * 4687296307 * 6320699987534182027 * 4524459002136339188324597920831
5749,2,2,x^4 + x^3 + 2,2^4 * 3 * 5^3 * 23 * 41 * 479 * 403061
5749,2,3,x^6 + x^5 + 23,2^3 * 3^2 * 5^3 * 7 * 13 * 19 * 23 * 479 * 6373 * 33045253
5749,2,4,x^8 + x^7 + 33,2^5 * 3 * 5^3 * 23 * 41 * 479 * 403061 * 546184333551001
5749,2,5,x^10 + x^9 + 68,2^3 * 3 * 5^4 * 11 * 23 * 479 * 881 * 991 * 20038137601 * 1240134745021
5749,2,6,x^12 + x^11 + 182,2^4 * 3^2 * 5^3 * 7 * 13 * 19 * 23 * 37 * 41 * 479 * 6373 * 403061 * 33045253 * 29523476595973
5749,2,7,x^14 + x^13 + 30,2^3 * 3 * 5^3 * 23 * 29 * 197 * 479 * 6320699987534182027 * 36097598973468422691757
5749,2,8,x^16 + x^15 + 78,2^6 * 3 * 5^3 * 17 * 23 * 41 * 479 * 16097 * 403061 * 2521465201 * 546184333551001 * 864692374932049
5749,2,9,x^18 + x^17 + 62,2^3 * 3^3 * 5^3 * 7 * 13 * 19 * 23 * 73 * 181 * 479 * 487 * 6373 * 8929 * 9883 * 33045253 * 2260391464459 * 338517227916204067
5749,2,10,x^20 + x^19 + 38,2^4 * 3 * 5^4 * 11 * 23 * 41 * 479 * 881 * 991 * 403061 * 20038137601 * 1240134745021 * 80308210563661 * 14858621059877941
5749,3,2,x^6 + x^5 + 23,2^3 * 3^2 * 5^3 * 7 * 13 * 19 * 23 * 479 * 6373 * 33045253
5749,3,3,x^9 + x^8 + 33,2^2 * 3^3 * 7 * 13 * 19 * 73 * 479 * 487 * 6373 * 338517227916204067
5749,3,4,x^12 + x^11 + 182,2^4 * 3^2 * 5^3 * 7 * 13 * 19 * 23 * 37 * 41 * 479 * 6373 * 403061 * 33045253 * 29523476595973
5749,3,5,x^15 + x^14 + 24,2^2 * 3^2 * 7 * 13 * 19 * 31 * 61^2 * 479 * 881 * 6373 * 73291 * 131041 * 1240134745021 * 1076920663651621
5749,3,6,x^18 + x^17 + 62,2^3 * 3^3 * 5^3 * 7 * 13 * 19 * 23 * 73 * 181 * 479 * 487 * 6373 * 8929 * 9883 * 33045253 * 2260391464459 * 338517227916204067
5749,3,7,x^21 + x^20 + 150,2^2 * 3^2 * 7^2 * 13 * 19 * 29 * 197 * 479 * 6373 * 8779 * 4687296307 * 6320699987534182027 * 4524459002136339188324597920831
5749,4,2,x^8 + x^7 + 33,2^5 * 3 * 5^3 * 23 * 41 * 479 * 403061 * 546184333551001
5749,4,3,x^12 + x^11 + 182,2^4 * 3^2 * 5^3 * 7 * 13 * 19 * 23 * 37 * 41 * 479 * 6373 * 403061 * 33045253 * 29523476595973
5749,4,4,x^16 + x^15 + 78,2^6 * 3 * 5^3 * 17 * 23 * 41 * 479 * 16097 * 403061 * 2521465201 * 546184333551001 * 864692374932049
5749,4,5,x^20 + x^19 + 38,2^4 * 3 * 5^4 * 11 * 23 * 41 * 479 * 881 * 991 * 403061 * 20038137601 * 1240134745021 * 80308210563661 * 14858621059877941
5749,5,2,x^10 + x^9 + 68,2^3 * 3 * 5^4 * 11 * 23 * 479 * 881 * 991 * 20038137601 * 1240134745021
