p,r,n,poly,factorization
331,1,2,x^2 + x + 11,2^3 * 3 * 5 * 11 * 83
331,1,3,x^3 + x^2 + 6,2 * 3^2 * 5 * 7 * 11 * 5233
331,1,4,x^4 + x^3 + 35,2^4 * 3 * 5 * 11 * 29 * 83 * 1889
331,1,5,x^5 + x^4 + 5,2 * 3 * 5^2 * 11 * 37861 * 63601
331,1,6,x^6 + x^5 + 93,2^3 * 3^2 * 5 * 7 * 11 * 19 * 83 * 5233 * 5749
331,1,7,x^7 + x^6 + 21,2 * 3 * 5 * 11 * 2180921 * 604842197
331,1,8,x^8 + x^7 + 11,2^5 * 3 * 5 * 11 * 17 * 29 * 41 * 83 * 1889 * 8610913
331,1,9,x^9 + x^8 + 91,2 * 3^3 * 5 * 7 * 11 * 5233 * 3844747 * 114019453
331,1,10,x^10 + x^9 + 99,2^3 * 3 * 5^2 * 11 * 83 * 37861 * 48571 * 63601 * 246391
331,1,11,x^11 + x^10 + 21,2 * 3 * 5 * 11^2 * 23 * 89 * 703207451121161180833
331,1,12,x^12 + x^11 + 59,2^4 * 3^2 * 5 * 7 * 11 * 13 * 19 * 29 * 83 * 1889 * 5233 * 5749 * 923346397
331,1,13,x^13 + x^12 + 14,2 * 3 * 5 * 11 * 53 * 37181 * 10999171 * 80037421623539251
331,1,14,x^14 + x^13 + 37,2^3 * 3 * 5 * 11 * 83 * 166979 * 2180921 * 604842197 * 7852284329
331,1,15,x^15 + x^14 + 113,2 * 3^2 * 5^2 * 7 * 11 * 571 * 691 * 5233 * 37861 * 63601 * 364079103131761
331,1,16,x^16 + x^15 + 134,2^6 * 3 * 5 * 11 * 17 * 29 * 41 * 83 * 1889 * 72673 * 8610913 * 14927201 * 66411377
331,1,17,x^17 + x^16 + 104,2 * 3 * 5 * 11 * 307 * 7580566663 * 136219001651 * 65687724032159167
331,1,18,x^18 + x^17 + 59,2^3 * 3^3 * 5 * 7 * 11 * 19 * 83 * 109 * 2503 * 5233 * 5749 * 3844747 * 114019453 * 4820372533
331,1,19,x^19 + x^18 + 5,2 * 3 * 5 * 11 * 282349518620419 * 8080363351283173500917653281271
331,1,20,x^20 + x^19 + 250,2^4 * 3 * 5^2 * 11 * 29 * 83 * 181 * 1889 * 37861 * 48571 * 63601 * 95701 * 246391 * 8318115292441
331,1,21,x^21 + x^20 + 19,2 * 3^2 * 5 * 7^2 * 11 * 5233 * 2180921 * 2579683 * 3192043 * 64534387 * 463551061 * 604842197
331,1,22,x^22 + x^21 + 137,2^3 * 3 * 5 * 11^2 * 23 * 83 * 89 * 353 * 3191 * 7723 * 1809182188365619 * 703207451121161180833
