p,e,n,poly,factorization
4651,1,2,x^2 + x + 11,2^3 * 3 * 5^2 * 31 * 1163
4651,1,3,x^3 + x^2 + 5,2 * 3^2 * 5^2 * 31 * 37 * 421 * 463
4651,1,4,x^4 + x^3 + 3,2^4 * 3 * 5^2 * 31 * 1163 * 10815901
4651,1,5,x^5 + x^4 + 9,2 * 3 * 5^3 * 11 * 31 * 41 * 145391 * 1427561
4651,1,6,x^6 + x^5 + 38,2^3 * 3^2 * 5^2 * 7 * 13 * 31 * 37 * 43 * 421 * 463 * 1163 * 5527
4651,1,7,x^7 + x^6 + 88,2 * 3 * 5^2 * 31 * 14156039297 * 715203554381
4651,1,8,x^8 + x^7 + 119,2^5 * 3 * 5^2 * 31 * 113 * 1163 * 10815901 * 2070508028777
4651,1,9,x^9 + x^8 + 5,2 * 3^3 * 5^2 * 31 * 37 * 307 * 421 * 463 * 6373 * 1724544829787041
4651,1,10,x^10 + x^9 + 26,2^3 * 3 * 5^3 * 11 * 31 * 41 * 1163 * 29531 * 47591 * 145391 * 332881 * 1427561
4651,1,11,x^11 + x^10 + 165,2 * 3 * 5^2 * 31 * 17579 * 490940604492383 * 548951103683659073
4651,1,12,x^12 + x^11 + 39,2^4 * 3^2 * 5^2 * 7 * 13 * 31 * 37 * 43 * 421 * 463 * 829 * 1163 * 5527 * 10815901 * 564456927469
4651,1,13,x^13 + x^12 + 5,2 * 3 * 5^2 * 31 * 2312418752795243 * 44318288274196913711302949291
4651,1,14,x^14 + x^13 + 50,2^3 * 3 * 5^2 * 31 * 1009 * 1163 * 810391 * 14156039297 * 715203554381 * 12376529891629
4651,1,15,x^15 + x^14 + 37,2 * 3^2 * 5^3 * 11 * 31 * 37 * 41 * 61 * 421 * 463 * 145391 * 1427561 * 3441931 * 1042666294464666596911
4651,1,16,x^16 + x^15 + 12,2^6 * 3 * 5^2 * 17 * 31 * 113 * 1163 * 10815901 * 2070508028777 * 2410113146689 * 2672110215402977
4651,1,17,x^17 + x^16 + 7,2 * 3 * 5^2 * 31 * 10555403 * 1063190293973899141 * 4273158446081680584235768186699879
