p,n,poly,factorization
9041,2,x^2 + x + 3,2^5 * 3 * 5 * 11 * 113 * 137
9041,3,x^3 + x^2 + 3,2^4 * 5 * 7 * 61 * 113 * 191449
9041,4,x^4 + x^3 + 12,2^6 * 3 * 5 * 11 * 113 * 137 * 40869841
9041,5,x^5 + x^4 + 3,2^4 * 5^2 * 113 * 16111 * 207491 * 399781
9041,6,x^6 + x^5 + 22,2^5 * 3^2 * 5 * 7 * 11 * 61 * 113 * 137 * 373 * 73039 * 191449
9041,7,x^7 + x^6 + 12,2^4 * 5 * 43 * 113 * 12702183974890661052229
9041,8,x^8 + x^7 + 17,2^7 * 3 * 5 * 11 * 89 * 113 * 137 * 40869841 * 37535817134729
9041,9,x^9 + x^8 + 44,2^4 * 5 * 7 * 19 * 61 * 113 * 191449 * 28743868311762084653377
9041,10,x^10 + x^9 + 34,2^5 * 3 * 5^2 * 11 * 113 * 137 * 151 * 281 * 16111 * 207491 * 399781 * 157447067551
9041,11,x^11 + x^10 + 15,2^4 * 5 * 23 * 113 * 158666373363148120624782045131181791357
9041,12,x^12 + x^11 + 22,2^6 * 3^2 * 5 * 7 * 11 * 13 * 61 * 113 * 137 * 373 * 43969 * 73039 * 191449 * 40869841 * 11688961573
9041,13,x^13 + x^12 + 3,2^4 * 5 * 113 * 313 * 953018501964870173543903247481339501297712341
9041,14,x^14 + x^13 + 114,2^5 * 3 * 5 * 11 * 29 * 43 * 113 * 137 * 2003 * 633221 * 762791 * 19463053 * 12702183974890661052229
9041,15,x^15 + x^14 + 151,2^4 * 5^2 * 7 * 31 * 61 * 113 * 811 * 16111 * 191449 * 207491 * 399781 * 8211971491 * 216199026531986431
9041,16,x^16 + x^15 + 6,2^8 * 3 * 5 * 11 * 17 * 89 * 113 * 137 * 817073 * 31481921 * 40869841 * 37535817134729 * 51042360740161601
9041,17,x^17 + x^16 + 53,2^4 * 5 * 113 * 25603 * 141067 * 551817233956205259426896959911347804854846802752588657
9041,18,x^18 + x^17 + 136,2^5 * 3^3 * 5 * 7 * 11 * 19 * 61 * 113 * 127 * 137 * 373 * 8317 * 73039 * 191449 * 172348353299080873 * 28743868311762084653377
9041,19,x^19 + x^18 + 3,2^4 * 5 * 113 * 2699 * 66796809817841 * 903620092856216910907577637129136635795237811580628601
9041,20,x^20 + x^19 + 65,2^6 * 3 * 5^2 * 11 * 41 * 113 * 137 * 151 * 281 * 16111 * 207491 * 399781 * 40869841 * 62543281 * 157447067551 * 17408735684070499737641
