p,n,poly,factorization
4357,2,x^2 + x + 2,2^3 * 3^2 * 11^2 * 2179
4357,3,x^3 + x^2 + 21,2^2 * 3^3 * 11^2 * 6329269
4357,4,x^4 + x^3 + 92,2^4 * 3^2 * 5^2 * 11^2 * 313 * 1213 * 2179
4357,5,x^5 + x^4 + 21,2^2 * 3^2 * 11^2 * 360454065810701
4357,6,x^6 + x^5 + 5,2^3 * 3^3 * 7 * 11^2 * 613 * 2179 * 4423 * 6329269
4357,7,x^7 + x^6 + 2,2^2 * 3^2 * 11^2 * 29 * 235953840522761589383
4357,8,x^8 + x^7 + 50,2^5 * 3^2 * 5^2 * 11^2 * 313 * 1213 * 2179 * 180185667967801
4357,9,x^9 + x^8 + 2,2^2 * 3^4 * 11^2 * 19 * 199 * 433 * 1747 * 6329269 * 797290567651
4357,10,x^10 + x^9 + 128,2^3 * 3^2 * 11^2 * 101 * 2179 * 10111 * 352805291 * 360454065810701
4357,11,x^11 + x^10 + 5,2^2 * 3^2 * 11^3 * 18217 * 456189119 * 26974960811868337514819
4357,12,x^12 + x^11 + 92,2^4 * 3^3 * 5^2 * 7 * 11^2 * 13 * 313 * 613 * 1213 * 2179 * 4423 * 115861 * 6329269 * 239259721
4357,13,x^13 + x^12 + 135,2^2 * 3^2 * 11^2 * 46811268306607580981895350810721037922192101
4357,14,x^14 + x^13 + 50,2^3 * 3^2 * 11^2 * 29 * 71 * 701 * 2179 * 137419804688941783 * 235953840522761589383
4357,15,x^15 + x^14 + 2,2^2 * 3^3 * 11^2 * 211 * 6329269 * 360454065810701 * 615344517216252933445726891
4357,16,x^16 + x^15 + 21,2^6 * 3^2 * 5^2 * 11^2 * 17 * 97 * 313 * 1213 * 2179 * 180185667967801 * 39377653051549359815045249
4357,17,x^17 + x^16 + 124,2^2 * 3^2 * 11^2 * 443 * 38079998411945897784416699269063532420919655451350827907
4357,18,x^18 + x^17 + 32,2^3 * 3^4 * 7 * 11^2 * 19 * 37 * 199 * 433 * 613 * 1747 * 2179 * 4423 * 10513 * 16561 * 6329269 * 797290567651 * 1061965514377
4357,19,x^19 + x^18 + 41,2^2 * 3^2 * 11^2 * 18308363 * 3496460789 * 439945627996503793 * 11370998039838654106856222213257
4357,20,x^20 + x^19 + 18,2^4 * 3^2 * 5^3 * 11^2 * 101 * 313 * 661 * 1213 * 2179 * 10111 * 143461 * 352805291 * 360454065810701 * 273901959370971853781
4357,21,x^21 + x^20 + 63,2^2 * 3^3 * 11^2 * 29 * 43 * 463 * 6329269 * 263505103 * 235953840522761589383 * 8918925857459333355847125451387
