p,r,n,poly,factorization
4229,1,2,x^2 + x + 8,2^3 * 3^2 * 5 * 7 * 47 * 151
4229,1,3,x^3 + x^2 + 2,2^2 * 7 * 19 * 151 * 941509
4229,1,4,x^4 + x^3 + 2,2^4 * 3^2 * 5 * 7 * 17 * 47 * 151 * 229 * 2297
4229,1,5,x^5 + x^4 + 2,2^2 * 7 * 11 * 61 * 151 * 3911 * 9721 * 12541
4229,1,6,x^6 + x^5 + 2,2^3 * 3^3 * 5 * 7 * 13 * 19 * 37 * 47 * 151 * 12391 * 941509
4229,1,7,x^7 + x^6 + 12,2^2 * 7^2 * 29 * 151 * 28185956639067598337
4229,1,8,x^8 + x^7 + 21,2^5 * 3^2 * 5 * 7 * 17 * 47 * 151 * 229 * 2297 * 159926614941241
4229,1,9,x^9 + x^8 + 8,2^2 * 7 * 19 * 151 * 1279 * 941509 * 4472553728356764409
4229,1,10,x^10 + x^9 + 84,2^3 * 3^2 * 5^2 * 7 * 11 * 47 * 61 * 151 * 2731 * 3911 * 9721 * 12541 * 23418353311
4229,1,11,x^11 + x^10 + 10,2^2 * 7 * 151 * 727 * 859 * 2930569216102768174931656944307
4229,1,12,x^12 + x^11 + 115,2^4 * 3^3 * 5 * 7 * 13 * 17 * 19 * 37 * 47 * 151 * 229 * 2297 * 12391 * 941509 * 319853211998041
4229,1,13,x^13 + x^12 + 8,2^2 * 7 * 53 * 151 * 1831129 * 48770252456591719 * 6915205876576751807
4229,1,14,x^14 + x^13 + 48,2^3 * 3^2 * 5 * 7^2 * 29 * 47 * 151 * 2437 * 159853 * 1025417 * 14316821 * 28185956639067598337
4229,1,15,x^15 + x^14 + 26,2^2 * 7 * 11 * 19 * 61 * 151 * 3911 * 9721 * 12541 * 941509 * 102281897111999570578076068081
4229,1,16,x^16 + x^15 + 33,2^6 * 3^2 * 5 * 7 * 17 * 47 * 113 * 151 * 229 * 2297 * 6977 * 130241 * 159926614941241 * 498168883145741441
4229,1,17,x^17 + x^16 + 58,2^2 * 7 * 137 * 151 * 239 * 953 * 109256724786691838203 * 3070761752655329823960648617453
4229,1,18,x^18 + x^17 + 152,2^3 * 3^4 * 5 * 7 * 13 * 19 * 37 * 47 * 151 * 1279 * 12391 * 47287 * 941509 * 40323952449348553 * 4472553728356764409
4229,1,19,x^19 + x^18 + 12,2^2 * 7 * 151 * 150331079 * 1245467113611310404628565020720856291597841701390763823289
4229,1,20,x^20 + x^19 + 106,2^4 * 3^2 * 5^2 * 7 * 11 * 17 * 47 * 61 * 151 * 229 * 2297 * 2731 * 3911 * 9721 * 12541 * 17041 * 23418353311 * 6003525787562897594132641
4229,1,21,x^21 + x^20 + 51,2^2 * 7^2 * 19 * 29 * 43 * 127 * 151 * 941509 * 488013378306931 * 28185956639067598337 * 12275681472188912867855431
4229,1,22,x^22 + x^21 + 34,2^3 * 3^2 * 5 * 7 * 23 * 47 * 67 * 151 * 331 * 727 * 859 * 3103409 * 133416757 * 8661520578798407 * 2930569216102768174931656944307
4229,2,2,x^4 + x^3 + 2,2^4 * 3^2 * 5 * 7 * 17 * 47 * 151 * 229 * 2297
4229,2,3,x^6 + x^5 + 2,2^3 * 3^3 * 5 * 7 * 13 * 19 * 37 * 47 * 151 * 12391 * 941509
4229,2,4,x^8 + x^7 + 21,2^5 * 3^2 * 5 * 7 * 17 * 47 * 151 * 229 * 2297 * 159926614941241
4229,2,5,x^10 + x^9 + 84,2^3 * 3^2 * 5^2 * 7 * 11 * 47 * 61 * 151 * 2731 * 3911 * 9721 * 12541 * 23418353311
4229,2,6,x^12 + x^11 + 115,2^4 * 3^3 * 5 * 7 * 13 * 17 * 19 * 37 * 47 * 151 * 229 * 2297 * 12391 * 941509 * 319853211998041
4229,2,7,x^14 + x^13 + 48,2^3 * 3^2 * 5 * 7^2 * 29 * 47 * 151 * 2437 * 159853 * 1025417 * 14316821 * 28185956639067598337
4229,2,8,x^16 + x^15 + 33,2^6 * 3^2 * 5 * 7 * 17 * 47 * 113 * 151 * 229 * 2297 * 6977 * 130241 * 159926614941241 * 498168883145741441
4229,2,9,x^18 + x^17 + 152,2^3 * 3^4 * 5 * 7 * 13 * 19 * 37 * 47 * 151 * 1279 * 12391 * 47287 * 941509 * 40323952449348553 * 4472553728356764409
4229,2,10,x^20 + x^19 + 106,2^4 * 3^2 * 5^2 * 7 * 11 * 17 * 47 * 61 * 151 * 229 * 2297 * 2731 * 3911 * 9721 * 12541 * 17041 * 23418353311 * 6003525787562897594132641
4229,2,11,x^22 + x^21 + 34,2^3 * 3^2 * 5 * 7 * 23 * 47 * 67 * 151 * 331 * 727 * 859 * 3103409 * 133416757 * 8661520578798407 * 2930569216102768174931656944307
4229,3,2,x^6 + x^5 + 2,2^3 * 3^3 * 5 * 7 * 13 * 19 * 37 * 47 * 151 * 12391 * 941509
4229,3,3,x^9 + x^8 + 8,2^2 * 7 * 19 * 151 * 1279 * 941509 * 4472553728356764409
