p,n,poly,factorization
8573,2,x^2 + x + 7,2^3 * 3 * 1429 * 2143
8573,3,x^3 + x^2 + 30,2^2 * 37 * 1153 * 1723 * 2143
8573,4,x^4 + x^3 + 32,2^4 * 3 * 5 * 113 * 193 * 337 * 1429 * 2143
8573,5,x^5 + x^4 + 3,2^2 * 11 * 131 * 2143 * 3749021883421
8573,6,x^6 + x^5 + 22,2^3 * 3^2 * 7 * 37 * 1153 * 1429 * 1723 * 2143 * 3499417
8573,7,x^7 + x^6 + 3,2^2 * 43 * 127 * 883 * 2143 * 82340732018144461
8573,8,x^8 + x^7 + 13,2^5 * 3 * 5 * 113 * 193 * 337 * 1429 * 2143 * 6165017 * 438093713
8573,9,x^9 + x^8 + 28,2^2 * 19 * 37 * 73 * 1153 * 1723 * 2143 * 77527 * 193771 * 19053673633
8573,10,x^10 + x^9 + 28,2^3 * 3 * 11 * 41 * 131 * 1429 * 2143 * 78721 * 1673424721 * 3749021883421
8573,11,x^11 + x^10 + 57,2^2 * 67 * 1871 * 2143 * 47609 * 359369527780939228156594997491
8573,12,x^12 + x^11 + 70,2^4 * 3^2 * 5 * 7 * 13 * 37 * 113 * 193 * 337 * 1153 * 1429 * 1723 * 2143 * 3499417 * 13085389 * 31754209
8573,13,x^13 + x^12 + 2,2^2 * 2143 * 4621041655283 * 34111802040572931625352537322060407
8573,14,x^14 + x^13 + 2,2^3 * 3 * 43 * 127 * 883 * 1429 * 2143 * 321833 * 33339643 * 36995999783 * 82340732018144461
8573,15,x^15 + x^14 + 75,2^2 * 11 * 37 * 131 * 1021 * 1153 * 1723 * 2143 * 841197781 * 3749021883421 * 33969415015319276881
8573,16,x^16 + x^15 + 151,2^6 * 3 * 5 * 17 * 113 * 193 * 337 * 1429 * 2143 * 6165017 * 438093713 * 23347130393777 * 36757855310143249
8573,17,x^17 + x^16 + 17,2^2 * 953 * 2143 * 754597 * 870294193 * 16975894156049581891 * 80143650715327741875454727
8573,18,x^18 + x^17 + 57,2^3 * 3^3 * 7 * 19 * 37 * 73 * 109 * 1153 * 1429 * 1723 * 2143 * 77527 * 193771 * 3499417 * 292390291 * 19053673633 * 4152276277489
8573,19,x^19 + x^18 + 17,2^2 * 457 * 2143 * 858953 * 295521771133 * 138497836791889 * 3895143090738829151478832924246378019
8573,20,x^20 + x^19 + 23,2^4 * 3 * 5^2 * 11 * 41 * 61 * 113 * 131 * 193 * 337 * 1429 * 2143 * 78721 * 3276821 * 6906541 * 1673424721 * 3749021883421 * 4227167257759921
