p,n,poly,factorization
4057,2,x^2 + x + 5,2^4 * 3 * 13^2 * 2029
4057,3,x^3 + x^2 + 5,2^3 * 3^2 * 7 * 13^2 * 67 * 11701
4057,4,x^4 + x^3 + 5,2^5 * 3 * 5^3 * 13^2 * 2029 * 65837
4057,5,x^5 + x^4 + 5,2^3 * 3 * 11 * 13^2 * 1165201 * 21141391
4057,6,x^6 + x^5 + 45,2^4 * 3^2 * 7 * 13^2 * 67 * 2029 * 11701 * 16455193
4057,7,x^7 + x^6 + 5,2^3 * 3 * 13^2 * 4733 * 31766477 * 29664125527
4057,8,x^8 + x^7 + 111,2^6 * 3 * 5^3 * 13^2 * 89 * 2029 * 54833 * 65837 * 27756073
4057,9,x^9 + x^8 + 15,2^3 * 3^3 * 7 * 13^2 * 67 * 11701 * 6655560553 * 223318217377
4057,10,x^10 + x^9 + 10,2^4 * 3 * 11 * 13^2 * 31 * 101 * 691 * 2029 * 7001 * 17881 * 1165201 * 21141391
4057,11,x^11 + x^10 + 10,2^3 * 3 * 13^2 * 23 * 331 * 27127 * 50777 * 968474233 * 118971909590777
4057,12,x^12 + x^11 + 74,2^5 * 3^2 * 5^3 * 7 * 13^2 * 67 * 2029 * 11701 * 65837 * 16455193 * 270906861184753
4057,13,x^13 + x^12 + 79,2^3 * 3 * 13^3 * 36118142086261 * 42354386887501099492835379757
4057,14,x^14 + x^13 + 372,2^4 * 3 * 13^2 * 2029 * 4733 * 314497 * 31766477 * 29664125527 * 14174459395773769
4057,15,x^15 + x^14 + 31,2^3 * 3^2 * 7 * 11 * 13^2 * 67 * 11701 * 1165201 * 21141391 * 1599936507271 * 45859598908332631
4057,16,x^16 + x^15 + 229,2^7 * 3 * 5^3 * 13^2 * 17 * 89 * 593 * 2029 * 54833 * 65837 * 1836449 * 27756073 * 1982109208425653729
4057,17,x^17 + x^16 + 34,2^3 * 3 * 13^2 * 1021 * 587653111 * 1569452241798907 * 5721268084612224695170809526553
4057,18,x^18 + x^17 + 124,2^4 * 3^3 * 7 * 13^2 * 19 * 67 * 2029 * 11701 * 16455193 * 6655560553 * 223318217377 * 234680197625703718003
4057,19,x^19 + x^18 + 30,2^3 * 3 * 13^2 * 16607 * 1485877 * 21508609 * 54606989 * 4894417937 * 625117342689858215206298242949
4057,20,x^20 + x^19 + 122,2^5 * 3 * 5^4 * 11 * 13^2 * 31 * 41 * 101 * 241 * 691 * 2029 * 7001 * 17881 * 65837 * 1165201 * 21141391 * 1485487944457003233604021
4057,21,x^21 + x^20 + 148,2^3 * 3^2 * 7^2 * 13^2 * 43 * 67 * 337 * 4733 * 11701 * 4472539 * 31766477 * 29664125527 * 1000320366324427 * 43798918545428509
4057,22,x^22 + x^21 + 93,2^4 * 3 * 13^2 * 23 * 331 * 2029 * 4159 * 27127 * 50777 * 968474233 * 43638762443 * 118971909590777 * 6653983135324518783989
