p,r,n,poly,factorization
6481,1,2,x^2 + x + 22,2^5 * 3^4 * 5 * 7 * 463
6481,1,3,x^3 + x^2 + 19,2^4 * 3^5 * 5 * 14003281
6481,1,4,x^4 + x^3 + 21,2^6 * 3^4 * 5 * 7 * 17 * 37 * 173 * 193 * 463
6481,1,5,x^5 + x^4 + 21,2^4 * 3^4 * 5^2 * 31 * 3571 * 3187965061
6481,1,6,x^6 + x^5 + 21,2^5 * 3^5 * 5 * 7 * 463 * 1429 * 29389 * 14003281
6481,1,7,x^7 + x^6 + 21,2^4 * 3^4 * 5 * 71 * 127 * 8219720961932357711
6481,1,8,x^8 + x^7 + 41,2^7 * 3^4 * 5 * 7 * 17 * 37 * 41 * 173 * 193 * 463 * 21515638235321
6481,1,9,x^9 + x^8 + 37,2^4 * 3^6 * 5 * 271 * 32707 * 14003281 * 2786896705541653
6481,1,10,x^10 + x^9 + 44,2^5 * 3^4 * 5^2 * 7 * 11 * 31 * 101 * 463 * 3571 * 3187965061 * 1587767914951
6481,1,11,x^11 + x^10 + 21,2^4 * 3^4 * 5 * 23 * 1712818211738124151 * 3319312352312321707
6481,1,12,x^12 + x^11 + 63,2^6 * 3^5 * 5 * 7 * 13 * 17 * 37 * 173 * 193 * 463 * 1429 * 29389 * 207589 * 14003281 * 653763073
6481,1,13,x^13 + x^12 + 22,2^4 * 3^4 * 5 * 53 * 131 * 791086744965988304869883788711633461488371
6481,1,14,x^14 + x^13 + 208,2^5 * 3^4 * 5 * 7^2 * 71 * 127 * 463 * 5503 * 258012259 * 7454992819 * 8219720961932357711
6481,1,15,x^15 + x^14 + 35,2^4 * 3^5 * 5^2 * 31 * 61 * 3571 * 14003281 * 227799391 * 3187965061 * 223968407665732660171
6481,1,16,x^16 + x^15 + 56,2^8 * 3^4 * 5 * 7 * 17 * 37 * 41 * 97 * 113 * 173 * 193 * 463 * 6833 * 215329 * 13180273 * 7321796401 * 21515638235321
6481,1,17,x^17 + x^16 + 63,2^4 * 3^4 * 5 * 498380501 * 2349502919 * 17073381905730363359 * 484710884982907998238357
6481,1,18,x^18 + x^17 + 226,2^5 * 3^6 * 5 * 7 * 19 * 73 * 271 * 463 * 1429 * 29389 * 32707 * 14003281 * 2786896705541653 * 53428830450686509843
6481,1,19,x^19 + x^18 + 58,2^4 * 3^4 * 5 * 8209 * 19381 * 18241689009143407 * 140246462956883798433915092332931235360980233
6481,1,20,x^20 + x^19 + 35,2^6 * 3^4 * 5^2 * 7 * 11 * 17 * 31 * 37 * 101 * 173 * 181 * 193 * 463 * 3571 * 168761 * 3187965061 * 3242578501 * 1587767914951 * 31426426295681
6481,2,2,x^4 + x^3 + 21,2^6 * 3^4 * 5 * 7 * 17 * 37 * 173 * 193 * 463
6481,2,3,x^6 + x^5 + 21,2^5 * 3^5 * 5 * 7 * 463 * 1429 * 29389 * 14003281
6481,2,4,x^8 + x^7 + 41,2^7 * 3^4 * 5 * 7 * 17 * 37 * 41 * 173 * 193 * 463 * 21515638235321
6481,2,5,x^10 + x^9 + 44,2^5 * 3^4 * 5^2 * 7 * 11 * 31 * 101 * 463 * 3571 * 3187965061 * 1587767914951
6481,2,6,x^12 + x^11 + 63,2^6 * 3^5 * 5 * 7 * 13 * 17 * 37 * 173 * 193 * 463 * 1429 * 29389 * 207589 * 14003281 * 653763073
6481,2,7,x^14 + x^13 + 208,2^5 * 3^4 * 5 * 7^2 * 71 * 127 * 463 * 5503 * 258012259 * 7454992819 * 8219720961932357711
6481,2,8,x^16 + x^15 + 56,2^8 * 3^4 * 5 * 7 * 17 * 37 * 41 * 97 * 113 * 173 * 193 * 463 * 6833 * 215329 * 13180273 * 7321796401 * 21515638235321
6481,2,9,x^18 + x^17 + 226,2^5 * 3^6 * 5 * 7 * 19 * 73 * 271 * 463 * 1429 * 29389 * 32707 * 14003281 * 2786896705541653 * 53428830450686509843
6481,2,10,x^20 + x^19 + 35,2^6 * 3^4 * 5^2 * 7 * 11 * 17 * 31 * 37 * 101 * 173 * 181 * 193 * 463 * 3571 * 168761 * 3187965061 * 3242578501 * 1587767914951 * 31426426295681
6481,3,2,x^6 + x^5 + 21,2^5 * 3^5 * 5 * 7 * 463 * 1429 * 29389 * 14003281
6481,3,3,x^9 + x^8 + 37,2^4 * 3^6 * 5 * 271 * 32707 * 14003281 * 2786896705541653
