p,r,n,poly,factorization
8543,1,2,x^2 + x + 15,2^6 * 3 * 89 * 4271
8543,1,3,x^3 + x^2 + 2,2 * 4271 * 72991393
8543,1,4,x^4 + x^3 + 10,2^7 * 3 * 5^2 * 29 * 89 * 4271 * 50333
8543,1,5,x^5 + x^4 + 12,2 * 2711 * 4271 * 1965001775591
8543,1,6,x^6 + x^5 + 26,2^6 * 3^2 * 7 * 19 * 89 * 4271 * 182893 * 72991393
8543,1,7,x^7 + x^6 + 6,2 * 4271 * 1458157 * 140014981 * 1904296129
8543,1,8,x^8 + x^7 + 62,2^8 * 3 * 5^2 * 17 * 29 * 89 * 4271 * 8353 * 50333 * 133241 * 140761
8543,1,9,x^9 + x^8 + 24,2 * 37 * 73 * 3169 * 4271 * 55927 * 72991393 * 812071167139
8543,1,10,x^10 + x^9 + 10,2^6 * 3 * 11 * 61 * 89 * 151 * 2711 * 3931 * 4271 * 13371751 * 1965001775591
8543,1,11,x^11 + x^10 + 37,2 * 2377 * 4271 * 110771 * 7865016621824200100495807518979
8543,1,12,x^12 + x^11 + 143,2^7 * 3^2 * 5^2 * 7 * 13 * 19 * 29 * 89 * 109 * 4201 * 4271 * 50333 * 182893 * 72991393 * 894785809
8543,1,13,x^13 + x^12 + 9,2 * 53 * 4271 * 4463703401 * 638858263442091824865828184909324117
8543,1,14,x^14 + x^13 + 47,2^6 * 3 * 71 * 89 * 4271 * 1458157 * 140014981 * 1904296129 * 5474610879531255786017
8543,1,15,x^15 + x^14 + 67,2 * 31 * 2711 * 4271 * 72991393 * 77615612461 * 1965001775591 * 11790212400296836411
8543,1,16,x^16 + x^15 + 254,2^9 * 3 * 5^2 * 17 * 29 * 89 * 1361 * 4271 * 8353 * 50333 * 133241 * 140761 * 1282817 * 19238753 * 422331528805841
8543,1,17,x^17 + x^16 + 42,2 * 4271 * 61948345058317 * 12995339575131953657385396563074266923080406234053
8543,1,18,x^18 + x^17 + 93,2^6 * 3^3 * 7 * 19 * 37 * 73 * 89 * 307 * 3169 * 4271 * 55927 * 182893 * 611263 * 3486871 * 72991393 * 198033571 * 812071167139
8543,1,19,x^19 + x^18 + 2,2 * 3307 * 4271 * 108529 * 160743674480265369066172789 * 1018413776947128107132949251817552679
8543,1,20,x^20 + x^19 + 10,2^7 * 3 * 5^3 * 11 * 29 * 61 * 89 * 151 * 2711 * 2801 * 3931 * 4271 * 50333 * 13371751 * 20548217341 * 1965001775591 * 98588436926105761
8543,2,2,x^4 + x^3 + 10,2^7 * 3 * 5^2 * 29 * 89 * 4271 * 50333
8543,2,3,x^6 + x^5 + 26,2^6 * 3^2 * 7 * 19 * 89 * 4271 * 182893 * 72991393
8543,2,4,x^8 + x^7 + 62,2^8 * 3 * 5^2 * 17 * 29 * 89 * 4271 * 8353 * 50333 * 133241 * 140761
8543,2,5,x^10 + x^9 + 10,2^6 * 3 * 11 * 61 * 89 * 151 * 2711 * 3931 * 4271 * 13371751 * 1965001775591
8543,2,6,x^12 + x^11 + 143,2^7 * 3^2 * 5^2 * 7 * 13 * 19 * 29 * 89 * 109 * 4201 * 4271 * 50333 * 182893 * 72991393 * 894785809
8543,2,7,x^14 + x^13 + 47,2^6 * 3 * 71 * 89 * 4271 * 1458157 * 140014981 * 1904296129 * 5474610879531255786017
8543,2,8,x^16 + x^15 + 254,2^9 * 3 * 5^2 * 17 * 29 * 89 * 1361 * 4271 * 8353 * 50333 * 133241 * 140761 * 1282817 * 19238753 * 422331528805841
