p,n,poly,factorization
2293,2,x^2 + x + 5,2^3 * 3 * 31 * 37 * 191
2293,3,x^3 + x^2 + 15,2^2 * 3^2 * 7 * 191 * 463 * 541
2293,4,x^4 + x^3 + 29,2^4 * 3 * 5^2 * 13 * 31 * 37 * 191 * 8089
2293,5,x^5 + x^4 + 22,2^2 * 3 * 11 * 191 * 2514276146791
2293,6,x^6 + x^5 + 31,2^3 * 3^2 * 7 * 31 * 37 * 97 * 191 * 463 * 541 * 54181
2293,7,x^7 + x^6 + 29,2^2 * 3 * 191 * 145416527565418040443
2293,8,x^8 + x^7 + 6,2^5 * 3 * 5^2 * 13 * 17 * 31 * 37 * 41 * 191 * 8089 * 19831403233
2293,9,x^9 + x^8 + 73,2^2 * 3^3 * 7 * 191 * 271 * 463 * 541 * 845749 * 211393821511
2293,10,x^10 + x^9 + 46,2^3 * 3 * 11 * 31 * 37 * 191 * 2514276146791 * 27632925114601
2293,11,x^11 + x^10 + 13,2^2 * 3 * 23^2 * 67 * 191 * 2861 * 39644382364314417995001841
2293,12,x^12 + x^11 + 52,2^4 * 3^2 * 5^2 * 7 * 13 * 31 * 37 * 97 * 191 * 421 * 463 * 541 * 8089 * 54181 * 65665013893
2293,13,x^13 + x^12 + 22,2^2 * 3 * 191 * 5083594933639 * 13412746553441 * 309991254554099
2293,14,x^14 + x^13 + 41,2^3 * 3 * 31 * 37 * 191 * 184577 * 375593 * 2095752037 * 145416527565418040443
2293,15,x^15 + x^14 + 41,2^2 * 3^2 * 7 * 11 * 191 * 463 * 541 * 294181 * 2514276146791 * 2596739454036054449821
2293,16,x^16 + x^15 + 13,2^6 * 3 * 5^2 * 13 * 17 * 31 * 37 * 41 * 191 * 8089 * 27457 * 991875457 * 19831403233 * 14031115972849
2293,17,x^17 + x^16 + 87,2^2 * 3 * 191 * 553181 * 3169630759229862131 * 333256316158676711078977125191
2293,18,x^18 + x^17 + 32,2^3 * 3^3 * 7 * 19^2 * 31 * 37 * 97 * 109 * 191 * 271 * 463 * 541 * 54181 * 845749 * 211393821511 * 3693946732219657
2293,19,x^19 + x^18 + 6,2^2 * 3 * 191 * 3072291551356971314686157685479251617519852651985293960621343
2293,20,x^20 + x^19 + 103,2^4 * 3 * 5^3 * 11 * 13 * 31 * 37 * 191 * 661 * 8089 * 50652541 * 2514276146791 * 27632925114601 * 4565198381904701
2293,21,x^21 + x^20 + 55,2^2 * 3^2 * 7^2 * 43 * 191 * 463 * 541 * 32467 * 876935473 * 1250607436471 * 1970434096009 * 145416527565418040443
2293,22,x^22 + x^21 + 22,2^3 * 3 * 23^2 * 31 * 37 * 67 * 191 * 617 * 2861 * 521401 * 12485161505261728240920821 * 39644382364314417995001841
2293,23,x^23 + x^22 + 46,2^2 * 3 * 47 * 191 * 7351031 * 3899822285881475069 * 325344168631609417187 * 193751328754672627625376533
