p,n,poly,factorization
4297,2,x^2 + x + 5,2^4 * 3 * 7 * 179 * 307
4297,3,x^3 + x^2 + 7,2^3 * 3^2 * 179 * 6156169
4297,4,x^4 + x^3 + 20,2^5 * 3 * 5 * 7 * 17^2 * 179 * 307 * 6389
4297,5,x^5 + x^4 + 30,2^3 * 3 * 179 * 2111 * 78941 * 2046311
4297,6,x^6 + x^5 + 23,2^4 * 3^2 * 7 * 109 * 163 * 179 * 307 * 1039 * 6156169
4297,7,x^7 + x^6 + 63,2^3 * 3 * 71 * 179 * 282353191 * 314081353727
4297,8,x^8 + x^7 + 7,2^6 * 3 * 5 * 7 * 17^2 * 73^2 * 179 * 307 * 6389 * 60209 * 531281
4297,9,x^9 + x^8 + 42,2^3 * 3^3 * 179 * 6156169 * 11259181 * 186364876813021
4297,10,x^10 + x^9 + 63,2^4 * 3 * 7 * 11 * 61 * 179 * 307 * 2111 * 78941 * 2046311 * 507969734351
4297,11,x^11 + x^10 + 11,2^3 * 3 * 67 * 179 * 727 * 2179 * 253639 * 486971 * 4456937 * 36739441289
4297,12,x^12 + x^11 + 103,2^5 * 3^2 * 5 * 7 * 13 * 17^2 * 109 * 163 * 179 * 307 * 1039 * 6389 * 12277 * 6156169 * 2136120673
4297,13,x^13 + x^12 + 37,2^3 * 3 * 179 * 1301 * 1253664027227 * 2288044259411 * 10620927473113673
4297,14,x^14 + x^13 + 7,2^4 * 3 * 7^2 * 29 * 71 * 179 * 307 * 282353191 * 314081353727 * 31002379397195721131
4297,15,x^15 + x^14 + 5,2^3 * 3^2 * 31 * 179 * 2111 * 6871 * 78941 * 2046311 * 6156169 * 545556966791076633917401
4297,16,x^16 + x^15 + 42,2^7 * 3 * 5 * 7 * 17^2 * 73^2 * 179 * 307 * 6389 * 13649 * 60209 * 531281 * 4257866102718560643749969
4297,17,x^17 + x^16 + 38,2^3 * 3 * 137 * 179 * 4013 * 51675008527624849436669 * 475637903390920232912769757969
4297,18,x^18 + x^17 + 141,2^4 * 3^3 * 7 * 19 * 109 * 163 * 179 * 307 * 523 * 1039 * 5631679 * 6156169 * 11259181 * 112486120759 * 186364876813021
4297,19,x^19 + x^18 + 20,2^3 * 3 * 179 * 419 * 18648955279 * 675345812290642021 * 47280570217150698135980525080281227
4297,20,x^20 + x^19 + 193,2^5 * 3 * 5^2 * 7 * 11 * 17^2 * 41 * 61 * 179 * 307 * 601 * 2111 * 6389 * 78941 * 2046311 * 507969734351 * 943396960976128965690541
4297,21,x^21 + x^20 + 38,2^3 * 3^2 * 43 * 71 * 179 * 337 * 204583 * 6156169 * 282353191 * 314081353727 * 13363347562577951327255338842630373
4297,22,x^22 + x^21 + 14,2^4 * 3 * 7 * 23 * 67 * 89 * 179 * 307 * 727 * 2179 * 253639 * 486971 * 1133177 * 1298221 * 4223231 * 4456937 * 36739441289 * 168711007424917
