p,n,poly,factorization
373,2,x^2 + x + 6,2^3 * 3 * 11 * 17 * 31
373,3,x^3 + x^2 + 2,2^2 * 3^2 * 7^2 * 13 * 31 * 73
373,4,x^4 + x^3 + 42,2^4 * 3 * 5 * 11 * 17 * 31 * 13913
373,5,x^5 + x^4 + 15,2^2 * 3 * 31 * 19408913261
373,6,x^6 + x^5 + 11,2^3 * 3^2 * 7^2 * 11 * 13 * 17 * 19 * 31 * 67 * 73 * 109
373,7,x^7 + x^6 + 11,2^2 * 3 * 29 * 31 * 93115265278967
373,8,x^8 + x^7 + 2,2^5 * 3 * 5 * 11 * 17 * 31 * 13913 * 54217 * 178513
373,9,x^9 + x^8 + 24,2^2 * 3^3 * 7^2 * 13 * 31 * 73 * 739 * 28621 * 42442651
373,10,x^10 + x^9 + 61,2^3 * 3 * 11 * 17 * 31 * 41 * 461 * 1021381 * 19408913261
373,11,x^11 + x^10 + 14,2^2 * 3 * 31 * 7734564311 * 6758002609780753
373,12,x^12 + x^11 + 131,2^4 * 3^2 * 5 * 7^2 * 11 * 13 * 17 * 19 * 31 * 67 * 73 * 109 * 349 * 13913 * 55463437
373,13,x^13 + x^12 + 110,2^2 * 3 * 31 * 7272301462644558868950176734981
373,14,x^14 + x^13 + 47,2^3 * 3 * 11 * 17 * 29 * 31 * 127 * 1102669 * 19179679 * 93115265278967
373,15,x^15 + x^14 + 61,2^2 * 3^2 * 7^2 * 13 * 31 * 73 * 4261 * 19408913261 * 87698716367374621
373,16,x^16 + x^15 + 53,2^6 * 3 * 5 * 11 * 17 * 31 * 13913 * 54217 * 178513 * 187344375361201003441
373,17,x^17 + x^16 + 47,2^2 * 3 * 31 * 103 * 1366689872360946805293677612956591150247
373,18,x^18 + x^17 + 255,2^3 * 3^3 * 7^2 * 11 * 13 * 17 * 19 * 31 * 37 * 67 * 73 * 109 * 271 * 739 * 28621 * 50671 * 5300569 * 42442651
373,19,x^19 + x^18 + 32,2^2 * 3 * 31 * 7411 * 3953528893 * 668441083004002689394099751135881
373,20,x^20 + x^19 + 6,2^4 * 3 * 5^2 * 11 * 17 * 31 * 41 * 461 * 13913 * 1021381 * 19408913261 * 74937211527718060541
373,21,x^21 + x^20 + 42,2^2 * 3^2 * 7^3 * 13 * 29 * 31 * 73 * 20959 * 93115265278967 * 49302790473293653611879313
373,22,x^22 + x^21 + 211,2^3 * 3 * 11^2 * 17 * 23 * 31 * 49457299 * 7734564311 * 4155034478088451 * 6758002609780753
373,23,x^23 + x^22 + 35,2^2 * 3 * 31 * 379105593030122174590165363122556059961483842535392588203
373,24,x^24 + x^23 + 32,2^5 * 3^2 * 5 * 7^2 * 11 * 13 * 17 * 19 * 31 * 67 * 73 * 109 * 349 * 13913 * 54217 * 178513 * 2978089 * 55463437 * 125815162240969
373,25,x^25 + x^24 + 82,2^2 * 3 * 31 * 19408913261 * 1650111801095028001 * 1646884969513339979751243111136301
373,26,x^26 + x^25 + 135,2^3 * 3 * 11 * 17 * 31 * 79 * 67522937 * 4619985709 * 293510852363 * 7272301462644558868950176734981
373,27,x^27 + x^26 + 6,2^2 * 3^4 * 7^2 * 13 * 31 * 73 * 739 * 28621 * 42442651 * 4195222741 * 1551967754642081040997983523423975921
373,28,x^28 + x^27 + 72,2^4 * 3 * 5 * 11 * 17 * 29 * 31 * 127 * 337 * 13913 * 29401 * 1102669 * 19179679 * 2704225973 * 93115265278967 * 270687298347677
373,29,x^29 + 2*x^28 + 313,2^2 * 3 * 31 * 59 * 14153 * 10921318804270831894070700847303 * 111953475255292439455061146533193841
373,30,x^30 + x^29 + 141,2^3 * 3^2 * 7^2 * 11 * 13 * 17 * 19 * 31 * 41 * 67 * 73 * 109 * 461 * 1381 * 4261 * 1021381 * 19408913261 * 87698716367374621 * 272044367099715421
373,31,x^31 + x^30 + 98,2^2 * 3 * 31^2 * 4582148420784897779652991193878772545718775341270554162686155498931758968093
