p,e,n,poly,factorization
3083,1,2,x^2 + x + 11,2^3 * 3 * 23 * 67 * 257
3083,1,3,x^3 + x^2 + 21,2 * 23 * 67 * 379 * 25087
3083,1,4,x^4 + x^3 + 8,2^4 * 3 * 5 * 23 * 67 * 257 * 761 * 1249
3083,1,5,x^5 + x^4 + 3,2 * 11 * 23 * 67 * 8215657089371
3083,1,6,x^6 + x^5 + 2,2^3 * 3^2 * 7 * 23 * 67 * 223 * 257 * 379 * 2029 * 25087
3083,1,7,x^7 + x^6 + 22,2 * 23 * 67 * 71 * 743 * 4481 * 62189 * 58431409
3083,1,8,x^8 + x^7 + 58,2^5 * 3 * 5 * 23 * 67 * 257 * 521 * 761 * 1249 * 86701453841
3083,1,9,x^9 + x^8 + 4,2 * 19 * 23 * 37 * 67 * 379 * 397 * 523 * 25087 * 5882929280749
3083,1,10,x^10 + x^9 + 5,2^3 * 3 * 11 * 23 * 67 * 131 * 257 * 90371 * 7628741 * 8215657089371
3083,1,11,x^11 + x^10 + 30,2 * 23 * 67 * 1383493 * 5278813 * 10625830746129650519557
3083,1,12,x^12 + x^11 + 11,2^4 * 3^2 * 5 * 7 * 13 * 23 * 67 * 223 * 257 * 379 * 761 * 1249 * 2029 * 2857 * 25087 * 27241 * 89293
3083,1,13,x^13 + x^12 + 3,2 * 23 * 67 * 183067 * 99755978764681331 * 40390031171408420633
3083,1,14,x^14 + x^13 + 18,2^3 * 3 * 23 * 29 * 67 * 71 * 239 * 257 * 743 * 4481 * 62189 * 8102459 * 58431409 * 15285778523
3083,1,15,x^15 + x^14 + 41,2 * 11 * 23 * 31 * 67 * 379 * 25087 * 8215657089371 * 263199835585284542051128111
3083,1,16,x^16 + x^15 + 86,2^6 * 3 * 5 * 17 * 23 * 67 * 257 * 521 * 761 * 1249 * 9137 * 32008609 * 86701453841 * 820802847604561
3083,1,17,x^17 + x^16 + 43,2 * 23 * 67 * 443 * 397386885603958681 * 378529759773934609215467064887856587
3083,1,18,x^18 + x^17 + 18,2^3 * 3^3 * 7 * 19 * 23 * 37 * 67 * 223 * 257 * 271 * 379 * 397 * 523 * 2029 * 25087 * 95260897 * 11087558803 * 5882929280749
3083,1,19,x^19 + x^18 + 22,2 * 23 * 67 * 1787 * 6271 * 488567 * 26856353431613567359 * 4307564697698929748548043623513
3083,1,20,x^20 + x^19 + 185,2^4 * 3 * 5^2 * 11 * 23 * 41 * 61 * 67 * 131 * 257 * 761 * 1249 * 1381 * 90371 * 7628741 * 8215657089371 * 472618565280548234341
3083,1,21,x^21 + x^20 + 4,2 * 23 * 67 * 71 * 379 * 743 * 4481 * 25087 * 62189 * 58431409 * 28820403193 * 70578594409 * 362383444861108526857
3083,1,22,x^22 + x^21 + 18,2^3 * 3 * 23 * 67 * 89 * 257 * 463 * 1383493 * 5278813 * 15213089 * 10625830746129650519557 * 123710339560733079637649
3083,2,2,x^4 + x^3 + 8,2^4 * 3 * 5 * 23 * 67 * 257 * 761 * 1249
3083,2,3,x^6 + x^5 + 2,2^3 * 3^2 * 7 * 23 * 67 * 223 * 257 * 379 * 2029 * 25087
3083,2,4,x^8 + x^7 + 58,2^5 * 3 * 5 * 23 * 67 * 257 * 521 * 761 * 1249 * 86701453841
3083,2,5,x^10 + x^9 + 5,2^3 * 3 * 11 * 23 * 67 * 131 * 257 * 90371 * 7628741 * 8215657089371
3083,2,6,x^12 + x^11 + 11,2^4 * 3^2 * 5 * 7 * 13 * 23 * 67 * 223 * 257 * 379 * 761 * 1249 * 2029 * 2857 * 25087 * 27241 * 89293
3083,2,7,x^14 + x^13 + 18,2^3 * 3 * 23 * 29 * 67 * 71 * 239 * 257 * 743 * 4481 * 62189 * 8102459 * 58431409 * 15285778523
3083,2,8,x^16 + x^15 + 86,2^6 * 3 * 5 * 17 * 23 * 67 * 257 * 521 * 761 * 1249 * 9137 * 32008609 * 86701453841 * 820802847604561
3083,2,9,x^18 + x^17 + 18,2^3 * 3^3 * 7 * 19 * 23 * 37 * 67 * 223 * 257 * 271 * 379 * 397 * 523 * 2029 * 25087 * 95260897 * 11087558803 * 5882929280749
3083,2,10,x^20 + x^19 + 185,2^4 * 3 * 5^2 * 11 * 23 * 41 * 61 * 67 * 131 * 257 * 761 * 1249 * 1381 * 90371 * 7628741 * 8215657089371 * 472618565280548234341
3083,2,11,x^22 + x^21 + 18,2^3 * 3 * 23 * 67 * 89 * 257 * 463 * 1383493 * 5278813 * 15213089 * 10625830746129650519557 * 123710339560733079637649
3083,3,2,x^6 + x^5 + 2,2^3 * 3^2 * 7 * 23 * 67 * 223 * 257 * 379 * 2029 * 25087
3083,3,3,x^9 + x^8 + 4,2 * 19 * 23 * 37 * 67 * 379 * 397 * 523 * 25087 * 5882929280749
3083,3,4,x^12 + x^11 + 11,2^4 * 3^2 * 5 * 7 * 13 * 23 * 67 * 223 * 257 * 379 * 761 * 1249 * 2029 * 2857 * 25087 * 27241 * 89293
3083,3,5,x^15 + x^14 + 41,2 * 11 * 23 * 31 * 67 * 379 * 25087 * 8215657089371 * 263199835585284542051128111
3083,3,6,x^18 + x^17 + 18,2^3 * 3^3 * 7 * 19 * 23 * 37 * 67 * 223 * 257 * 271 * 379 * 397 * 523 * 2029 * 25087 * 95260897 * 11087558803 * 5882929280749
3083,3,7,x^21 + x^20 + 4,2 * 23 * 67 * 71 * 379 * 743 * 4481 * 25087 * 62189 * 58431409 * 28820403193 * 70578594409 * 362383444861108526857
3083,4,2,x^8 + x^7 + 58,2^5 * 3 * 5 * 23 * 67 * 257 * 521 * 761 * 1249 * 86701453841
3083,4,3,x^12 + x^11 + 11,2^4 * 3^2 * 5 * 7 * 13 * 23 * 67 * 223 * 257 * 379 * 761 * 1249 * 2029 * 2857 * 25087 * 27241 * 89293
3083,4,4,x^16 + x^15 + 86,2^6 * 3 * 5 * 17 * 23 * 67 * 257 * 521 * 761 * 1249 * 9137 * 32008609 * 86701453841 * 820802847604561
3083,4,5,x^20 + x^19 + 185,2^4 * 3 * 5^2 * 11 * 23 * 41 * 61 * 67 * 131 * 257 * 761 * 1249 * 1381 * 90371 * 7628741 * 8215657089371 * 472618565280548234341
3083,5,2,x^10 + x^9 + 5,2^3 * 3 * 11 * 23 * 67 * 131 * 257 * 90371 * 7628741 * 8215657089371
3083,5,3,x^15 + x^14 + 41,2 * 11 * 23 * 31 * 67 * 379 * 25087 * 8215657089371 * 263199835585284542051128111
3083,5,4,x^20 + x^19 + 185,2^4 * 3 * 5^2 * 11 * 23 * 41 * 61 * 67 * 131 * 257 * 761 * 1249 * 1381 * 90371 * 7628741 * 8215657089371 * 472618565280548234341
3083,6,2,x^12 + x^11 + 11,2^4 * 3^2 * 5 * 7 * 13 * 23 * 67 * 223 * 257 * 379 * 761 * 1249 * 2029 * 2857 * 25087 * 27241 * 89293
3083,6,3,x^18 + x^17 + 18,2^3 * 3^3 * 7 * 19 * 23 * 37 * 67 * 223 * 257 * 271 * 379 * 397 * 523 * 2029 * 25087 * 95260897 * 11087558803 * 5882929280749
3083,7,2,x^14 + x^13 + 18,2^3 * 3 * 23 * 29 * 67 * 71 * 239 * 257 * 743 * 4481 * 62189 * 8102459 * 58431409 * 15285778523
3083,7,3,x^21 + x^20 + 4,2 * 23 * 67 * 71 * 379 * 743 * 4481 * 25087 * 62189 * 58431409 * 28820403193 * 70578594409 * 362383444861108526857
3083,8,2,x^16 + x^15 + 86,2^6 * 3 * 5 * 17 * 23 * 67 * 257 * 521 * 761 * 1249 * 9137 * 32008609 * 86701453841 * 820802847604561
3083,9,2,x^18 + x^17 + 18,2^3 * 3^3 * 7 * 19 * 23 * 37 * 67 * 223 * 257 * 271 * 379 * 397 * 523 * 2029 * 25087 * 95260897 * 11087558803 * 5882929280749
3083,10,2,x^20 + x^19 + 185,2^4 * 3 * 5^2 * 11 * 23 * 41 * 61 * 67 * 131 * 257 * 761 * 1249 * 1381 * 90371 * 7628741 * 8215657089371 * 472618565280548234341
3083,11,2,x^22 + x^21 + 18,2^3 * 3 * 23 * 67 * 89 * 257 * 463 * 1383493 * 5278813 * 15213089 * 10625830746129650519557 * 123710339560733079637649
