p,n,poly,factorization
7643,2,x^2 + x + 2,2^3 * 3 * 7^2 * 13 * 3821
7643,3,x^3 + x^2 + 7,2 * 3821 * 4993 * 11701
7643,4,x^4 + x^3 + 6,2^4 * 3 * 5^2 * 7^2 * 13 * 149 * 3821 * 7841
7643,5,x^5 + x^4 + 4,2 * 11 * 251 * 3821 * 1236077946241
7643,6,x^6 + x^5 + 15,2^3 * 3^2 * 7^2 * 13 * 3821 * 4993 * 11701 * 19469269
7643,7,x^7 + x^6 + 84,2 * 29 * 3821 * 6874513764115396102817
7643,8,x^8 + x^7 + 11,2^5 * 3 * 5^2 * 7^2 * 13 * 73 * 149 * 3821 * 7841 * 23372360834737
7643,9,x^9 + x^8 + 3,2 * 19^2 * 3821 * 4993 * 11701 * 789337477 * 699541094881
7643,10,x^10 + x^9 + 19,2^3 * 3 * 7^2 * 11 * 13 * 71 * 251 * 881 * 1301 * 3821 * 41926351 * 1236077946241
7643,11,x^11 + x^10 + 34,2 * 89 * 1013 * 3821 * 16546883 * 697967117 * 653348369472774559
7643,12,x^12 + x^11 + 8,2^4 * 3^2 * 5^2 * 7^2 * 13 * 149 * 157 * 3821 * 4993 * 7841 * 11701 * 27361 * 19469269 * 794371789
7643,13,x^13 + x^12 + 23,2 * 131 * 3821 * 113647 * 2669278384970192558582167381537734610493
7643,14,x^14 + x^13 + 176,2^3 * 3 * 7^3 * 13 * 29 * 43 * 1163 * 3821 * 83863627 * 6789010607 * 6874513764115396102817
7643,15,x^15 + x^14 + 21,2 * 11 * 251 * 3821 * 4993 * 11701 * 180092911 * 1236077946241 * 64648348130256910911391
7643,16,x^16 + x^15 + 18,2^6 * 3 * 5^2 * 7^2 * 13 * 17 * 73 * 149 * 433 * 1873 * 3821 * 7841 * 98774593 * 23372360834737 * 4275245288596769
7643,17,x^17 + x^16 + 70,2 * 613 * 3821 * 1267480643437 * 174532684810776124317879607799036464898715033121
7643,18,x^18 + x^17 + 155,2^3 * 3^3 * 7^2 * 13 * 19^2 * 37 * 577 * 3821 * 4993 * 11701 * 19469269 * 789337477 * 699541094881 * 3112320874402005769
7643,19,x^19 + x^18 + 70,2 * 3821 * 3012109 * 9740189033 * 6342571185351616757 * 42569924436242947902314957115668317
7643,20,x^20 + x^19 + 78,2^4 * 3 * 5^3 * 7^2 * 11 * 13 * 71 * 149 * 251 * 881 * 1301 * 3821 * 7841 * 41926351 * 7879846981 * 1236077946241 * 295544635595757162521
