p,n,poly,factorization
9151,2,x^2 + x + 3,2^7 * 3 * 5^2 * 11 * 13 * 61
9151,3,x^3 + x^2 + 5,2 * 3^2 * 5^2 * 7 * 61 * 3988093
9151,4,x^4 + x^3 + 3,2^8 * 3 * 5^2 * 11 * 13 * 61 * 41870401
9151,5,x^5 + x^4 + 9,2 * 3 * 5^3 * 61 * 969851 * 1446260951
9151,6,x^6 + x^5 + 12,2^7 * 3^2 * 5^2 * 7 * 11 * 13 * 19 * 31 * 61 * 142159 * 3988093
9151,7,x^7 + x^6 + 2,2 * 3 * 5^2 * 29 * 43 * 61 * 337 * 1397534182102156463
9151,8,x^8 + x^7 + 39,2^9 * 3 * 5^2 * 11 * 13 * 61 * 97 * 41870401 * 36147019340833
9151,9,x^9 + x^8 + 41,2 * 3^3 * 5^2 * 7 * 37 * 61 * 3988093 * 614368621 * 8611113774763
9151,10,x^10 + x^9 + 56,2^7 * 3 * 5^3 * 11 * 13 * 61 * 401 * 969851 * 1446260951 * 17485674622901
9151,11,x^11 + x^10 + 40,2 * 3 * 5^2 * 61 * 20747 * 103676122384979 * 1914692173943181374897
9151,12,x^12 + x^11 + 12,2^8 * 3^2 * 5^2 * 7 * 11 * 13 * 19 * 31 * 61 * 577 * 142159 * 3988093 * 41870401 * 12153417102913
9151,13,x^13 + x^12 + 9,2 * 3 * 5^2 * 61 * 131 * 48049 * 3658702030824677981 * 14975710460867645610967
9151,14,x^14 + x^13 + 12,2^7 * 3 * 5^2 * 11 * 13 * 29 * 43 * 61 * 337 * 1397534182102156463 * 587170023977788176154951
9151,15,x^15 + x^14 + 25,2 * 3^2 * 5^3 * 7 * 61 * 80911 * 111271 * 969851 * 3988093 * 36039511 * 1446260951 * 151541831598511
9151,16,x^16 + x^15 + 193,2^10 * 3 * 5^2 * 11 * 13 * 17 * 61 * 97 * 51473 * 736721 * 23853793 * 41870401 * 1598930361137 * 36147019340833
9151,17,x^17 + x^16 + 58,2 * 3 * 5^2 * 61 * 3426487 * 705822109764391611966339289317957270167079519104675824391
9151,18,x^18 + x^17 + 381,2^7 * 3^3 * 5^2 * 7 * 11 * 13 * 19 * 31 * 37 * 61 * 163 * 181 * 142159 * 3988093 * 614368621 * 8611113774763 * 19904219521805240317
9151,19,x^19 + x^18 + 94,2 * 3 * 5^2 * 61 * 4903 * 269041 * 379921250617009 * 404117362276447153640996102210061840146967678967
9151,20,x^20 + x^19 + 278,2^8 * 3 * 5^3 * 11 * 13 * 41 * 61 * 401 * 541 * 111641 * 969851 * 1139141 * 41870401 * 1446260951 * 17485674622901 * 17432758530520241
