p,e,n,poly,factorization
4019,1,2,x^2 + x + 6,2^3 * 3 * 5 * 7^2 * 41 * 67
4019,1,3,x^3 + x^2 + 5,2 * 7^2 * 41 * 829 * 19489
4019,1,4,x^4 + x^3 + 8,2^4 * 3 * 5 * 7^2 * 29 * 41 * 67 * 278489
4019,1,5,x^5 + x^4 + 25,2 * 7^2 * 11 * 41 * 131 * 4051 * 4391 * 10181
4019,1,6,x^6 + x^5 + 8,2^3 * 3^2 * 5 * 7^2 * 41 * 67 * 829 * 19489 * 5382781
4019,1,7,x^7 + x^6 + 4,2 * 7^3 * 41 * 10726547063 * 56138154101
4019,1,8,x^8 + x^7 + 17,2^5 * 3 * 5 * 7^2 * 29 * 41 * 67 * 278489 * 2117561 * 61603601
4019,1,9,x^9 + x^8 + 16,2 * 7^2 * 41 * 73 * 829 * 19489 * 24933583 * 2315263819699
4019,1,10,x^10 + x^9 + 6,2^3 * 3 * 5^2 * 7^2 * 11 * 41 * 67 * 131 * 4051 * 4391 * 10181 * 52166773136761
4019,1,11,x^11 + x^10 + 16,2 * 7^2 * 41 * 1099735224445520296295096936389029901
4019,1,12,x^12 + x^11 + 44,2^4 * 3^2 * 5 * 7^2 * 13 * 29 * 37 * 41 * 67 * 829 * 12037 * 19489 * 278489 * 5382781 * 45061813
4019,1,13,x^13 + x^12 + 26,2 * 7^2 * 41 * 53 * 138373 * 1225573799310043 * 1976320856213374484243
4019,1,14,x^14 + x^13 + 21,2^3 * 3 * 5 * 7^3 * 41 * 67 * 113 * 239 * 768377 * 10726547063 * 56138154101 * 203024892533
4019,1,15,x^15 + x^14 + 110,2 * 7^2 * 11 * 31 * 41 * 131 * 829 * 4051 * 4391 * 9241 * 10181 * 19489 * 1563329791 * 151951400684761
4019,1,16,x^16 + x^15 + 32,2^6 * 3 * 5 * 7^2 * 17 * 29 * 41 * 67 * 9521 * 19457 * 278489 * 2117561 * 61603601 * 10807038246111237329
4019,1,17,x^17 + x^16 + 23,2 * 7^2 * 41 * 4634428357056524094275270112238036268732742651439283929441
4019,1,18,x^18 + x^17 + 90,2^3 * 3^3 * 5 * 7^2 * 19 * 41 * 67 * 73 * 829 * 991 * 19489 * 63127 * 5382781 * 24933583 * 1181801062927 * 2315263819699
4019,1,19,x^19 + x^18 + 5,2 * 7^2 * 41 * 419 * 167374169123089 * 1067406217454576118224866087438140908959496333231
4019,1,20,x^20 + x^19 + 2,2^4 * 3 * 5^2 * 7^2 * 11 * 29 * 41 * 67 * 131 * 4051 * 4391 * 10181 * 278489 * 25708541 * 52166773136761 * 2647686689828604977381
4019,1,21,x^21 + x^20 + 95,2 * 7^3 * 41 * 829 * 967 * 19489 * 281569177 * 10726547063 * 56138154101 * 65207329579358073700301117942359
4019,1,22,x^22 + x^21 + 29,2^3 * 3 * 5 * 7^2 * 23 * 41 * 67 * 353 * 131143 * 48384293 * 1839792923 * 11597143097 * 1099735224445520296295096936389029901
4019,2,2,x^4 + x^3 + 8,2^4 * 3 * 5 * 7^2 * 29 * 41 * 67 * 278489
4019,2,3,x^6 + x^5 + 8,2^3 * 3^2 * 5 * 7^2 * 41 * 67 * 829 * 19489 * 5382781
4019,2,4,x^8 + x^7 + 17,2^5 * 3 * 5 * 7^2 * 29 * 41 * 67 * 278489 * 2117561 * 61603601
4019,2,5,x^10 + x^9 + 6,2^3 * 3 * 5^2 * 7^2 * 11 * 41 * 67 * 131 * 4051 * 4391 * 10181 * 52166773136761
4019,2,6,x^12 + x^11 + 44,2^4 * 3^2 * 5 * 7^2 * 13 * 29 * 37 * 41 * 67 * 829 * 12037 * 19489 * 278489 * 5382781 * 45061813
4019,2,7,x^14 + x^13 + 21,2^3 * 3 * 5 * 7^3 * 41 * 67 * 113 * 239 * 768377 * 10726547063 * 56138154101 * 203024892533
4019,2,8,x^16 + x^15 + 32,2^6 * 3 * 5 * 7^2 * 17 * 29 * 41 * 67 * 9521 * 19457 * 278489 * 2117561 * 61603601 * 10807038246111237329
4019,2,9,x^18 + x^17 + 90,2^3 * 3^3 * 5 * 7^2 * 19 * 41 * 67 * 73 * 829 * 991 * 19489 * 63127 * 5382781 * 24933583 * 1181801062927 * 2315263819699
4019,2,10,x^20 + x^19 + 2,2^4 * 3 * 5^2 * 7^2 * 11 * 29 * 41 * 67 * 131 * 4051 * 4391 * 10181 * 278489 * 25708541 * 52166773136761 * 2647686689828604977381
4019,2,11,x^22 + x^21 + 29,2^3 * 3 * 5 * 7^2 * 23 * 41 * 67 * 353 * 131143 * 48384293 * 1839792923 * 11597143097 * 1099735224445520296295096936389029901
4019,3,2,x^6 + x^5 + 8,2^3 * 3^2 * 5 * 7^2 * 41 * 67 * 829 * 19489 * 5382781
4019,3,3,x^9 + x^8 + 16,2 * 7^2 * 41 * 73 * 829 * 19489 * 24933583 * 2315263819699
4019,3,4,x^12 + x^11 + 44,2^4 * 3^2 * 5 * 7^2 * 13 * 29 * 37 * 41 * 67 * 829 * 12037 * 19489 * 278489 * 5382781 * 45061813
4019,3,5,x^15 + x^14 + 110,2 * 7^2 * 11 * 31 * 41 * 131 * 829 * 4051 * 4391 * 9241 * 10181 * 19489 * 1563329791 * 151951400684761
4019,3,6,x^18 + x^17 + 90,2^3 * 3^3 * 5 * 7^2 * 19 * 41 * 67 * 73 * 829 * 991 * 19489 * 63127 * 5382781 * 24933583 * 1181801062927 * 2315263819699
4019,3,7,x^21 + x^20 + 95,2 * 7^3 * 41 * 829 * 967 * 19489 * 281569177 * 10726547063 * 56138154101 * 65207329579358073700301117942359
4019,4,2,x^8 + x^7 + 17,2^5 * 3 * 5 * 7^2 * 29 * 41 * 67 * 278489 * 2117561 * 61603601
