p,n,poly,factorization
5669,2,x^2 + x + 12,2^3 * 3^4 * 5 * 7 * 13 * 109
5669,3,x^3 + x^2 + 26,2^2 * 13 * 19 * 43 * 109 * 39343
5669,4,x^4 + x^3 + 23,2^4 * 3^4 * 5 * 7 * 13 * 109 * 16068781
5669,5,x^5 + x^4 + 28,2^2 * 11 * 13 * 109 * 1377031 * 68197121
5669,6,x^6 + x^5 + 122,2^3 * 3^5 * 5 * 7 * 13 * 19 * 43 * 109 * 39343 * 10710631
5669,7,x^7 + x^6 + 53,2^2 * 13 * 109 * 27539 * 436004003 * 2764882723
5669,8,x^8 + x^7 + 75,2^5 * 3^4 * 5 * 7 * 13 * 17 * 109 * 16068781 * 30377141971433
5669,9,x^9 + x^8 + 3,2^2 * 13 * 19 * 43 * 109 * 3529 * 39343 * 3043387 * 3090508215517
5669,10,x^10 + x^9 + 23,2^3 * 3^4 * 5^2 * 7 * 11 * 13 * 31 * 109 * 281 * 27271 * 869381 * 1377031 * 68197121
5669,11,x^11 + x^10 + 53,2^2 * 13 * 109 * 34287923546071057766607271771668384151
5669,12,x^12 + x^11 + 39,2^4 * 3^5 * 5 * 7 * 13 * 19 * 37 * 43 * 109 * 1237 * 39343 * 10710631 * 16068781 * 22565989969
5669,13,x^13 + x^12 + 51,2^2 * 13^2 * 109 * 168247 * 503806095765426805785479754630701275471
5669,14,x^14 + x^13 + 3,2^3 * 3^4 * 5 * 7^2 * 13 * 109 * 491 * 4243 * 27539 * 436004003 * 2764882723 * 2275671529356107
5669,15,x^15 + x^14 + 40,2^2 * 11 * 13 * 19 * 43 * 61 * 109 * 661 * 39343 * 358051 * 1377031 * 7613791 * 68197121 * 9702818416261
5669,16,x^16 + x^15 + 22,2^6 * 3^4 * 5 * 7 * 13 * 17 * 109 * 241 * 641 * 172849 * 249089 * 16068781 * 30377141971433 * 80190914780881
5669,17,x^17 + x^16 + 33,2^2 * 13 * 109 * 36313 * 2161567069 * 14499368323807052117621741968590542744111199853
5669,18,x^18 + x^17 + 118,2^3 * 3^6 * 5 * 7 * 13 * 19 * 43 * 109 * 397 * 3529 * 39343 * 3043387 * 10710631 * 3090508215517 * 27869359030768918603
5669,19,x^19 + x^18 + 39,2^2 * 13 * 109 * 457 * 1118911 * 490642029422893 * 67903150573348515617 * 2146972217526228025618733
5669,20,x^20 + x^19 + 199,2^4 * 3^4 * 5^2 * 7 * 11 * 13 * 31 * 109 * 281 * 941 * 16481 * 27271 * 32401 * 869381 * 1377031 * 16068781 * 68197121 * 2122853604120598501
5669,21,x^21 + x^20 + 79,2^2 * 13 * 19 * 43 * 109 * 27539 * 39343 * 1172179 * 436004003 * 2764882723 * 19949544007 * 47105753873605882119540463477
