p,r,n,poly,factorization
7309,1,2,x^2 + x + 24,2^3 * 3^2 * 5 * 7 * 17 * 29 * 43
7309,1,3,x^3 + x^2 + 24,2^2 * 3^3 * 7 * 13 * 29 * 1369969
7309,1,4,x^4 + x^3 + 37,2^4 * 3^2 * 5 * 7 * 17 * 29 * 43 * 61 * 437881
7309,1,5,x^5 + x^4 + 24,2^2 * 3^2 * 7 * 11 * 29 * 259476831206071
7309,1,6,x^6 + x^5 + 19,2^3 * 3^3 * 5 * 7 * 13 * 17 * 29 * 43 * 73 * 409 * 1789 * 1369969
7309,1,7,x^7 + x^6 + 6,2^2 * 3^2 * 7^2 * 29 * 421 * 39383 * 1313766741109271
7309,1,8,x^8 + x^7 + 30,2^5 * 3^2 * 5 * 7 * 17 * 29 * 43 * 61 * 437881 * 1426927316116681
7309,1,9,x^9 + x^8 + 157,2^2 * 3^4 * 7 * 13 * 29 * 2917 * 67933 * 168697 * 1369969 * 1520204221
7309,1,10,x^10 + x^9 + 31,2^3 * 3^2 * 5^2 * 7 * 11 * 17 * 29 * 43 * 5281 * 108065299301 * 259476831206071
7309,1,11,x^11 + x^10 + 6,2^2 * 3^2 * 7 * 23 * 29 * 11063151221 * 26869219071619 * 63646908404663
7309,1,12,x^12 + x^11 + 10,2^4 * 3^3 * 5 * 7 * 13 * 17 * 29 * 43 * 61 * 73 * 409 * 1789 * 437881 * 1369969 * 4397389 * 648988429
7309,1,13,x^13 + x^12 + 42,2^2 * 3^2 * 7 * 29 * 13469 * 85251188534708171 * 20245064765355216787526059
7309,1,14,x^14 + x^13 + 19,2^3 * 3^2 * 5 * 7^2 * 17 * 29 * 43 * 239 * 421 * 449 * 39383 * 1313766741109271 * 1420509407633641627
7309,1,15,x^15 + x^14 + 43,2^2 * 3^3 * 7 * 11 * 13 * 29 * 1201 * 2791 * 730321 * 1369969 * 259476831206071 * 3326500853757822151
7309,1,16,x^16 + x^15 + 37,2^6 * 3^2 * 5 * 7 * 17 * 29 * 43 * 61 * 437881 * 1426927316116681 * 4072243130959906082805380678161
7309,1,17,x^17 + x^16 + 31,2^2 * 3^2 * 7 * 29 * 27031 * 2454283348332732136526596102678676314479214304911900491191
7309,1,18,x^18 + x^17 + 53,2^3 * 3^4 * 5 * 7 * 13 * 17 * 19 * 29 * 43 * 73 * 409 * 1789 * 2917 * 67933 * 168697 * 1369969 * 9207721 * 1520204221 * 871449086399887
7309,1,19,x^19 + x^18 + 151,2^2 * 3^2 * 7 * 29 * 181049989319516665529689 * 19575111008689524031202929769398495056387295999
7309,1,20,x^20 + x^19 + 72,2^4 * 3^2 * 5^2 * 7 * 11 * 17 * 29 * 43 * 61 * 5281 * 437881 * 25441420001 * 108065299301 * 259476831206071 * 320127025501821320561
7309,2,2,x^4 + x^3 + 37,2^4 * 3^2 * 5 * 7 * 17 * 29 * 43 * 61 * 437881
7309,2,3,x^6 + x^5 + 19,2^3 * 3^3 * 5 * 7 * 13 * 17 * 29 * 43 * 73 * 409 * 1789 * 1369969
7309,2,4,x^8 + x^7 + 30,2^5 * 3^2 * 5 * 7 * 17 * 29 * 43 * 61 * 437881 * 1426927316116681
7309,2,5,x^10 + x^9 + 31,2^3 * 3^2 * 5^2 * 7 * 11 * 17 * 29 * 43 * 5281 * 108065299301 * 259476831206071
7309,2,6,x^12 + x^11 + 10,2^4 * 3^3 * 5 * 7 * 13 * 17 * 29 * 43 * 61 * 73 * 409 * 1789 * 437881 * 1369969 * 4397389 * 648988429
7309,2,7,x^14 + x^13 + 19,2^3 * 3^2 * 5 * 7^2 * 17 * 29 * 43 * 239 * 421 * 449 * 39383 * 1313766741109271 * 1420509407633641627
7309,2,8,x^16 + x^15 + 37,2^6 * 3^2 * 5 * 7 * 17 * 29 * 43 * 61 * 437881 * 1426927316116681 * 4072243130959906082805380678161
7309,2,9,x^18 + x^17 + 53,2^3 * 3^4 * 5 * 7 * 13 * 17 * 19 * 29 * 43 * 73 * 409 * 1789 * 2917 * 67933 * 168697 * 1369969 * 9207721 * 1520204221 * 871449086399887
7309,2,10,x^20 + x^19 + 72,2^4 * 3^2 * 5^2 * 7 * 11 * 17 * 29 * 43 * 61 * 5281 * 437881 * 25441420001 * 108065299301 * 259476831206071 * 320127025501821320561
7309,3,2,x^6 + x^5 + 19,2^3 * 3^3 * 5 * 7 * 13 * 17 * 29 * 43 * 73 * 409 * 1789 * 1369969
7309,3,3,x^9 + x^8 + 157,2^2 * 3^4 * 7 * 13 * 29 * 2917 * 67933 * 168697 * 1369969 * 1520204221
7309,3,4,x^12 + x^11 + 10,2^4 * 3^3 * 5 * 7 * 13 * 17 * 29 * 43 * 61 * 73 * 409 * 1789 * 437881 * 1369969 * 4397389 * 648988429
7309,3,5,x^15 + x^14 + 43,2^2 * 3^3 * 7 * 11 * 13 * 29 * 1201 * 2791 * 730321 * 1369969 * 259476831206071 * 3326500853757822151
7309,3,6,x^18 + x^17 + 53,2^3 * 3^4 * 5 * 7 * 13 * 17 * 19 * 29 * 43 * 73 * 409 * 1789 * 2917 * 67933 * 168697 * 1369969 * 9207721 * 1520204221 * 871449086399887
7309,4,2,x^8 + x^7 + 30,2^5 * 3^2 * 5 * 7 * 17 * 29 * 43 * 61 * 437881 * 1426927316116681
7309,4,3,x^12 + x^11 + 10,2^4 * 3^3 * 5 * 7 * 13 * 17 * 29 * 43 * 61 * 73 * 409 * 1789 * 437881 * 1369969 * 4397389 * 648988429
7309,4,4,x^16 + x^15 + 37,2^6 * 3^2 * 5 * 7 * 17 * 29 * 43 * 61 * 437881 * 1426927316116681 * 4072243130959906082805380678161
7309,4,5,x^20 + x^19 + 72,2^4 * 3^2 * 5^2 * 7 * 11 * 17 * 29 * 43 * 61 * 5281 * 437881 * 25441420001 * 108065299301 * 259476831206071 * 320127025501821320561
7309,5,2,x^10 + x^9 + 31,2^3 * 3^2 * 5^2 * 7 * 11 * 17 * 29 * 43 * 5281 * 108065299301 * 259476831206071
