p,e,n,poly,factorization
2927,1,2,x^2 + x + 11,2^5 * 3 * 7 * 11 * 19 * 61
2927,1,3,x^3 + x^2 + 2,2 * 7 * 11 * 19 * 1483 * 5779
2927,1,4,x^4 + x^3 + 57,2^6 * 3 * 5 * 7 * 11 * 19 * 61 * 856733
2927,1,5,x^5 + x^4 + 6,2 * 7 * 11 * 19 * 41 * 10301 * 173850541
2927,1,6,x^6 + x^5 + 13,2^5 * 3^2 * 7 * 11 * 19 * 61 * 421 * 1483 * 5779 * 6781
2927,1,7,x^7 + x^6 + 32,2 * 7^2 * 11 * 19 * 6007 * 106541 * 140414608853
2927,1,8,x^8 + x^7 + 114,2^7 * 3 * 5 * 7 * 11 * 19 * 61 * 856733 * 36699563097121
2927,1,9,x^9 + x^8 + 70,2 * 7 * 11 * 19 * 1483 * 5779 * 8602893127 * 73095696199
2927,1,10,x^10 + x^9 + 10,2^5 * 3 * 7 * 11 * 19 * 41 * 61 * 631 * 10301 * 173850541 * 116282184131
2927,1,11,x^11 + x^10 + 6,2 * 7 * 11^2 * 19 * 23 * 991 * 1316239 * 139909335713462911665301
2927,1,12,x^12 + x^11 + 13,2^6 * 3^2 * 5 * 7 * 11 * 13 * 19 * 61 * 421 * 709 * 1483 * 5779 * 6781 * 856733 * 7963449889
2927,1,13,x^13 + x^12 + 2,2 * 7 * 11 * 19 * 131 * 157 * 743570596367 * 25865919046642666667532169
2927,1,14,x^14 + x^13 + 39,2^5 * 3 * 7^2 * 11 * 19 * 61 * 6007 * 70351 * 106541 * 16004647 * 558305119 * 140414608853
2927,1,15,x^15 + x^14 + 16,2 * 7 * 11 * 19 * 41 * 1483 * 2131 * 2551 * 5779 * 10301 * 582961 * 173850541 * 1699417041666061
2927,1,16,x^16 + x^15 + 155,2^8 * 3 * 5 * 7 * 11 * 17 * 19 * 61 * 856733 * 36699563097121 * 158453874296415156013575473
2927,1,17,x^17 + x^16 + 154,2 * 7 * 11 * 19 * 137 * 363563 * 2423249 * 240554603166328316656627437275568449318459
2927,1,18,x^18 + x^17 + 38,2^5 * 3^3 * 7 * 11 * 19 * 37 * 61 * 109 * 199 * 421 * 1483 * 5779 * 6781 * 8602893127 * 73095696199 * 261176309846407
2927,1,19,x^19 + x^18 + 2,2 * 7 * 11 * 19^2 * 457 * 175979 * 225683 * 195058447 * 389763963181837 * 9487711425759624713464993
2927,1,20,x^20 + x^19 + 30,2^6 * 3 * 5^2 * 7 * 11 * 19 * 41 * 61 * 181 * 521 * 631 * 10301 * 856733 * 173850541 * 116282184131 * 11426031743552510121841
2927,1,21,x^21 + x^20 + 77,2 * 7^2 * 11 * 19 * 1483 * 2311 * 5779 * 6007 * 106541 * 140414608853 * 2139429736039 * 79951440940249531679928721
2927,1,22,x^22 + x^21 + 34,2^5 * 3 * 7 * 11^2 * 19 * 23 * 61 * 991 * 1123 * 1316239 * 139909335713462911665301 * 41086497270951575330430912662921
2927,1,23,x^23 + x^22 + 48,2 * 7 * 11 * 19 * 277 * 15319 * 4302670698364085519949073634991160618142457703568990598927144125830939
2927,2,2,x^4 + x^3 + 57,2^6 * 3 * 5 * 7 * 11 * 19 * 61 * 856733
2927,2,3,x^6 + x^5 + 13,2^5 * 3^2 * 7 * 11 * 19 * 61 * 421 * 1483 * 5779 * 6781
2927,2,4,x^8 + x^7 + 114,2^7 * 3 * 5 * 7 * 11 * 19 * 61 * 856733 * 36699563097121
2927,2,5,x^10 + x^9 + 10,2^5 * 3 * 7 * 11 * 19 * 41 * 61 * 631 * 10301 * 173850541 * 116282184131
2927,2,6,x^12 + x^11 + 13,2^6 * 3^2 * 5 * 7 * 11 * 13 * 19 * 61 * 421 * 709 * 1483 * 5779 * 6781 * 856733 * 7963449889
2927,2,7,x^14 + x^13 + 39,2^5 * 3 * 7^2 * 11 * 19 * 61 * 6007 * 70351 * 106541 * 16004647 * 558305119 * 140414608853
2927,2,8,x^16 + x^15 + 155,2^8 * 3 * 5 * 7 * 11 * 17 * 19 * 61 * 856733 * 36699563097121 * 158453874296415156013575473
2927,2,9,x^18 + x^17 + 38,2^5 * 3^3 * 7 * 11 * 19 * 37 * 61 * 109 * 199 * 421 * 1483 * 5779 * 6781 * 8602893127 * 73095696199 * 261176309846407
2927,2,10,x^20 + x^19 + 30,2^6 * 3 * 5^2 * 7 * 11 * 19 * 41 * 61 * 181 * 521 * 631 * 10301 * 856733 * 173850541 * 116282184131 * 11426031743552510121841
2927,2,11,x^22 + x^21 + 34,2^5 * 3 * 7 * 11^2 * 19 * 23 * 61 * 991 * 1123 * 1316239 * 139909335713462911665301 * 41086497270951575330430912662921
2927,3,2,x^6 + x^5 + 13,2^5 * 3^2 * 7 * 11 * 19 * 61 * 421 * 1483 * 5779 * 6781
2927,3,3,x^9 + x^8 + 70,2 * 7 * 11 * 19 * 1483 * 5779 * 8602893127 * 73095696199
2927,3,4,x^12 + x^11 + 13,2^6 * 3^2 * 5 * 7 * 11 * 13 * 19 * 61 * 421 * 709 * 1483 * 5779 * 6781 * 856733 * 7963449889
2927,3,5,x^15 + x^14 + 16,2 * 7 * 11 * 19 * 41 * 1483 * 2131 * 2551 * 5779 * 10301 * 582961 * 173850541 * 1699417041666061
2927,3,6,x^18 + x^17 + 38,2^5 * 3^3 * 7 * 11 * 19 * 37 * 61 * 109 * 199 * 421 * 1483 * 5779 * 6781 * 8602893127 * 73095696199 * 261176309846407
2927,3,7,x^21 + x^20 + 77,2 * 7^2 * 11 * 19 * 1483 * 2311 * 5779 * 6007 * 106541 * 140414608853 * 2139429736039 * 79951440940249531679928721
2927,4,2,x^8 + x^7 + 114,2^7 * 3 * 5 * 7 * 11 * 19 * 61 * 856733 * 36699563097121
2927,4,3,x^12 + x^11 + 13,2^6 * 3^2 * 5 * 7 * 11 * 13 * 19 * 61 * 421 * 709 * 1483 * 5779 * 6781 * 856733 * 7963449889
2927,4,4,x^16 + x^15 + 155,2^8 * 3 * 5 * 7 * 11 * 17 * 19 * 61 * 856733 * 36699563097121 * 158453874296415156013575473
2927,4,5,x^20 + x^19 + 30,2^6 * 3 * 5^2 * 7 * 11 * 19 * 41 * 61 * 181 * 521 * 631 * 10301 * 856733 * 173850541 * 116282184131 * 11426031743552510121841
2927,5,2,x^10 + x^9 + 10,2^5 * 3 * 7 * 11 * 19 * 41 * 61 * 631 * 10301 * 173850541 * 116282184131
2927,5,3,x^15 + x^14 + 16,2 * 7 * 11 * 19 * 41 * 1483 * 2131 * 2551 * 5779 * 10301 * 582961 * 173850541 * 1699417041666061
2927,5,4,x^20 + x^19 + 30,2^6 * 3 * 5^2 * 7 * 11 * 19 * 41 * 61 * 181 * 521 * 631 * 10301 * 856733 * 173850541 * 116282184131 * 11426031743552510121841
2927,6,2,x^12 + x^11 + 13,2^6 * 3^2 * 5 * 7 * 11 * 13 * 19 * 61 * 421 * 709 * 1483 * 5779 * 6781 * 856733 * 7963449889
2927,6,3,x^18 + x^17 + 38,2^5 * 3^3 * 7 * 11 * 19 * 37 * 61 * 109 * 199 * 421 * 1483 * 5779 * 6781 * 8602893127 * 73095696199 * 261176309846407
2927,7,2,x^14 + x^13 + 39,2^5 * 3 * 7^2 * 11 * 19 * 61 * 6007 * 70351 * 106541 * 16004647 * 558305119 * 140414608853
2927,7,3,x^21 + x^20 + 77,2 * 7^2 * 11 * 19 * 1483 * 2311 * 5779 * 6007 * 106541 * 140414608853 * 2139429736039 * 79951440940249531679928721
2927,8,2,x^16 + x^15 + 155,2^8 * 3 * 5 * 7 * 11 * 17 * 19 * 61 * 856733 * 36699563097121 * 158453874296415156013575473
2927,9,2,x^18 + x^17 + 38,2^5 * 3^3 * 7 * 11 * 19 * 37 * 61 * 109 * 199 * 421 * 1483 * 5779 * 6781 * 8602893127 * 73095696199 * 261176309846407
2927,10,2,x^20 + x^19 + 30,2^6 * 3 * 5^2 * 7 * 11 * 19 * 41 * 61 * 181 * 521 * 631 * 10301 * 856733 * 173850541 * 116282184131 * 11426031743552510121841
2927,11,2,x^22 + x^21 + 34,2^5 * 3 * 7 * 11^2 * 19 * 23 * 61 * 991 * 1123 * 1316239 * 139909335713462911665301 * 41086497270951575330430912662921
