p,r,n,poly,factorization
9689,1,2,x^2 + x + 15,2^4 * 3 * 5 * 7 * 17 * 19 * 173
9689,1,3,x^3 + x^2 + 15,2^3 * 7 * 173 * 93886411
9689,1,4,x^4 + x^3 + 38,2^5 * 3 * 5 * 7 * 17 * 19 * 173 * 46938361
9689,1,5,x^5 + x^4 + 39,2^3 * 7 * 11^2 * 173 * 72840895959901
9689,1,6,x^6 + x^5 + 15,2^4 * 3^2 * 5 * 7 * 13 * 17 * 19 * 173 * 2406847 * 93886411
9689,1,7,x^7 + x^6 + 66,2^3 * 7^2 * 173 * 197 * 911 * 658621521789947899
9689,1,8,x^8 + x^7 + 133,2^6 * 3 * 5 * 7 * 17 * 19 * 89 * 173 * 233 * 593 * 1433 * 250057 * 46938361
9689,1,9,x^9 + x^8 + 62,2^3 * 7 * 127 * 173 * 8353 * 21943 * 93886411 * 35541154407907
9689,1,10,x^10 + x^9 + 181,2^4 * 3 * 5^2 * 7 * 11^2 * 17 * 19 * 173 * 3631 * 485372033491 * 72840895959901
9689,1,11,x^11 + x^10 + 27,2^3 * 7 * 23 * 173 * 17018269473093631469 * 18629069059420834873
9689,1,12,x^12 + x^11 + 135,2^5 * 3^2 * 5 * 7 * 13 * 17 * 19 * 173 * 2406847 * 46938361 * 93886411 * 8812838651835121
9689,1,13,x^13 + x^12 + 42,2^3 * 7 * 173 * 3823 * 7541 * 27457 * 684373 * 137967103 * 9158778618541090802069
9689,1,14,x^14 + x^13 + 101,2^4 * 3 * 5 * 7^2 * 17 * 19 * 173 * 197 * 463 * 911 * 147062819 * 12149126014061 * 658621521789947899
9689,1,15,x^15 + x^14 + 38,2^3 * 7 * 11^2 * 173 * 14197951 * 85496311 * 93886411 * 72840895959901 * 63975512301694681
9689,1,16,x^16 + x^15 + 12,2^7 * 3 * 5 * 7 * 17 * 19 * 89 * 173 * 233 * 593 * 1433 * 250057 * 1090721 * 46938361 * 35603113334170633423059521
9689,1,17,x^17 + x^16 + 12,2^3 * 7 * 173 * 91079473 * 8562689207313407107 * 7735304780775909969902382112817538571
9689,1,18,x^18 + x^17 + 39,2^4 * 3^3 * 5 * 7 * 13 * 17 * 19 * 127 * 173 * 8353 * 21943 * 2406847 * 93886411 * 35541154407907 * 275773468049423624134531
9689,1,19,x^19 + x^18 + 48,2^3 * 7 * 173 * 15454225356024913 * 771979102220629313 * 47469345874350537322098847959120172139
9689,1,20,x^20 + x^19 + 60,2^5 * 3 * 5^2 * 7 * 11^2 * 17 * 19 * 173 * 2381 * 3631 * 46938361 * 485372033491 * 72840895959901 * 32619120508441604191232261861
9689,2,2,x^4 + x^3 + 38,2^5 * 3 * 5 * 7 * 17 * 19 * 173 * 46938361
9689,2,3,x^6 + x^5 + 15,2^4 * 3^2 * 5 * 7 * 13 * 17 * 19 * 173 * 2406847 * 93886411
9689,2,4,x^8 + x^7 + 133,2^6 * 3 * 5 * 7 * 17 * 19 * 89 * 173 * 233 * 593 * 1433 * 250057 * 46938361
9689,2,5,x^10 + x^9 + 181,2^4 * 3 * 5^2 * 7 * 11^2 * 17 * 19 * 173 * 3631 * 485372033491 * 72840895959901
9689,2,6,x^12 + x^11 + 135,2^5 * 3^2 * 5 * 7 * 13 * 17 * 19 * 173 * 2406847 * 46938361 * 93886411 * 8812838651835121
9689,2,7,x^14 + x^13 + 101,2^4 * 3 * 5 * 7^2 * 17 * 19 * 173 * 197 * 463 * 911 * 147062819 * 12149126014061 * 658621521789947899
9689,2,8,x^16 + x^15 + 12,2^7 * 3 * 5 * 7 * 17 * 19 * 89 * 173 * 233 * 593 * 1433 * 250057 * 1090721 * 46938361 * 35603113334170633423059521
9689,2,9,x^18 + x^17 + 39,2^4 * 3^3 * 5 * 7 * 13 * 17 * 19 * 127 * 173 * 8353 * 21943 * 2406847 * 93886411 * 35541154407907 * 275773468049423624134531
9689,2,10,x^20 + x^19 + 60,2^5 * 3 * 5^2 * 7 * 11^2 * 17 * 19 * 173 * 2381 * 3631 * 46938361 * 485372033491 * 72840895959901 * 32619120508441604191232261861
9689,3,2,x^6 + x^5 + 15,2^4 * 3^2 * 5 * 7 * 13 * 17 * 19 * 173 * 2406847 * 93886411
9689,3,3,x^9 + x^8 + 62,2^3 * 7 * 127 * 173 * 8353 * 21943 * 93886411 * 35541154407907
