p,e,n,poly,factorization
7129,1,2,x^2 + x + 26,2^4 * 3^4 * 5 * 11 * 23 * 31
7129,1,3,x^3 + x^2 + 14,2^3 * 3^5 * 11 * 151 * 112207
7129,1,4,x^4 + x^3 + 68,2^5 * 3^4 * 5 * 11 * 13 * 23 * 31 * 1954717
7129,1,5,x^5 + x^4 + 26,2^3 * 3^4 * 11 * 2583303203652341
7129,1,6,x^6 + x^5 + 138,2^4 * 3^5 * 5 * 7 * 11 * 23 * 31 * 151 * 112207 * 7259359
7129,1,7,x^7 + x^6 + 23,2^3 * 3^4 * 11 * 29 * 337 * 8681 * 1547515319482147
7129,1,8,x^8 + x^7 + 23,2^6 * 3^4 * 5 * 11 * 13 * 23 * 31 * 3769 * 135937 * 1954717 * 2520697
7129,1,9,x^9 + x^8 + 39,2^3 * 3^6 * 11 * 19 * 151 * 112207 * 1322317 * 1741651472313919
7129,1,10,x^10 + x^9 + 184,2^4 * 3^4 * 5^2 * 11 * 23 * 31 * 991 * 1171 * 445095281 * 2583303203652341
7129,1,11,x^11 + x^10 + 34,2^3 * 3^4 * 11^2 * 617 * 15565702307 * 3209966509301356049578939
7129,1,12,x^12 + x^11 + 39,2^5 * 3^5 * 5 * 7 * 11 * 13 * 23 * 31 * 151 * 112207 * 1954717 * 7259359 * 2582940787392241
7129,1,13,x^13 + x^12 + 14,2^3 * 3^4 * 11 * 2237 * 6553 * 3084979 * 381106131559807800559238149363859
7129,1,14,x^14 + x^13 + 163,2^4 * 3^4 * 5 * 11 * 23 * 29 * 31 * 337 * 8681 * 225079 * 41100179 * 14188356197 * 1547515319482147
7129,1,15,x^15 + x^14 + 92,2^3 * 3^5 * 11 * 151 * 631 * 22621 * 112207 * 222601 * 2583303203652341 * 2099421903970921531
7129,1,16,x^16 + x^15 + 223,2^7 * 3^4 * 5 * 11 * 13 * 17 * 23 * 31 * 3769 * 135937 * 1954717 * 2520697 * 196223040403476237190197936593
7129,1,17,x^17 + x^16 + 65,2^3 * 3^4 * 11 * 3479974745350397012335253710861 * 12792124185310824909432078975701
7129,1,18,x^18 + x^17 + 39,2^4 * 3^6 * 5 * 7 * 11 * 19 * 23 * 31 * 37 * 151 * 2647 * 112207 * 1322317 * 7259359 * 151603183 * 8841128509 * 1741651472313919
7129,1,19,x^19 + x^18 + 70,2^3 * 3^4 * 11 * 576613 * 619963237 * 6328861938403795168029129275100724633577593351916994451
7129,1,20,x^20 + x^19 + 202,2^5 * 3^4 * 5^2 * 11 * 13 * 23 * 31 * 41 * 61 * 991 * 1171 * 1782061 * 1954717 * 50265521 * 445095281 * 29779847072401 * 2583303203652341
7129,2,2,x^4 + x^3 + 68,2^5 * 3^4 * 5 * 11 * 13 * 23 * 31 * 1954717
7129,2,3,x^6 + x^5 + 138,2^4 * 3^5 * 5 * 7 * 11 * 23 * 31 * 151 * 112207 * 7259359
7129,2,4,x^8 + x^7 + 23,2^6 * 3^4 * 5 * 11 * 13 * 23 * 31 * 3769 * 135937 * 1954717 * 2520697
7129,2,5,x^10 + x^9 + 184,2^4 * 3^4 * 5^2 * 11 * 23 * 31 * 991 * 1171 * 445095281 * 2583303203652341
7129,2,6,x^12 + x^11 + 39,2^5 * 3^5 * 5 * 7 * 11 * 13 * 23 * 31 * 151 * 112207 * 1954717 * 7259359 * 2582940787392241
7129,2,7,x^14 + x^13 + 163,2^4 * 3^4 * 5 * 11 * 23 * 29 * 31 * 337 * 8681 * 225079 * 41100179 * 14188356197 * 1547515319482147
7129,2,8,x^16 + x^15 + 223,2^7 * 3^4 * 5 * 11 * 13 * 17 * 23 * 31 * 3769 * 135937 * 1954717 * 2520697 * 196223040403476237190197936593
7129,2,9,x^18 + x^17 + 39,2^4 * 3^6 * 5 * 7 * 11 * 19 * 23 * 31 * 37 * 151 * 2647 * 112207 * 1322317 * 7259359 * 151603183 * 8841128509 * 1741651472313919
7129,2,10,x^20 + x^19 + 202,2^5 * 3^4 * 5^2 * 11 * 13 * 23 * 31 * 41 * 61 * 991 * 1171 * 1782061 * 1954717 * 50265521 * 445095281 * 29779847072401 * 2583303203652341
7129,3,2,x^6 + x^5 + 138,2^4 * 3^5 * 5 * 7 * 11 * 23 * 31 * 151 * 112207 * 7259359
7129,3,3,x^9 + x^8 + 39,2^3 * 3^6 * 11 * 19 * 151 * 112207 * 1322317 * 1741651472313919
7129,3,4,x^12 + x^11 + 39,2^5 * 3^5 * 5 * 7 * 11 * 13 * 23 * 31 * 151 * 112207 * 1954717 * 7259359 * 2582940787392241
7129,3,5,x^15 + x^14 + 92,2^3 * 3^5 * 11 * 151 * 631 * 22621 * 112207 * 222601 * 2583303203652341 * 2099421903970921531
7129,3,6,x^18 + x^17 + 39,2^4 * 3^6 * 5 * 7 * 11 * 19 * 23 * 31 * 37 * 151 * 2647 * 112207 * 1322317 * 7259359 * 151603183 * 8841128509 * 1741651472313919
7129,4,2,x^8 + x^7 + 23,2^6 * 3^4 * 5 * 11 * 13 * 23 * 31 * 3769 * 135937 * 1954717 * 2520697
7129,4,3,x^12 + x^11 + 39,2^5 * 3^5 * 5 * 7 * 11 * 13 * 23 * 31 * 151 * 112207 * 1954717 * 7259359 * 2582940787392241
7129,4,4,x^16 + x^15 + 223,2^7 * 3^4 * 5 * 11 * 13 * 17 * 23 * 31 * 3769 * 135937 * 1954717 * 2520697 * 196223040403476237190197936593
7129,4,5,x^20 + x^19 + 202,2^5 * 3^4 * 5^2 * 11 * 13 * 23 * 31 * 41 * 61 * 991 * 1171 * 1782061 * 1954717 * 50265521 * 445095281 * 29779847072401 * 2583303203652341
7129,5,2,x^10 + x^9 + 184,2^4 * 3^4 * 5^2 * 11 * 23 * 31 * 991 * 1171 * 445095281 * 2583303203652341
7129,5,3,x^15 + x^14 + 92,2^3 * 3^5 * 11 * 151 * 631 * 22621 * 112207 * 222601 * 2583303203652341 * 2099421903970921531
7129,5,4,x^20 + x^19 + 202,2^5 * 3^4 * 5^2 * 11 * 13 * 23 * 31 * 41 * 61 * 991 * 1171 * 1782061 * 1954717 * 50265521 * 445095281 * 29779847072401 * 2583303203652341
7129,6,2,x^12 + x^11 + 39,2^5 * 3^5 * 5 * 7 * 11 * 13 * 23 * 31 * 151 * 112207 * 1954717 * 7259359 * 2582940787392241
7129,6,3,x^18 + x^17 + 39,2^4 * 3^6 * 5 * 7 * 11 * 19 * 23 * 31 * 37 * 151 * 2647 * 112207 * 1322317 * 7259359 * 151603183 * 8841128509 * 1741651472313919
7129,7,2,x^14 + x^13 + 163,2^4 * 3^4 * 5 * 11 * 23 * 29 * 31 * 337 * 8681 * 225079 * 41100179 * 14188356197 * 1547515319482147
7129,8,2,x^16 + x^15 + 223,2^7 * 3^4 * 5 * 11 * 13 * 17 * 23 * 31 * 3769 * 135937 * 1954717 * 2520697 * 196223040403476237190197936593
7129,9,2,x^18 + x^17 + 39,2^4 * 3^6 * 5 * 7 * 11 * 19 * 23 * 31 * 37 * 151 * 2647 * 112207 * 1322317 * 7259359 * 151603183 * 8841128509 * 1741651472313919
7129,10,2,x^20 + x^19 + 202,2^5 * 3^4 * 5^2 * 11 * 13 * 23 * 31 * 41 * 61 * 991 * 1171 * 1782061 * 1954717 * 50265521 * 445095281 * 29779847072401 * 2583303203652341
