p,e,n,poly,factorization
2351,1,2,x^2 + x + 29,2^5 * 3 * 5^2 * 7^2 * 47
2351,1,3,x^3 + x^2 + 3,2 * 5^2 * 47 * 2269 * 2437
2351,1,4,x^4 + x^3 + 61,2^6 * 3 * 5^2 * 7^2 * 47 * 2763601
2351,1,5,x^5 + x^4 + 6,2 * 5^3 * 47 * 1871 * 3267017731
2351,1,6,x^6 + x^5 + 83,2^5 * 3^2 * 5^2 * 7^2 * 31 * 47 * 2269 * 2437 * 59407
2351,1,7,x^7 + x^6 + 48,2 * 5^2 * 47 * 204416353 * 826389719569
2351,1,8,x^8 + x^7 + 51,2^7 * 3 * 5^2 * 7^2 * 41 * 47 * 89 * 51977 * 80537 * 2763601
2351,1,9,x^9 + x^8 + 10,2 * 5^2 * 47 * 199 * 2269 * 2437 * 848521201741098247
2351,1,10,x^10 + x^9 + 29,2^5 * 3 * 5^3 * 7^2 * 11 * 47 * 1871 * 3267017731 * 2776087451791
2351,1,11,x^11 + x^10 + 42,2 * 5^2 * 47 * 191689961 * 26922270846447889551053801
2351,1,12,x^12 + x^11 + 130,2^6 * 3^2 * 5^2 * 7^2 * 13 * 31 * 47 * 2269 * 2437 * 5737 * 59407 * 2763601 * 409621021
2351,1,13,x^13 + x^12 + 7,2 * 5^2 * 47 * 157 * 181683992089677051172380271636941426709
2351,1,14,x^14 + x^13 + 82,2^5 * 3 * 5^2 * 7^3 * 47 * 337 * 953 * 204416353 * 826389719569 * 75077576460713
2351,1,15,x^15 + x^14 + 5,2 * 5^3 * 47 * 1871 * 2269 * 2437 * 1485721 * 3267017731 * 627912319962107311081
2351,1,16,x^16 + x^15 + 51,2^8 * 3 * 5^2 * 7^2 * 17 * 41 * 47 * 89 * 51977 * 80537 * 2763601 * 9738257 * 620416417 * 4543364737
2351,1,17,x^17 + x^16 + 25,2 * 5^2 * 47 * 871418614752224661238675759244321373184784188773119617
2351,1,18,x^18 + x^17 + 203,2^5 * 3^3 * 5^2 * 7^2 * 19 * 31 * 47 * 199 * 2269 * 2437 * 59407 * 848521201741098247 * 2962381037201572843
2351,1,19,x^19 + x^18 + 86,2 * 5^2 * 47 * 229^2 * 495749 * 562021 * 2634883 * 125108091992579493584015641003031047787
2351,1,20,x^20 + x^19 + 13,2^6 * 3 * 5^3 * 7^2 * 11 * 47 * 61 * 1871 * 642361 * 2763601 * 10459261 * 3267017731 * 2277251272321 * 2776087451791
2351,1,21,x^21 + x^20 + 132,2 * 5^2 * 47 * 631 * 2269 * 2437 * 204416353 * 826389719569 * 8330041468351 * 5422134171180009835442521
2351,1,22,x^22 + x^21 + 41,2^5 * 3 * 5^2 * 7^2 * 23 * 47 * 397 * 118757 * 4615601 * 191689961 * 1030233774400249453 * 26922270846447889551053801
2351,1,23,x^23 + x^22 + 33,2 * 5^2 * 47 * 71440260533 * 317397256238811543306341 * 6489278449290939499808580486857027962441
2351,2,2,x^4 + x^3 + 61,2^6 * 3 * 5^2 * 7^2 * 47 * 2763601
2351,2,3,x^6 + x^5 + 83,2^5 * 3^2 * 5^2 * 7^2 * 31 * 47 * 2269 * 2437 * 59407
2351,2,4,x^8 + x^7 + 51,2^7 * 3 * 5^2 * 7^2 * 41 * 47 * 89 * 51977 * 80537 * 2763601
2351,2,5,x^10 + x^9 + 29,2^5 * 3 * 5^3 * 7^2 * 11 * 47 * 1871 * 3267017731 * 2776087451791
2351,2,6,x^12 + x^11 + 130,2^6 * 3^2 * 5^2 * 7^2 * 13 * 31 * 47 * 2269 * 2437 * 5737 * 59407 * 2763601 * 409621021
2351,2,7,x^14 + x^13 + 82,2^5 * 3 * 5^2 * 7^3 * 47 * 337 * 953 * 204416353 * 826389719569 * 75077576460713
2351,2,8,x^16 + x^15 + 51,2^8 * 3 * 5^2 * 7^2 * 17 * 41 * 47 * 89 * 51977 * 80537 * 2763601 * 9738257 * 620416417 * 4543364737
2351,2,9,x^18 + x^17 + 203,2^5 * 3^3 * 5^2 * 7^2 * 19 * 31 * 47 * 199 * 2269 * 2437 * 59407 * 848521201741098247 * 2962381037201572843
2351,2,10,x^20 + x^19 + 13,2^6 * 3 * 5^3 * 7^2 * 11 * 47 * 61 * 1871 * 642361 * 2763601 * 10459261 * 3267017731 * 2277251272321 * 2776087451791
2351,2,11,x^22 + x^21 + 41,2^5 * 3 * 5^2 * 7^2 * 23 * 47 * 397 * 118757 * 4615601 * 191689961 * 1030233774400249453 * 26922270846447889551053801
2351,3,2,x^6 + x^5 + 83,2^5 * 3^2 * 5^2 * 7^2 * 31 * 47 * 2269 * 2437 * 59407
2351,3,3,x^9 + x^8 + 10,2 * 5^2 * 47 * 199 * 2269 * 2437 * 848521201741098247
2351,3,4,x^12 + x^11 + 130,2^6 * 3^2 * 5^2 * 7^2 * 13 * 31 * 47 * 2269 * 2437 * 5737 * 59407 * 2763601 * 409621021
2351,3,5,x^15 + x^14 + 5,2 * 5^3 * 47 * 1871 * 2269 * 2437 * 1485721 * 3267017731 * 627912319962107311081
2351,3,6,x^18 + x^17 + 203,2^5 * 3^3 * 5^2 * 7^2 * 19 * 31 * 47 * 199 * 2269 * 2437 * 59407 * 848521201741098247 * 2962381037201572843
2351,3,7,x^21 + x^20 + 132,2 * 5^2 * 47 * 631 * 2269 * 2437 * 204416353 * 826389719569 * 8330041468351 * 5422134171180009835442521
2351,4,2,x^8 + x^7 + 51,2^7 * 3 * 5^2 * 7^2 * 41 * 47 * 89 * 51977 * 80537 * 2763601
