p,n,poly,factorization
5569,2,x^2 + x + 13,2^7 * 3 * 5 * 29 * 557
5569,3,x^3 + x^2 + 13,2^6 * 3^2 * 7 * 29 * 1477111
5569,4,x^4 + x^3 + 43,2^8 * 3 * 5 * 13 * 29 * 557 * 1192837
5569,5,x^5 + x^4 + 26,2^6 * 3 * 11^2 * 29 * 79451 * 100069591
5569,6,x^6 + x^5 + 47,2^7 * 3^2 * 5 * 7 * 29 * 127 * 557 * 244159 * 1477111
5569,7,x^7 + x^6 + 47,2^6 * 3 * 29 * 8738437 * 3414346078138843
5569,8,x^8 + x^7 + 52,2^9 * 3 * 5 * 13 * 29 * 401 * 557 * 13241 * 1192837 * 90576121
5569,9,x^9 + x^8 + 43,2^6 * 3^3 * 7 * 29 * 51427 * 1477111 * 193352976560528011
5569,10,x^10 + x^9 + 57,2^7 * 3 * 5^2 * 11^2 * 29 * 101 * 181 * 557 * 79451 * 100069591 * 10521094981
5569,11,x^11 + x^10 + 47,2^6 * 3 * 23 * 29 * 5039 * 247615584986753411300565687291683
5569,12,x^12 + x^11 + 122,2^8 * 3^2 * 5 * 7 * 13 * 29 * 127 * 557 * 244159 * 1192837 * 1477111 * 961853340351361
5569,13,x^13 + x^12 + 39,2^6 * 3 * 29 * 2198364809462641 * 404859973680381707665860331741
5569,14,x^14 + x^13 + 47,2^7 * 3 * 5 * 29 * 43 * 557 * 8738437 * 34963321 * 19838288282779 * 3414346078138843
5569,15,x^15 + x^14 + 38,2^6 * 3^2 * 7 * 11^2 * 29 * 31 * 211 * 79451 * 1102861 * 1477111 * 100069591 * 6920550361 * 18528240961
5569,16,x^16 + x^15 + 143,2^10 * 3 * 5 * 13 * 17 * 29 * 401 * 557 * 8689 * 13241 * 1192837 * 21598849 * 90576121 * 144990123767669633
5569,17,x^17 + x^16 + 67,2^6 * 3 * 29 * 856078278108753523910624881048500838183438565354149235265041
5569,18,x^18 + x^17 + 85,2^7 * 3^3 * 5 * 7 * 19 * 29 * 127 * 557 * 1531 * 51427 * 244159 * 1477111 * 193352976560528011 * 1025497286822833057
5569,19,x^19 + x^18 + 26,2^6 * 3 * 29 * 191 * 94811 * 213093398191 * 75299809471209582868183 * 91371750746947916169251407
5569,20,x^20 + x^19 + 86,2^8 * 3 * 5^2 * 11^2 * 13 * 29 * 101 * 181 * 557 * 79451 * 1192837 * 100069591 * 10521094981 * 925161878175759755770329265921
5569,21,x^21 + x^20 + 143,2^6 * 3^2 * 7^2 * 29 * 1477111 * 8738437 * 3414346078138843 * 127101472907616441044126939772211909207312183
