p,r,n,poly,factorization
9929,1,2,x^2 + x + 3,2^4 * 3 * 5 * 17 * 73 * 331
9929,1,3,x^3 + x^2 + 6,2^3 * 17 * 19 * 61 * 73 * 97 * 877
9929,1,4,x^4 + x^3 + 14,2^5 * 3 * 5 * 17 * 73 * 113 * 331 * 436217
9929,1,5,x^5 + x^4 + 7,2^3 * 17 * 73 * 9719989258438741
9929,1,6,x^6 + x^5 + 11,2^4 * 3^2 * 5 * 7^3 * 13 * 17 * 19 * 61 * 73 * 97 * 331 * 877 * 7369
9929,1,7,x^7 + x^6 + 3,2^3 * 17 * 73 * 4512911537 * 212334217435103
9929,1,8,x^8 + x^7 + 11,2^6 * 3 * 5 * 17 * 73 * 113 * 331 * 436217 * 9383281 * 517889761
9929,1,9,x^9 + x^8 + 24,2^3 * 17 * 19 * 61 * 73 * 97 * 199 * 877 * 1549 * 2647 * 1174288015783063
9929,1,10,x^10 + x^9 + 14,2^4 * 3 * 5^2 * 11 * 17 * 73 * 331 * 12218761 * 14460671 * 9719989258438741
9929,1,11,x^11 + x^10 + 37,2^3 * 17 * 23 * 73 * 13005679171 * 31134219052827833027770203047
9929,1,12,x^12 + x^11 + 12,2^5 * 3^2 * 5 * 7^3 * 13 * 17 * 19 * 61 * 73 * 97 * 113 * 181 * 331 * 877 * 3541 * 7369 * 436217 * 15164131321
9929,1,13,x^13 + x^12 + 27,2^3 * 17 * 73 * 2126749 * 49670938357 * 8691430640378608042828728231997
9929,1,14,x^14 + x^13 + 35,2^4 * 3 * 5 * 17 * 43 * 73 * 211 * 331 * 19648847 * 4512911537 * 5374045567367 * 212334217435103
9929,1,15,x^15 + x^14 + 41,2^3 * 17 * 19 * 31 * 61 * 73 * 97 * 877 * 199921 * 9719989258438741 * 15239833915731798189181231
9929,1,16,x^16 + x^15 + 7,2^7 * 3 * 5 * 17 * 73 * 113 * 331 * 9521 * 436217 * 9383281 * 517889761 * 43338698797841 * 114460504775521
9929,1,17,x^17 + x^16 + 30,2^3 * 17^2 * 73 * 307 * 257687 * 821277540487 * 8869309332971 * 910903474730007672943439542481
9929,1,18,x^18 + x^17 + 238,2^4 * 3^3 * 5 * 7^3 * 13 * 17 * 19 * 61 * 73 * 97 * 199 * 331 * 877 * 1549 * 2647 * 7369 * 93337903 * 1174288015783063 * 3421793287229437
9929,1,19,x^19 + x^18 + 27,2^3 * 17 * 73 * 11059 * 1085737 * 12029243 * 123729559 * 49225561141722512215724283233521269047335285061
9929,1,20,x^20 + x^19 + 12,2^5 * 3 * 5^2 * 11 * 17 * 73 * 113 * 331 * 436217 * 12218761 * 14460671 * 9719989258438741 * 94459160427748790104734031128481
9929,2,2,x^4 + x^3 + 14,2^5 * 3 * 5 * 17 * 73 * 113 * 331 * 436217
9929,2,3,x^6 + x^5 + 11,2^4 * 3^2 * 5 * 7^3 * 13 * 17 * 19 * 61 * 73 * 97 * 331 * 877 * 7369
9929,2,4,x^8 + x^7 + 11,2^6 * 3 * 5 * 17 * 73 * 113 * 331 * 436217 * 9383281 * 517889761
9929,2,5,x^10 + x^9 + 14,2^4 * 3 * 5^2 * 11 * 17 * 73 * 331 * 12218761 * 14460671 * 9719989258438741
9929,2,6,x^12 + x^11 + 12,2^5 * 3^2 * 5 * 7^3 * 13 * 17 * 19 * 61 * 73 * 97 * 113 * 181 * 331 * 877 * 3541 * 7369 * 436217 * 15164131321
9929,2,7,x^14 + x^13 + 35,2^4 * 3 * 5 * 17 * 43 * 73 * 211 * 331 * 19648847 * 4512911537 * 5374045567367 * 212334217435103
9929,2,8,x^16 + x^15 + 7,2^7 * 3 * 5 * 17 * 73 * 113 * 331 * 9521 * 436217 * 9383281 * 517889761 * 43338698797841 * 114460504775521
9929,2,9,x^18 + x^17 + 238,2^4 * 3^3 * 5 * 7^3 * 13 * 17 * 19 * 61 * 73 * 97 * 199 * 331 * 877 * 1549 * 2647 * 7369 * 93337903 * 1174288015783063 * 3421793287229437
9929,2,10,x^20 + x^19 + 12,2^5 * 3 * 5^2 * 11 * 17 * 73 * 113 * 331 * 436217 * 12218761 * 14460671 * 9719989258438741 * 94459160427748790104734031128481
9929,3,2,x^6 + x^5 + 11,2^4 * 3^2 * 5 * 7^3 * 13 * 17 * 19 * 61 * 73 * 97 * 331 * 877 * 7369
