p,r,n,poly,factorization
8017,1,2,x^2 + x + 5,2^5 * 3 * 19 * 167 * 211
8017,1,3,x^3 + x^2 + 10,2^4 * 3^2 * 7^2 * 13 * 167 * 33637
8017,1,4,x^4 + x^3 + 40,2^6 * 3 * 5 * 19 * 167 * 211 * 241 * 26669
8017,1,5,x^5 + x^4 + 45,2^4 * 3 * 11 * 167 * 26561 * 14140494671
8017,1,6,x^6 + x^5 + 19,2^5 * 3^2 * 7^2 * 13 * 19 * 167 * 211 * 33637 * 64264273
8017,1,7,x^7 + x^6 + 5,2^4 * 3 * 127 * 167 * 2090844600973531244521
8017,1,8,x^8 + x^7 + 105,2^7 * 3 * 5 * 19 * 167 * 211 * 241 * 26669 * 2065463566649761
8017,1,9,x^9 + x^8 + 5,2^4 * 3^3 * 7^2 * 13 * 167 * 9901 * 33637 * 127579429 * 70063258609
8017,1,10,x^10 + x^9 + 10,2^5 * 3 * 11 * 19 * 167 * 211 * 26561 * 599021 * 6895270661 * 14140494671
8017,1,11,x^11 + x^10 + 71,2^4 * 3 * 23 * 167 * 18701 * 69653 * 36613438613417441176552252333
8017,1,12,x^12 + x^11 + 194,2^6 * 3^2 * 5 * 7^2 * 13 * 19 * 167 * 211 * 241 * 20521 * 26669 * 33637 * 64264273 * 201302425273
8017,1,13,x^13 + x^12 + 105,2^4 * 3 * 79 * 167 * 19505546471711147159443 * 45752156052612977811793
8017,1,14,x^14 + x^13 + 10,2^5 * 3 * 19 * 29 * 127 * 167 * 211 * 341440093 * 26810481846569 * 2090844600973531244521
8017,1,15,x^15 + x^14 + 227,2^4 * 3^2 * 7^2 * 11 * 13 * 31 * 167 * 2221 * 26561 * 33637 * 14140494671 * 222781307641 * 1112376723230611
8017,1,16,x^16 + x^15 + 61,2^8 * 3 * 5 * 17^2 * 19 * 167 * 211 * 241 * 26669 * 2065463566649761 * 29523458443996883288401901089
8017,1,17,x^17 + x^16 + 80,2^4 * 3 * 167 * 1123 * 86492771 * 2746200707 * 1091823583241353330148893304843552621164931
8017,1,18,x^18 + x^17 + 41,2^5 * 3^3 * 7^2 * 13 * 19 * 37 * 163 * 167 * 211 * 1171 * 9901 * 33637 * 86869 * 198397 * 2181349 * 64264273 * 127579429 * 70063258609
8017,1,19,x^19 + x^18 + 68,2^4 * 3 * 167 * 1103 * 6667630863213052917527743151711 * 2545194752679609319559460325370125459
8017,1,20,x^20 + x^19 + 53,2^6 * 3 * 5^2 * 11 * 19 * 167 * 211 * 241 * 3061 * 26561 * 26669 * 599021 * 646781 * 6895270661 * 14140494671 * 1723869852259847340781
8017,2,2,x^4 + x^3 + 40,2^6 * 3 * 5 * 19 * 167 * 211 * 241 * 26669
8017,2,3,x^6 + x^5 + 19,2^5 * 3^2 * 7^2 * 13 * 19 * 167 * 211 * 33637 * 64264273
8017,2,4,x^8 + x^7 + 105,2^7 * 3 * 5 * 19 * 167 * 211 * 241 * 26669 * 2065463566649761
8017,2,5,x^10 + x^9 + 10,2^5 * 3 * 11 * 19 * 167 * 211 * 26561 * 599021 * 6895270661 * 14140494671
8017,2,6,x^12 + x^11 + 194,2^6 * 3^2 * 5 * 7^2 * 13 * 19 * 167 * 211 * 241 * 20521 * 26669 * 33637 * 64264273 * 201302425273
8017,2,7,x^14 + x^13 + 10,2^5 * 3 * 19 * 29 * 127 * 167 * 211 * 341440093 * 26810481846569 * 2090844600973531244521
8017,2,8,x^16 + x^15 + 61,2^8 * 3 * 5 * 17^2 * 19 * 167 * 211 * 241 * 26669 * 2065463566649761 * 29523458443996883288401901089
8017,2,9,x^18 + x^17 + 41,2^5 * 3^3 * 7^2 * 13 * 19 * 37 * 163 * 167 * 211 * 1171 * 9901 * 33637 * 86869 * 198397 * 2181349 * 64264273 * 127579429 * 70063258609
8017,2,10,x^20 + x^19 + 53,2^6 * 3 * 5^2 * 11 * 19 * 167 * 211 * 241 * 3061 * 26561 * 26669 * 599021 * 646781 * 6895270661 * 14140494671 * 1723869852259847340781
8017,3,2,x^6 + x^5 + 19,2^5 * 3^2 * 7^2 * 13 * 19 * 167 * 211 * 33637 * 64264273
8017,3,3,x^9 + x^8 + 5,2^4 * 3^3 * 7^2 * 13 * 167 * 9901 * 33637 * 127579429 * 70063258609
8017,3,4,x^12 + x^11 + 194,2^6 * 3^2 * 5 * 7^2 * 13 * 19 * 167 * 211 * 241 * 20521 * 26669 * 33637 * 64264273 * 201302425273
8017,3,5,x^15 + x^14 + 227,2^4 * 3^2 * 7^2 * 11 * 13 * 31 * 167 * 2221 * 26561 * 33637 * 14140494671 * 222781307641 * 1112376723230611
8017,3,6,x^18 + x^17 + 41,2^5 * 3^3 * 7^2 * 13 * 19 * 37 * 163 * 167 * 211 * 1171 * 9901 * 33637 * 86869 * 198397 * 2181349 * 64264273 * 127579429 * 70063258609
8017,4,2,x^8 + x^7 + 105,2^7 * 3 * 5 * 19 * 167 * 211 * 241 * 26669 * 2065463566649761
8017,4,3,x^12 + x^11 + 194,2^6 * 3^2 * 5 * 7^2 * 13 * 19 * 167 * 211 * 241 * 20521 * 26669 * 33637 * 64264273 * 201302425273
8017,4,4,x^16 + x^15 + 61,2^8 * 3 * 5 * 17^2 * 19 * 167 * 211 * 241 * 26669 * 2065463566649761 * 29523458443996883288401901089
8017,4,5,x^20 + x^19 + 53,2^6 * 3 * 5^2 * 11 * 19 * 167 * 211 * 241 * 3061 * 26561 * 26669 * 599021 * 646781 * 6895270661 * 14140494671 * 1723869852259847340781
8017,5,2,x^10 + x^9 + 10,2^5 * 3 * 11 * 19 * 167 * 211 * 26561 * 599021 * 6895270661 * 14140494671
