p,r,n,poly,factorization
4519,1,2,x^2 + x + 26,2^4 * 3^2 * 5 * 113 * 251
4519,1,3,x^3 + x^2 + 45,2 * 3^3 * 7 * 251 * 972661
4519,1,4,x^4 + x^3 + 3,2^5 * 3^2 * 5 * 13 * 41 * 113 * 251 * 19157
4519,1,5,x^5 + x^4 + 9,2 * 3^2 * 11 * 251 * 3041 * 72271 * 172541
4519,1,6,x^6 + x^5 + 6,2^4 * 3^3 * 5 * 7 * 67 * 113 * 251 * 304729 * 972661
4519,1,7,x^7 + x^6 + 18,2 * 3^2 * 29 * 43 * 251 * 23584541 * 289638494083
4519,1,8,x^8 + x^7 + 14,2^6 * 3^2 * 5 * 13 * 41 * 113 * 251 * 353 * 19157 * 179161 * 3297017
4519,1,9,x^9 + x^8 + 46,2 * 3^4 * 7 * 19 * 251 * 972661 * 149409837126477010513
4519,1,10,x^10 + x^9 + 13,2^4 * 3^2 * 5^2 * 11 * 71 * 113 * 251 * 3041 * 72271 * 172541 * 1174478088391
4519,1,11,x^11 + x^10 + 39,2 * 3^2 * 251 * 777476292847 * 4569117986984394790911383
4519,1,12,x^12 + x^11 + 73,2^5 * 3^3 * 5 * 7 * 13 * 41 * 67 * 113 * 241 * 251 * 19157 * 304729 * 972661 * 1730423089921
4519,1,13,x^13 + x^12 + 18,2 * 3^2 * 251 * 677 * 16381 * 1217289664631 * 5373796263858550034250823
4519,1,14,x^14 + x^13 + 7,2^4 * 3^2 * 5 * 29 * 43 * 113 * 211 * 251 * 226367 * 23584541 * 289638494083 * 178263481447451
4519,1,15,x^15 + x^14 + 9,2 * 3^3 * 7 * 11 * 251 * 3041 * 32941 * 72271 * 172541 * 972661 * 5278443008950847366139781
4519,1,16,x^16 + x^15 + 38,2^7 * 3^2 * 5 * 13 * 17 * 41 * 113 * 251 * 353 * 881 * 19157 * 179161 * 3297017 * 16991809 * 341699456126500897
4519,1,17,x^17 + x^16 + 49,2 * 3^2 * 251 * 1021 * 4657729 * 67754030843 * 93894138171938557324070680375774066543
4519,1,18,x^18 + x^17 + 22,2^4 * 3^4 * 5 * 7 * 19 * 67 * 113 * 199 * 251 * 304729 * 972661 * 42795782492586036877 * 149409837126477010513
4519,1,19,x^19 + x^18 + 36,2 * 3^2 * 251 * 419 * 280859 * 4254151339 * 39821399253579636907 * 30990346967177500153860401137
4519,1,20,x^20 + x^19 + 198,2^5 * 3^2 * 5^2 * 11 * 13 * 41 * 71 * 113 * 251 * 3041 * 19157 * 72271 * 172541 * 274961 * 338141 * 452821 * 1174478088391 * 4130886082801
4519,1,21,x^21 + x^20 + 242,2 * 3^3 * 7^2 * 29 * 43 * 251 * 421 * 967 * 365527 * 972661 * 23584541 * 4555658773 * 15693592027 * 289638494083 * 973671288157
4519,2,2,x^4 + x^3 + 3,2^5 * 3^2 * 5 * 13 * 41 * 113 * 251 * 19157
4519,2,3,x^6 + x^5 + 6,2^4 * 3^3 * 5 * 7 * 67 * 113 * 251 * 304729 * 972661
4519,2,4,x^8 + x^7 + 14,2^6 * 3^2 * 5 * 13 * 41 * 113 * 251 * 353 * 19157 * 179161 * 3297017
