p,n,poly,factorization
5927,2,x^2 + x + 5,2^4 * 3 * 13 * 19 * 2963
5927,3,x^3 + x^2 + 13,2 * 43 * 103 * 2963 * 7933
5927,4,x^4 + x^3 + 10,2^5 * 3 * 5 * 13 * 19 * 257 * 2963 * 13669
5927,5,x^5 + x^4 + 2,2 * 11 * 181 * 2963 * 619928680391
5927,6,x^6 + x^5 + 22,2^4 * 3^2 * 7 * 13 * 19 * 31 * 43 * 103 * 163 * 331 * 2963 * 7933
5927,7,x^7 + x^6 + 24,2 * 421 * 2963 * 102991349246680887637
5927,8,x^8 + x^7 + 70,2^6 * 3 * 5 * 13 * 19 * 257 * 1801 * 2963 * 13669 * 37321 * 9180001
5927,9,x^9 + x^8 + 18,2 * 37 * 43 * 103 * 2963 * 7933 * 1264086541 * 926896051369
5927,10,x^10 + x^9 + 119,2^4 * 3 * 11 * 13 * 19 * 41 * 181 * 241 * 2963 * 38461 * 3246721 * 619928680391
5927,11,x^11 + x^10 + 4,2 * 23 * 1871 * 2963 * 155571989 * 7992626612573678329277981
5927,12,x^12 + x^11 + 227,2^5 * 3^2 * 5 * 7 * 13 * 19 * 31 * 43 * 103 * 109 * 163 * 257 * 331 * 2963 * 7933 * 13669 * 11321740558357
5927,13,x^13 + x^12 + 74,2 * 53 * 599 * 859 * 2963 * 110899699 * 621535850090251824943174893883
5927,14,x^14 + x^13 + 22,2^4 * 3 * 13 * 19 * 71 * 421 * 449 * 2963 * 1359664022383033417 * 102991349246680887637
5927,15,x^15 + x^14 + 7,2 * 11 * 43 * 103 * 151 * 181 * 211 * 2963 * 4261 * 7933 * 1137432451 * 619928680391 * 9860741786131
5927,16,x^16 + x^15 + 44,2^7 * 3 * 5 * 13 * 17 * 19 * 257 * 1801 * 2963 * 13669 * 37321 * 9180001 * 44792004783818028308896683473
5927,17,x^17 + x^16 + 114,2 * 2963 * 1700477 * 378518669 * 707006103781 * 5097425488627600505590346190547957
5927,18,x^18 + x^17 + 139,2^4 * 3^3 * 7 * 13 * 19 * 31 * 37 * 43 * 103 * 163 * 199 * 331 * 739 * 2963 * 6211 * 7933 * 20431 * 774354169 * 1264086541 * 926896051369
5927,19,x^19 + x^18 + 27,2 * 191 * 647 * 2963 * 6689 * 3752729 * 26269748995690925894790663615948493037470483004245801
5927,20,x^20 + x^19 + 102,2^5 * 3 * 5^2 * 11 * 13 * 19 * 41 * 101 * 181 * 241 * 257 * 1061 * 2963 * 13669 * 38461 * 3246721 * 619928680391 * 2842317856865411351968181
5927,21,x^21 + x^20 + 49,2 * 43 * 103 * 421 * 2963 * 5419 * 7933 * 2163314707 * 102991349246680887637 * 160290208190787397380152038119073
