p,n,poly,factorization
5381,2,x^2 + x + 7,2^3 * 3^2 * 5 * 13 * 23 * 269
5381,3,x^3 + x^2 + 12,2^2 * 5 * 43 * 61^2 * 181 * 269
5381,4,x^4 + x^3 + 3,2^4 * 3^2 * 5 * 13 * 23 * 257 * 269 * 56333
5381,5,x^5 + x^4 + 7,2^2 * 5^2 * 41 * 269 * 38971 * 104963251
5381,6,x^6 + x^5 + 10,2^3 * 3^3 * 5 * 7 * 13 * 23 * 43 * 61^2 * 181 * 269 * 1378561
5381,7,x^7 + x^6 + 15,2^2 * 5 * 29 * 269 * 71482391 * 11712823529233
5381,8,x^8 + x^7 + 7,2^5 * 3^2 * 5 * 13 * 17^2 * 23 * 257 * 269 * 56333 * 1450521364249
5381,9,x^9 + x^8 + 7,2^2 * 5 * 19 * 37 * 43 * 61^2 * 181 * 269 * 937 * 36853864638104593
5381,10,x^10 + x^9 + 3,2^3 * 3^2 * 5^2 * 11 * 13 * 23 * 41 * 269 * 38971 * 108191 * 104963251 * 704348261
5381,11,x^11 + x^10 + 93,2^2 * 5 * 269 * 331 * 12211 * 686858281847 * 7332706001324064593
5381,12,x^12 + x^11 + 10,2^4 * 3^3 * 5 * 7 * 13 * 23 * 43 * 61^2 * 181 * 257 * 269 * 397 * 56333 * 1378561 * 2111842114813
5381,13,x^13 + x^12 + 47,2^2 * 5 * 53 * 269 * 41208259 * 228485921 * 1747353271 * 675983854156652029
5381,14,x^14 + x^13 + 42,2^3 * 3^2 * 5 * 13 * 23 * 29 * 269 * 237217 * 464437 * 71482391 * 220305140329 * 11712823529233
5381,15,x^15 + x^14 + 217,2^2 * 5^2 * 31 * 41 * 43 * 61^2 * 181 * 269 * 6691 * 16561 * 38971 * 104963251 * 204589781778320326741
5381,16,x^16 + x^15 + 28,2^6 * 3^2 * 5 * 13 * 17^2 * 23 * 257 * 269 * 1361 * 56333 * 1450521364249 * 258235422934184747219040161
5381,17,x^17 + x^16 + 23,2^2 * 5 * 137 * 269 * 360602780081 * 10003199985148806954476822953629548242876495801
5381,18,x^18 + x^17 + 168,2^3 * 3^4 * 5 * 7 * 13 * 19 * 23 * 37 * 43 * 61^2 * 181 * 269 * 937 * 4519 * 71443 * 1378561 * 4023631 * 6229261 * 36853864638104593
5381,19,x^19 + x^18 + 62,2^2 * 5 * 269 * 1597 * 270143 * 218791613 * 30158064997181712752587 * 5026686445460917819175783899
5381,20,x^20 + x^19 + 51,2^4 * 3^2 * 5^2 * 11 * 13 * 23 * 41 * 257 * 269 * 421 * 38971 * 56333 * 108191 * 104963251 * 704348261 * 5701523041 * 292840366558876861
5381,21,x^21 + x^20 + 26,2^2 * 5 * 29 * 43 * 61^2 * 127 * 181 * 269 * 71482391 * 11712823529233 * 4639503078431092572884035951924246584022903
