p,r,n,poly,factorization
8167,1,2,x^2 + x + 24,2^4 * 3 * 1021 * 1361
8167,1,3,x^3 + x^2 + 9,2 * 3^2 * 13 * 73 * 1361 * 23431
8167,1,4,x^4 + x^3 + 24,2^5 * 3 * 5 * 541 * 1021 * 1361 * 12329
8167,1,5,x^5 + x^4 + 41,2 * 3 * 11 * 101 * 1361 * 4004878485431
8167,1,6,x^6 + x^5 + 6,2^4 * 3^2 * 7 * 13 * 37 * 73 * 1021 * 1361 * 23431 * 257497
8167,1,7,x^7 + x^6 + 63,2 * 3 * 337 * 967 * 1361 * 3361 * 270959028246943
8167,1,8,x^8 + x^7 + 67,2^6 * 3 * 5 * 233 * 541 * 1021 * 1361 * 5417 * 12329 * 1762404001
8167,1,9,x^9 + x^8 + 120,2 * 3^3 * 13 * 19 * 73 * 1361 * 5851 * 23431 * 280243 * 378289 * 8392897
8167,1,10,x^10 + x^9 + 34,2^4 * 3 * 11 * 101 * 1021 * 1361 * 4004878485431 * 4448330521310581
8167,1,11,x^11 + x^10 + 36,2 * 3 * 23 * 1361 * 3301 * 17390231986051030945822021640048899
8167,1,12,x^12 + x^11 + 38,2^5 * 3^2 * 5 * 7 * 13 * 37 * 73 * 109 * 313 * 541 * 1021 * 1361 * 12329 * 23431 * 257497 * 130400537149
8167,1,13,x^13 + x^12 + 13,2 * 3 * 131 * 547 * 1361 * 32059 * 161071 * 238000515973772415582331357150277
8167,1,14,x^14 + x^13 + 94,2^4 * 3 * 337 * 967 * 1021 * 1361 * 3361 * 26783 * 1580566849 * 7008903329 * 270959028246943
8167,1,15,x^15 + x^14 + 18,2 * 3^2 * 11 * 13 * 31 * 73 * 101 * 1361 * 5701 * 23431 * 4004878485431 * 111978470150296523186317171
8167,1,16,x^16 + x^15 + 83,2^7 * 3 * 5 * 17^2 * 233 * 401 * 541 * 1021 * 1361 * 5417 * 12329 * 23321489 * 1762404001 * 3661608928665328801
8167,1,17,x^17 + x^16 + 26,2 * 3 * 103 * 613 * 1361 * 159937 * 224403401 * 2132369074054754713 * 81080349989598665657636779
8167,1,18,x^18 + x^17 + 24,2^4 * 3^3 * 7 * 13 * 19 * 37 * 73 * 1021 * 1361 * 5851 * 23431 * 257497 * 280243 * 378289 * 8392897 * 15742244431 * 18849884006197
8167,1,19,x^19 + x^18 + 146,2 * 3 * 1361 * 8513 * 353401 * 2644573 * 37828321029661143071 * 86827270238641534042017619792360843
8167,1,20,x^20 + x^19 + 34,2^5 * 3 * 5^2 * 11 * 41 * 101 * 181 * 541 * 1021 * 1361 * 2081 * 12329 * 33555127481 * 4004878485431 * 7639009127641 * 4448330521310581
8167,2,2,x^4 + x^3 + 24,2^5 * 3 * 5 * 541 * 1021 * 1361 * 12329
8167,2,3,x^6 + x^5 + 6,2^4 * 3^2 * 7 * 13 * 37 * 73 * 1021 * 1361 * 23431 * 257497
8167,2,4,x^8 + x^7 + 67,2^6 * 3 * 5 * 233 * 541 * 1021 * 1361 * 5417 * 12329 * 1762404001
8167,2,5,x^10 + x^9 + 34,2^4 * 3 * 11 * 101 * 1021 * 1361 * 4004878485431 * 4448330521310581
8167,2,6,x^12 + x^11 + 38,2^5 * 3^2 * 5 * 7 * 13 * 37 * 73 * 109 * 313 * 541 * 1021 * 1361 * 12329 * 23431 * 257497 * 130400537149
8167,2,7,x^14 + x^13 + 94,2^4 * 3 * 337 * 967 * 1021 * 1361 * 3361 * 26783 * 1580566849 * 7008903329 * 270959028246943
8167,2,8,x^16 + x^15 + 83,2^7 * 3 * 5 * 17^2 * 233 * 401 * 541 * 1021 * 1361 * 5417 * 12329 * 23321489 * 1762404001 * 3661608928665328801
8167,2,9,x^18 + x^17 + 24,2^4 * 3^3 * 7 * 13 * 19 * 37 * 73 * 1021 * 1361 * 5851 * 23431 * 257497 * 280243 * 378289 * 8392897 * 15742244431 * 18849884006197
8167,2,10,x^20 + x^19 + 34,2^5 * 3 * 5^2 * 11 * 41 * 101 * 181 * 541 * 1021 * 1361 * 2081 * 12329 * 33555127481 * 4004878485431 * 7639009127641 * 4448330521310581
8167,3,2,x^6 + x^5 + 6,2^4 * 3^2 * 7 * 13 * 37 * 73 * 1021 * 1361 * 23431 * 257497
8167,3,3,x^9 + x^8 + 120,2 * 3^3 * 13 * 19 * 73 * 1361 * 5851 * 23431 * 280243 * 378289 * 8392897
8167,3,4,x^12 + x^11 + 38,2^5 * 3^2 * 5 * 7 * 13 * 37 * 73 * 109 * 313 * 541 * 1021 * 1361 * 12329 * 23431 * 257497 * 130400537149
8167,3,5,x^15 + x^14 + 18,2 * 3^2 * 11 * 13 * 31 * 73 * 101 * 1361 * 5701 * 23431 * 4004878485431 * 111978470150296523186317171
8167,3,6,x^18 + x^17 + 24,2^4 * 3^3 * 7 * 13 * 19 * 37 * 73 * 1021 * 1361 * 5851 * 23431 * 257497 * 280243 * 378289 * 8392897 * 15742244431 * 18849884006197
8167,4,2,x^8 + x^7 + 67,2^6 * 3 * 5 * 233 * 541 * 1021 * 1361 * 5417 * 12329 * 1762404001
8167,4,3,x^12 + x^11 + 38,2^5 * 3^2 * 5 * 7 * 13 * 37 * 73 * 109 * 313 * 541 * 1021 * 1361 * 12329 * 23431 * 257497 * 130400537149
8167,4,4,x^16 + x^15 + 83,2^7 * 3 * 5 * 17^2 * 233 * 401 * 541 * 1021 * 1361 * 5417 * 12329 * 23321489 * 1762404001 * 3661608928665328801
8167,4,5,x^20 + x^19 + 34,2^5 * 3 * 5^2 * 11 * 41 * 101 * 181 * 541 * 1021 * 1361 * 2081 * 12329 * 33555127481 * 4004878485431 * 7639009127641 * 4448330521310581
8167,5,2,x^10 + x^9 + 34,2^4 * 3 * 11 * 101 * 1021 * 1361 * 4004878485431 * 4448330521310581
8167,5,3,x^15 + x^14 + 18,2 * 3^2 * 11 * 13 * 31 * 73 * 101 * 1361 * 5701 * 23431 * 4004878485431 * 111978470150296523186317171
8167,5,4,x^20 + x^19 + 34,2^5 * 3 * 5^2 * 11 * 41 * 101 * 181 * 541 * 1021 * 1361 * 2081 * 12329 * 33555127481 * 4004878485431 * 7639009127641 * 4448330521310581
8167,6,2,x^12 + x^11 + 38,2^5 * 3^2 * 5 * 7 * 13 * 37 * 73 * 109 * 313 * 541 * 1021 * 1361 * 12329 * 23431 * 257497 * 130400537149
8167,6,3,x^18 + x^17 + 24,2^4 * 3^3 * 7 * 13 * 19 * 37 * 73 * 1021 * 1361 * 5851 * 23431 * 257497 * 280243 * 378289 * 8392897 * 15742244431 * 18849884006197
8167,7,2,x^14 + x^13 + 94,2^4 * 3 * 337 * 967 * 1021 * 1361 * 3361 * 26783 * 1580566849 * 7008903329 * 270959028246943
8167,8,2,x^16 + x^15 + 83,2^7 * 3 * 5 * 17^2 * 233 * 401 * 541 * 1021 * 1361 * 5417 * 12329 * 23321489 * 1762404001 * 3661608928665328801
8167,9,2,x^18 + x^17 + 24,2^4 * 3^3 * 7 * 13 * 19 * 37 * 73 * 1021 * 1361 * 5851 * 23431 * 257497 * 280243 * 378289 * 8392897 * 15742244431 * 18849884006197
8167,10,2,x^20 + x^19 + 34,2^5 * 3 * 5^2 * 11 * 41 * 101 * 181 * 541 * 1021 * 1361 * 2081 * 12329 * 33555127481 * 4004878485431 * 7639009127641 * 4448330521310581
