p,n,poly,factorization
1021,2,x^2 + x + 10,2^3 * 3 * 5 * 7 * 17 * 73
1021,3,x^3 + x^2 + 37,2^2 * 3^2 * 5 * 17 * 347821
1021,4,x^4 + x^3 + 30,2^4 * 3 * 5 * 7 * 17 * 73 * 233 * 2237
1021,5,x^5 + x^4 + 31,2^2 * 3 * 5^2 * 11 * 17 * 41 * 1451 * 332441
1021,6,x^6 + x^5 + 65,2^3 * 3^2 * 5 * 7 * 17 * 73 * 347821 * 1041421
1021,7,x^7 + x^6 + 30,2^2 * 3 * 5 * 17 * 197 * 2381 * 2417432749411
1021,8,x^8 + x^7 + 34,2^5 * 3 * 5 * 7 * 17 * 73 * 233 * 2237 * 3209 * 169318049
1021,9,x^9 + x^8 + 40,2^2 * 3^3 * 5 * 17 * 347821 * 377601054289901461
1021,10,x^10 + x^9 + 77,2^3 * 3 * 5^2 * 7 * 11 * 17 * 31 * 41 * 73 * 1451 * 332441 * 35019998311
1021,11,x^11 + x^10 + 53,2^2 * 3 * 5 * 17 * 23 * 564371281 * 94927107839634863497
1021,12,x^12 + x^11 + 35,2^4 * 3^2 * 5 * 7 * 13 * 17 * 73 * 233 * 2237 * 347821 * 1041421 * 83590938157
1021,13,x^13 + x^12 + 82,2^2 * 3 * 5 * 17 * 294468539 * 4362099561244220949346817807
1021,14,x^14 + x^13 + 43,2^3 * 3 * 5 * 7^2 * 17 * 29 * 43 * 73 * 113 * 197 * 2381 * 11117 * 103204529 * 2417432749411
1021,15,x^15 + x^14 + 46,2^2 * 3^2 * 5^2 * 11 * 17 * 41 * 1451 * 11311 * 332441 * 347821 * 104298812649259004671
1021,16,x^16 + x^15 + 372,2^6 * 3 * 5 * 7 * 17 * 73 * 233 * 2237 * 3209 * 169318049 * 590440230397776959593681
1021,17,x^17 + x^16 + 22,2^2 * 3 * 5 * 17^2 * 790023049 * 41661857431457 * 2494652925229173251424377
1021,18,x^18 + x^17 + 66,2^3 * 3^3 * 5 * 7 * 17 * 19^2 * 73 * 181 * 347821 * 1041421 * 17336789469721 * 377601054289901461
1021,19,x^19 + x^18 + 43,2^2 * 3 * 5 * 17 * 149113 * 1566893 * 60339634963847660381 * 103212286955230720617991
1021,20,x^20 + x^19 + 53,2^4 * 3 * 5^2 * 7 * 11 * 17 * 31 * 41 * 73 * 233 * 1451 * 2237 * 41281 * 332441 * 4247836301 * 6734223701 * 35019998311
1021,21,x^21 + x^20 + 66,2^2 * 3^2 * 5 * 17 * 197 * 2381 * 3319 * 347821 * 21215503 * 36320257 * 2417432749411 * 501272450556594529
1021,22,x^22 + x^21 + 53,2^3 * 3 * 5 * 7 * 17 * 23 * 73 * 50909 * 443797927 * 564371281 * 54431766830009207 * 94927107839634863497
1021,23,x^23 + x^22 + 37,2^2 * 3 * 5 * 17 * 47 * 4463 * 48094110033503442048627265301 * 156738345742867326808791716419303
1021,24,x^24 + x^23 + 94,2^5 * 3^2 * 5 * 7 * 13 * 17 * 73 * 233 * 2237 * 3209 * 5113 * 10753 * 15937 * 347821 * 1041421 * 169318049 * 83590938157 * 1347702163417
1021,25,x^25 + x^24 + 120,2^2 * 3 * 5^3 * 11 * 17 * 41 * 701 * 1451 * 88801 * 332441 * 1308551 * 100857151 * 2798310701 * 13183043342987299789551629801
1021,26,x^26 + x^25 + 77,2^3 * 3 * 5 * 7 * 17 * 73 * 677 * 294468539 * 4362099561244220949346817807 * 1893629813913069488173473758704373
