p,n,poly,factorization
8191,2,x^2 + x + 33,2^14 * 3^2 * 5 * 7 * 13
8191,3,x^3 + x^2 + 22,2 * 3^3 * 5 * 7 * 13 * 22366891
8191,4,x^4 + x^3 + 59,2^15 * 3^2 * 5 * 7 * 13 * 41 * 101 * 8101
8191,5,x^5 + x^4 + 11,2 * 3^2 * 5^2 * 7 * 13 * 900390125669581
8191,6,x^6 + x^5 + 31,2^14 * 3^3 * 5 * 7 * 13 * 193 * 347587 * 22366891
8191,7,x^7 + x^6 + 22,2 * 3^2 * 5 * 7^2 * 13 * 43 * 197 * 34651 * 147002961982451
8191,8,x^8 + x^7 + 63,2^16 * 3^2 * 5 * 7 * 13 * 41 * 101 * 8101 * 2250700503367681
8191,9,x^9 + x^8 + 97,2 * 3^4 * 5 * 7 * 13 * 109 * 22366891 * 39662137 * 23286150103087
8191,10,x^10 + x^9 + 126,2^14 * 3^2 * 5^2 * 7 * 11 * 13 * 181 * 1201 * 1931 * 974761 * 900390125669581
8191,11,x^11 + x^10 + 65,2 * 3^2 * 5 * 7 * 13 * 23 * 1098791 * 10746979 * 5006024303312039252789963
8191,12,x^12 + x^11 + 297,2^15 * 3^3 * 5 * 7 * 13 * 37 * 41 * 101 * 193 * 2377 * 8101 * 347587 * 22366891 * 51181945669
8191,13,x^13 + x^12 + 176,2 * 3^2 * 5 * 7 * 13^2 * 1613 * 2731 * 391168219093805557 * 4072238004915136035071
8191,14,x^14 + x^13 + 118,2^14 * 3^2 * 5 * 7^2 * 13 * 29 * 43 * 71 * 127 * 197 * 1051 * 34651 * 2172283 * 505812259 * 147002961982451
8191,15,x^15 + x^14 + 58,2 * 3^3 * 5^2 * 7 * 13 * 31 * 121921 * 22366891 * 900390125669581 * 5360461403548198164910111
8191,16,x^16 + x^15 + 236,2^17 * 3^2 * 5 * 7 * 13 * 17 * 41 * 101 * 8101 * 178561 * 4464899489 * 747512043546577 * 2250700503367681
8191,17,x^17 + x^16 + 65,2 * 3^2 * 5 * 7 * 13 * 34613 * 46947643 * 72931812677 * 594738299701335719 * 5825696942516555896621
8191,18,x^18 + x^17 + 85,2^14 * 3^4 * 5 * 7 * 13 * 19 * 109 * 193 * 1459 * 56467 * 347587 * 2633203 * 22366891 * 39662137 * 73271251 * 23286150103087
8191,19,x^19 + x^18 + 29,2 * 3^2 * 5 * 7 * 13 * 185938447 * 14200279091 * 3648528399007 * 2859788270662228307479791403446427451531
8191,20,x^20 + x^19 + 59,2^15 * 3^2 * 5^2 * 7 * 11 * 13 * 41 * 101 * 181 * 1201 * 1931 * 8101 * 974761 * 9586417921 * 30382756321 * 69568377121 * 900390125669581
