p,e,n,poly,factorization
9059,1,2,x^2 + x + 13,2^3 * 3 * 5 * 7 * 151 * 647
9059,1,3,x^3 + x^2 + 5,2 * 7 * 647 * 82074541
9059,1,4,x^4 + x^3 + 2,2^4 * 3 * 5 * 7 * 37 * 151 * 647 * 1108993
9059,1,5,x^5 + x^4 + 20,2 * 7 * 647 * 1159661 * 5808151421
9059,1,6,x^6 + x^5 + 18,2^3 * 3^2 * 5 * 7 * 151 * 211 * 647 * 129631 * 82074541
9059,1,7,x^7 + x^6 + 4,2 * 7^2 * 647 * 17011 * 810316879 * 5728576687
9059,1,8,x^8 + x^7 + 28,2^5 * 3 * 5 * 7 * 17 * 37 * 151 * 257 * 647 * 34273 * 1108993 * 22488313
9059,1,9,x^9 + x^8 + 26,2 * 7 * 647 * 82074541 * 318320389 * 1736269359116689
9059,1,10,x^10 + x^9 + 113,2^3 * 3 * 5^2 * 7 * 11 * 151 * 191 * 647 * 9041 * 1159661 * 70902341 * 5808151421
9059,1,11,x^11 + x^10 + 132,2 * 7 * 67 * 647 * 153319 * 19300095755623 * 18776744445384949519
9059,1,12,x^12 + x^11 + 22,2^4 * 3^2 * 5 * 7 * 13 * 37 * 151 * 211 * 647 * 2293 * 129631 * 1108993 * 82074541 * 225929856409
9059,1,13,x^13 + x^12 + 62,2 * 7 * 53 * 647 * 272771123 * 21131814899698914337007486155705876039
9059,1,14,x^14 + x^13 + 28,2^3 * 3 * 5 * 7^2 * 151 * 647 * 17011 * 810316879 * 5728576687 * 61273452899 * 9019059777953
9059,1,15,x^15 + x^14 + 43,2 * 7 * 31 * 647 * 1159661 * 82074541 * 5808151421 * 1462959960370991330961113170831
9059,1,16,x^16 + x^15 + 21,2^6 * 3 * 5 * 7 * 17 * 37 * 151 * 257 * 337 * 647 * 34273 * 1108993 * 22488313 * 99857617 * 673908575603080412209
9059,1,17,x^17 + x^16 + 14,2 * 7 * 239 * 647 * 19993 * 2460666624181 * 174986059842212442925456189488925569464686283
9059,1,18,x^18 + x^17 + 89,2^3 * 3^3 * 5 * 7 * 19 * 151 * 211 * 647 * 129631 * 82074541 * 318320389 * 1736269359116689 * 9696314698268741692759
9059,1,19,x^19 + x^18 + 126,2 * 7 * 647 * 1901 * 1600789 * 9889383113 * 27308294389 * 49026984857 * 254253994877 * 16481990550029907613
9059,1,20,x^20 + x^19 + 306,2^4 * 3 * 5^2 * 7 * 11 * 37 * 41 * 151 * 191 * 401 * 647 * 9041 * 1108993 * 1159661 * 70902341 * 4212477281 * 5808151421 * 654901931072038841
9059,2,2,x^4 + x^3 + 2,2^4 * 3 * 5 * 7 * 37 * 151 * 647 * 1108993
9059,2,3,x^6 + x^5 + 18,2^3 * 3^2 * 5 * 7 * 151 * 211 * 647 * 129631 * 82074541
9059,2,4,x^8 + x^7 + 28,2^5 * 3 * 5 * 7 * 17 * 37 * 151 * 257 * 647 * 34273 * 1108993 * 22488313
9059,2,5,x^10 + x^9 + 113,2^3 * 3 * 5^2 * 7 * 11 * 151 * 191 * 647 * 9041 * 1159661 * 70902341 * 5808151421
9059,2,6,x^12 + x^11 + 22,2^4 * 3^2 * 5 * 7 * 13 * 37 * 151 * 211 * 647 * 2293 * 129631 * 1108993 * 82074541 * 225929856409
9059,2,7,x^14 + x^13 + 28,2^3 * 3 * 5 * 7^2 * 151 * 647 * 17011 * 810316879 * 5728576687 * 61273452899 * 9019059777953
9059,2,8,x^16 + x^15 + 21,2^6 * 3 * 5 * 7 * 17 * 37 * 151 * 257 * 337 * 647 * 34273 * 1108993 * 22488313 * 99857617 * 673908575603080412209
9059,2,9,x^18 + x^17 + 89,2^3 * 3^3 * 5 * 7 * 19 * 151 * 211 * 647 * 129631 * 82074541 * 318320389 * 1736269359116689 * 9696314698268741692759
9059,2,10,x^20 + x^19 + 306,2^4 * 3 * 5^2 * 7 * 11 * 37 * 41 * 151 * 191 * 401 * 647 * 9041 * 1108993 * 1159661 * 70902341 * 4212477281 * 5808151421 * 654901931072038841
9059,3,2,x^6 + x^5 + 18,2^3 * 3^2 * 5 * 7 * 151 * 211 * 647 * 129631 * 82074541
9059,3,3,x^9 + x^8 + 26,2 * 7 * 647 * 82074541 * 318320389 * 1736269359116689
9059,3,4,x^12 + x^11 + 22,2^4 * 3^2 * 5 * 7 * 13 * 37 * 151 * 211 * 647 * 2293 * 129631 * 1108993 * 82074541 * 225929856409
9059,3,5,x^15 + x^14 + 43,2 * 7 * 31 * 647 * 1159661 * 82074541 * 5808151421 * 1462959960370991330961113170831
9059,3,6,x^18 + x^17 + 89,2^3 * 3^3 * 5 * 7 * 19 * 151 * 211 * 647 * 129631 * 82074541 * 318320389 * 1736269359116689 * 9696314698268741692759
9059,4,2,x^8 + x^7 + 28,2^5 * 3 * 5 * 7 * 17 * 37 * 151 * 257 * 647 * 34273 * 1108993 * 22488313
9059,4,3,x^12 + x^11 + 22,2^4 * 3^2 * 5 * 7 * 13 * 37 * 151 * 211 * 647 * 2293 * 129631 * 1108993 * 82074541 * 225929856409
9059,4,4,x^16 + x^15 + 21,2^6 * 3 * 5 * 7 * 17 * 37 * 151 * 257 * 337 * 647 * 34273 * 1108993 * 22488313 * 99857617 * 673908575603080412209
9059,4,5,x^20 + x^19 + 306,2^4 * 3 * 5^2 * 7 * 11 * 37 * 41 * 151 * 191 * 401 * 647 * 9041 * 1108993 * 1159661 * 70902341 * 4212477281 * 5808151421 * 654901931072038841
9059,5,2,x^10 + x^9 + 113,2^3 * 3 * 5^2 * 7 * 11 * 151 * 191 * 647 * 9041 * 1159661 * 70902341 * 5808151421
9059,5,3,x^15 + x^14 + 43,2 * 7 * 31 * 647 * 1159661 * 82074541 * 5808151421 * 1462959960370991330961113170831
9059,5,4,x^20 + x^19 + 306,2^4 * 3 * 5^2 * 7 * 11 * 37 * 41 * 151 * 191 * 401 * 647 * 9041 * 1108993 * 1159661 * 70902341 * 4212477281 * 5808151421 * 654901931072038841
9059,6,2,x^12 + x^11 + 22,2^4 * 3^2 * 5 * 7 * 13 * 37 * 151 * 211 * 647 * 2293 * 129631 * 1108993 * 82074541 * 225929856409
9059,6,3,x^18 + x^17 + 89,2^3 * 3^3 * 5 * 7 * 19 * 151 * 211 * 647 * 129631 * 82074541 * 318320389 * 1736269359116689 * 9696314698268741692759
9059,7,2,x^14 + x^13 + 28,2^3 * 3 * 5 * 7^2 * 151 * 647 * 17011 * 810316879 * 5728576687 * 61273452899 * 9019059777953
9059,8,2,x^16 + x^15 + 21,2^6 * 3 * 5 * 7 * 17 * 37 * 151 * 257 * 337 * 647 * 34273 * 1108993 * 22488313 * 99857617 * 673908575603080412209
9059,9,2,x^18 + x^17 + 89,2^3 * 3^3 * 5 * 7 * 19 * 151 * 211 * 647 * 129631 * 82074541 * 318320389 * 1736269359116689 * 9696314698268741692759
9059,10,2,x^20 + x^19 + 306,2^4 * 3 * 5^2 * 7 * 11 * 37 * 41 * 151 * 191 * 401 * 647 * 9041 * 1108993 * 1159661 * 70902341 * 4212477281 * 5808151421 * 654901931072038841
