p,e,n,poly,factorization
9851,1,2,x^2 + x + 8,2^3 * 3 * 5^2 * 197 * 821
9851,1,3,x^3 + x^2 + 16,2 * 5^2 * 7 * 79 * 197 * 223 * 787
9851,1,4,x^4 + x^3 + 30,2^4 * 3 * 5^2 * 197 * 821 * 48521101
9851,1,5,x^5 + x^4 + 11,2 * 5^3 * 197 * 4561 * 18541 * 22274201
9851,1,6,x^6 + x^5 + 47,2^3 * 3^2 * 5^2 * 7 * 13 * 79 * 197 * 223 * 787 * 821 * 2488009
9851,1,7,x^7 + x^6 + 4,2 * 5^2 * 29 * 43 * 197 * 10164752627 * 72104560753
9851,1,8,x^8 + x^7 + 6,2^5 * 3 * 5^2 * 17 * 197 * 241 * 821 * 54577 * 21057929 * 48521101
9851,1,9,x^9 + x^8 + 14,2 * 5^2 * 7 * 19 * 37 * 79 * 197 * 223 * 787 * 2377 * 546886757907012763
9851,1,10,x^10 + x^9 + 8,2^3 * 3 * 5^3 * 11 * 197 * 821 * 4561 * 18541 * 4693001 * 22274201 * 182403791
9851,1,11,x^11 + x^10 + 111,2 * 5^2 * 197 * 361967 * 36358807 * 653986338439961537785152269
9851,1,12,x^12 + x^11 + 217,2^4 * 3^2 * 5^2 * 7 * 13 * 79 * 109 * 197 * 223 * 787 * 821 * 2281 * 159541 * 237409 * 2488009 * 48521101
9851,1,13,x^13 + x^12 + 38,2 * 5^2 * 53 * 197 * 69168269 * 227837465392678439667078014933544652009
9851,1,14,x^14 + x^13 + 18,2^3 * 3 * 5^2 * 29 * 43 * 197 * 821 * 7043 * 7589 * 11047 * 10164752627 * 72104560753 * 1547573324179
9851,1,15,x^15 + x^14 + 180,2 * 5^3 * 7 * 79 * 197 * 223 * 787 * 4561 * 18541 * 22274201 * 163890304356511 * 541059718507482991
9851,1,16,x^16 + x^15 + 61,2^6 * 3 * 5^2 * 17 * 197 * 241 * 821 * 2161 * 54577 * 3565537 * 21057929 * 48521101 * 932307953 * 6172675599281
