p,n,poly,factorization
2347,2,x^2 + x + 5,2^3 * 3 * 17 * 23 * 587
2347,3,x^3 + x^2 + 10,2 * 3^2 * 7 * 17 * 23 * 397 * 661
2347,4,x^4 + x^3 + 18,2^4 * 3 * 5 * 17 * 23 * 587 * 550841
2347,5,x^5 + x^4 + 15,2 * 3 * 11 * 17 * 23 * 41 * 67307103011
2347,6,x^6 + x^5 + 29,2^3 * 3^2 * 7 * 17 * 23 * 79 * 397 * 587 * 661 * 69697
2347,7,x^7 + x^6 + 65,2 * 3 * 17 * 23 * 9689 * 17257769475421973
2347,8,x^8 + x^7 + 5,2^5 * 3 * 5 * 17 * 23 * 587 * 769 * 54617 * 361217 * 550841
2347,9,x^9 + x^8 + 21,2 * 3^3 * 7 * 17 * 23 * 37 * 397 * 661 * 18523 * 81291330570601
2347,10,x^10 + x^9 + 43,2^3 * 3 * 11 * 17 * 23 * 41 * 587 * 2773871 * 10934051 * 67307103011
2347,11,x^11 + x^10 + 6,2 * 3 * 17 * 23 * 403547 * 964263783583 * 13038450998541937
2347,12,x^12 + x^11 + 136,2^4 * 3^2 * 5 * 7 * 13^2 * 17 * 23 * 61 * 79 * 397 * 587 * 661 * 69697 * 550841 * 2943308197
2347,13,x^13 + x^12 + 69,2 * 3 * 17 * 23 * 53 * 172849 * 3050699396087109918010930018949573
2347,14,x^14 + x^13 + 42,2^3 * 3 * 17 * 23 * 587 * 9689 * 279007 * 1910903 * 313357283 * 17257769475421973
2347,15,x^15 + x^14 + 47,2 * 3^2 * 7 * 11 * 17 * 23 * 41 * 397 * 661 * 67307103011 * 920279260855393314407012401
2347,16,x^16 + x^15 + 48,2^6 * 3 * 5 * 17 * 23 * 587 * 769 * 1889 * 54617 * 361217 * 550841 * 27714908369 * 8792842947841
2347,17,x^17 + x^16 + 25,2 * 3 * 17^2 * 23 * 103 * 3163 * 13159 * 825739199 * 581429681831 * 24235176681344325949867
2347,18,x^18 + x^17 + 48,2^3 * 3^3 * 7 * 17 * 19 * 23 * 37 * 79 * 397 * 587 * 661 * 18523 * 69697 * 80626501 * 109105620553 * 81291330570601
2347,19,x^19 + x^18 + 35,2 * 3 * 17 * 23 * 229 * 21591259 * 27089669 * 316761305732737 * 110095969988682356101009958999
2347,20,x^20 + x^19 + 192,2^4 * 3 * 5^2 * 11 * 17 * 23 * 41 * 587 * 37441 * 550841 * 2773871 * 10934051 * 627407821 * 67307103011 * 7838577667121
2347,21,x^21 + x^20 + 135,2 * 3^2 * 7^2 * 17 * 23 * 43 * 127 * 397 * 661 * 9689 * 14336330947 * 722560378051 * 70516316086651 * 17257769475421973
2347,22,x^22 + x^21 + 12,2^3 * 3 * 17 * 23 * 587 * 403547 * 964263783583 * 13038450998541937 * 5069275482896515252262016786626023
2347,23,x^23 + x^22 + 456,2 * 3 * 17 * 23^2 * 277 * 22246692294827221655146525550687442091139167379469482387752316571437167
