p,n,poly,factorization
827,2,x^2 + x + 6,2^3 * 3^2 * 7 * 23 * 59
827,3,x^3 + x^2 + 9,2 * 7 * 59 * 684757
827,4,x^4 + x^3 + 15,2^4 * 3^2 * 5 * 7 * 13 * 23 * 59 * 5261
827,5,x^5 + x^4 + 40,2 * 7 * 59 * 61 * 7677461821
827,6,x^6 + x^5 + 53,2^3 * 3^3 * 7 * 23 * 59 * 109 * 2089 * 684757
827,7,x^7 + x^6 + 3,2 * 7^2 * 59 * 112771 * 405754222441
827,8,x^8 + x^7 + 22,2^5 * 3^2 * 5 * 7 * 13 * 23 * 59 * 5261 * 34033 * 6872137
827,9,x^9 + x^8 + 10,2 * 7 * 59 * 684757 * 319913861581383373
827,10,x^10 + x^9 + 17,2^3 * 3^2 * 7 * 11 * 23 * 59 * 61 * 71 * 598199681 * 7677461821
827,11,x^11 + x^10 + 61,2 * 7 * 59 * 7129 * 21016091133594619718822893
827,12,x^12 + x^11 + 37,2^4 * 3^3 * 5 * 7 * 13 * 23 * 59 * 73 * 109 * 229 * 2089 * 5261 * 684757 * 27980989
827,13,x^13 + x^12 + 75,2 * 7 * 59 * 23054903 * 224757469 * 19774893110725072763
827,14,x^14 + x^13 + 15,2^3 * 3^2 * 7^2 * 23 * 59 * 112771 * 405754222441 * 319527491618412043
827,15,x^15 + x^14 + 69,2 * 7 * 59 * 61 * 331 * 751 * 14281 * 684757 * 7677461821 * 61559072110741
827,16,x^16 + x^15 + 50,2^6 * 3^2 * 5 * 7 * 13 * 17^3 * 23 * 59 * 5261 * 34033 * 6872137 * 1764296257 * 12621059201
827,17,x^17 + x^16 + 65,2 * 7 * 59 * 1100581 * 43550345425494719155067082276823359505741
827,18,x^18 + x^17 + 15,2^3 * 3^4 * 7 * 19 * 23 * 59 * 109 * 2089 * 684757 * 2700487 * 2078337673 * 319913861581383373
827,19,x^19 + x^18 + 10,2 * 7 * 59 * 39748571 * 1700121407 * 22692301147993 * 21376895784599513693497
827,20,x^20 + x^19 + 220,2^4 * 3^2 * 5^2 * 7 * 11 * 13 * 23 * 59 * 61 * 71 * 5261 * 363541 * 78373261 * 598199681 * 1535861741 * 7677461821
827,21,x^21 + x^20 + 76,2 * 7^2 * 43 * 59 * 12097 * 112771 * 684757 * 7327657 * 622629547 * 405754222441 * 43072458210601
827,22,x^22 + x^21 + 148,2^3 * 3^2 * 7 * 23 * 59 * 1409 * 7129 * 21016091133594619718822893 * 106076522826938223500884087
827,23,x^23 + x^22 + 40,2 * 7 * 47 * 59 * 277 * 7462649146572455000723 * 157825081209327452596366110848362075261
827,24,x^24 + x^23 + 342,2^5 * 3^3 * 5 * 7 * 13 * 23 * 59 * 73 * 109 * 193 * 229 * 2089 * 3793 * 5261 * 34033 * 684757 * 6872137 * 27980989 * 298884865699139809
827,25,x^25 + x^24 + 11,2 * 7 * 59 * 61 * 101 * 151 * 401 * 7677461821 * 170897914228332085589801 * 21425488621943160635616673451
827,26,x^26 + x^25 + 158,2^3 * 3^2 * 7 * 23 * 59 * 3797 * 23054903 * 31844671 * 224757469 * 19774893110725072763 * 845403271062870615575663
827,27,x^27 + x^26 + 14,2 * 7 * 59 * 684757 * 148957327 * 319913861581383373 * 1828926852453194149 * 120182425669769318430390559
