p,r,n,poly,factorization
163,1,2,x^2 + x + 11,2^3 * 3^4 * 41
163,1,3,x^3 + x^2 + 16,2 * 3^5 * 7 * 19 * 67
163,1,4,x^4 + x^3 + 3,2^4 * 3^4 * 5 * 41 * 2657
163,1,5,x^5 + x^4 + 10,2 * 3^4 * 11 * 31 * 1301 * 1601
163,1,6,x^6 + x^5 + 32,2^3 * 3^5 * 7 * 19 * 41 * 67 * 26407
163,1,7,x^7 + x^6 + 62,2 * 3^4 * 18871143464293
163,1,8,x^8 + x^7 + 50,2^5 * 3^4 * 5 * 41 * 601 * 2657 * 587281
163,1,9,x^9 + x^8 + 35,2 * 3^6 * 7 * 19 * 67 * 6251791302919
163,1,10,x^10 + x^9 + 44,2^3 * 3^4 * 11 * 31 * 41 * 61 * 1301 * 1601 * 11501761
163,1,11,x^11 + x^10 + 4,2 * 3^4 * 23 * 579189657172292026411
163,1,12,x^12 + x^11 + 108,2^4 * 3^5 * 5 * 7 * 13 * 19 * 41 * 67 * 2657 * 26407 * 54298861
163,1,13,x^13 + x^12 + 39,2 * 3^4 * 10865297 * 32574836199364307993
163,1,14,x^14 + x^13 + 18,2^3 * 3^4 * 41 * 5923 * 21379 * 147211 * 18871143464293
163,1,15,x^15 + x^14 + 10,2 * 3^5 * 7 * 11 * 19 * 31 * 67 * 1301 * 1601 * 495254403438941521
163,1,16,x^16 + 2*x^15 + 137,2^6 * 3^4 * 5 * 17 * 41 * 601 * 2657 * 587281 * 2275681 * 6440365793
163,1,17,x^17 + 2*x^16 + 111,2 * 3^4 * 239 * 398311 * 409429 * 6410257248152820342421
163,1,18,x^18 + x^17 + 2,2^3 * 3^6 * 7 * 19 * 41 * 67 * 26407 * 1883611 * 9957133 * 6251791302919
163,1,19,x^19 + x^18 + 15,2 * 3^4 * 665723 * 4862375747609 * 2050724835145113929839
163,1,20,x^20 + x^19 + 2,2^4 * 3^4 * 5^2 * 11 * 31 * 41 * 61 * 101 * 1301 * 1601 * 2657 * 11501761 * 986718137929561
163,1,21,x^21 + x^20 + 56,2 * 3^5 * 7^2 * 19 * 67 * 463 * 32971 * 91771 * 18871143464293 * 35650214624809
