p,n,poly,factorization
2221,2,x^2 + x + 10,2^3 * 3 * 5 * 11 * 37 * 101
2221,3,x^3 + x^2 + 33,2^2 * 3^2 * 5 * 7 * 37 * 235003
2221,4,x^4 + x^3 + 2,2^4 * 3 * 5 * 11 * 29 * 37 * 101 * 85049
2221,5,x^5 + x^4 + 2,2^2 * 3 * 5^2 * 37 * 271241 * 17950001
2221,6,x^6 + x^5 + 10,2^3 * 3^2 * 5 * 7 * 11 * 37 * 101 * 181 * 27241 * 235003
2221,7,x^7 + x^6 + 13,2^2 * 3 * 5 * 37 * 71 * 1429 * 1183576566098753
2221,8,x^8 + x^7 + 6,2^5 * 3 * 5 * 11 * 29 * 37 * 101 * 761 * 85049 * 15987464081
2221,9,x^9 + x^8 + 11,2^2 * 3^3 * 5 * 7 * 19 * 37 * 235003 * 693829 * 3035037402811
2221,10,x^10 + x^9 + 87,2^3 * 3 * 5^2 * 11 * 37 * 101 * 811 * 271241 * 17950001 * 29990097931
2221,11,x^11 + x^10 + 150,2^2 * 3 * 5 * 23 * 37 * 6689 * 5034283 * 3772719458643128084411
2221,12,x^12 + x^11 + 13,2^4 * 3^2 * 5 * 7 * 11 * 13 * 29 * 37 * 101 * 109 * 181 * 27241 * 85049 * 235003 * 17172135073
2221,13,x^13 + x^12 + 117,2^2 * 3 * 5 * 37 * 859 * 16779735967976399661831869265680112847
2221,14,x^14 + x^13 + 10,2^3 * 3 * 5 * 11 * 37 * 71 * 101 * 1429 * 1183576566098753 * 119976407965790146261
2221,15,x^15 + x^14 + 85,2^2 * 3^2 * 5^2 * 7 * 31 * 37 * 61 * 5101 * 235003 * 271241 * 17950001 * 61354445004560688391
2221,16,x^16 + x^15 + 50,2^6 * 3 * 5 * 11 * 17 * 29 * 37 * 101 * 761 * 38561 * 60209 * 85049 * 15987464081 * 7500666384385457
2221,17,x^17 + x^16 + 2,2^2 * 3 * 5 * 37 * 297865685641 * 52023538485262301 * 22633522929358078063015357
2221,18,x^18 + x^17 + 11,2^3 * 3^3 * 5 * 7 * 11 * 19 * 37 * 101 * 181 * 27241 * 235003 * 693829 * 3035037402811 * 120030427048920659461
2221,19,x^19 + x^18 + 94,2^2 * 3 * 5 * 37 * 457 * 31883 * 281353 * 2349313 * 134917823 * 1050944569 * 1266930208275198093082483
2221,20,x^20 + x^19 + 68,2^4 * 3 * 5^2 * 11 * 29 * 37 * 101 * 811 * 85049 * 271241 * 17950001 * 29990097931 * 592090891818065523826000081
2221,21,x^21 + x^20 + 18,2^2 * 3^2 * 5 * 7^2 * 37 * 71 * 1429 * 235003 * 1183576566098753 * 2057259509597403619969248422727119199103
2221,22,x^22 + x^21 + 51,2^3 * 3 * 5 * 11^2 * 23 * 37 * 89 * 101 * 6689 * 178597 * 362143 * 5034283 * 12516769 * 3683501964781 * 3772719458643128084411
2221,23,x^23 + x^22 + 11,2^2 * 3 * 5 * 37 * 47 * 3359 * 474649267399641721 * 561801889457556727632958235804004305408673660959051
