p,n,poly,factorization
3607,2,x^2 + x + 13,2^4 * 3 * 11 * 41 * 601
3607,3,x^3 + x^2 + 25,2 * 3^2 * 7^2 * 223 * 397 * 601
3607,4,x^4 + x^3 + 14,2^5 * 3 * 5^2 * 11 * 41 * 601 * 260209
3607,5,x^5 + x^4 + 25,2 * 3 * 71 * 601 * 1741 * 9791 * 139901
3607,6,x^6 + x^5 + 38,2^4 * 3^2 * 7^2 * 11 * 41 * 223 * 397 * 601 * 13006843
3607,7,x^7 + x^6 + 39,2 * 3 * 601 * 967 * 2278089591379460671
3607,8,x^8 + x^7 + 13,2^6 * 3 * 5^2 * 11 * 41 * 241 * 601 * 260209 * 370009 * 949129
3607,9,x^9 + x^8 + 30,2 * 3^3 * 7^2 * 19 * 223 * 397 * 601 * 38636875478424670849
3607,10,x^10 + x^9 + 20,2^4 * 3 * 11 * 41 * 71 * 131 * 271 * 601 * 1741 * 9791 * 139901 * 4766763401
3607,11,x^11 + x^10 + 21,2 * 3 * 601 * 87583 * 521353823 * 11102878051 * 735518996323
3607,12,x^12 + x^11 + 43,2^5 * 3^2 * 5^2 * 7^2 * 11 * 13 * 41 * 223 * 397 * 601 * 260209 * 13006843 * 13020905397781
3607,13,x^13 + x^12 + 15,2 * 3 * 79 * 157 * 601 * 229946987531 * 1701060106929752617457309057
3607,14,x^14 + x^13 + 112,2^4 * 3 * 11 * 41 * 601 * 967 * 2278089591379460671 * 2201691508126209012943
3607,15,x^15 + x^14 + 30,2 * 3^2 * 7^2 * 71 * 223 * 397 * 601 * 1741 * 9791 * 53881 * 139901 * 1282261 * 414607007295678661
3607,16,x^16 + x^15 + 126,2^7 * 3 * 5^2 * 11 * 17 * 41 * 97 * 241 * 601 * 260209 * 370009 * 949129 * 998064711937 * 8704819827377
3607,17,x^17 + x^16 + 99,2 * 3 * 239 * 601 * 647 * 7473779 * 18635763125611 * 64819319657101 * 588253627337342413
3607,18,x^18 + x^17 + 255,2^4 * 3^3 * 7^2 * 11 * 19 * 41 * 223 * 397 * 601 * 13006843 * 38636875478424670849 * 2202301902176348859307
3607,19,x^19 + x^18 + 25,2 * 3 * 601 * 1445749 * 557206313 * 13263008649740371732138373565009270848792969912861
3607,20,x^20 + x^19 + 38,2^5 * 3 * 5^3 * 11 * 41 * 61 * 71 * 131 * 271 * 601 * 1481 * 1741 * 9791 * 139901 * 260209 * 76547441 * 4766763401 * 828673652176121
3607,21,x^21 + x^20 + 15,2 * 3^2 * 7^3 * 43 * 223 * 397 * 421 * 601 * 967 * 120331 * 701023 * 5108713 * 2278089591379460671 * 88789865516123480101
3607,22,x^22 + x^21 + 93,2^4 * 3 * 11^2 * 23 * 41 * 601 * 87583 * 521353823 * 11102878051 * 735518996323 * 1473060267179097898097862938390431
