p,e,n,poly,factorization
6257,1,2,x^2 + x + 14,2^5 * 3 * 7 * 17 * 23 * 149
6257,1,3,x^3 + x^2 + 3,2^4 * 17 * 23 * 331 * 118297
6257,1,4,x^4 + x^3 + 3,2^6 * 3 * 5^2 * 7 * 17 * 23 * 149 * 193 * 4057
6257,1,5,x^5 + x^4 + 3,2^4 * 11 * 17 * 23 * 167891 * 830068501
6257,1,6,x^6 + x^5 + 57,2^5 * 3^2 * 7 * 13 * 17 * 23 * 31 * 149 * 331 * 32377 * 118297
6257,1,7,x^7 + x^6 + 5,2^4 * 17 * 23 * 1933 * 1531769 * 20269415006891
6257,1,8,x^8 + x^7 + 10,2^7 * 3 * 5^2 * 7 * 17 * 23 * 149 * 193 * 4057 * 23473 * 32648709937
6257,1,9,x^9 + x^8 + 10,2^4 * 17 * 19 * 23 * 331 * 1297 * 118297 * 102816253 * 23683265317
6257,1,10,x^10 + x^9 + 43,2^5 * 3 * 7 * 11 * 17 * 23 * 41 * 149 * 521 * 167891 * 830068501 * 71742025841
6257,1,11,x^11 + x^10 + 110,2^4 * 17 * 23 * 353 * 881 * 16690575089 * 17721849740419531139291
6257,1,12,x^12 + x^11 + 161,2^6 * 3^2 * 5^2 * 7 * 13 * 17 * 23 * 31 * 149 * 193 * 331 * 4057 * 15817 * 32377 * 45949 * 118297 * 2108941
6257,1,13,x^13 + x^12 + 31,2^4 * 17 * 23 * 242789 * 11947358827 * 1241544701469003411240399585467
6257,1,14,x^14 + x^13 + 20,2^5 * 3 * 7^2 * 17 * 23 * 29 * 43 * 149 * 1933 * 2017 * 2843 * 377623 * 1531769 * 3174109 * 20269415006891
6257,1,15,x^15 + x^14 + 62,2^4 * 11 * 17 * 23 * 331 * 1171 * 3061 * 25471 * 118297 * 167891 * 14169301 * 830068501 * 1815704534701
6257,1,16,x^16 + x^15 + 7,2^8 * 3 * 5^2 * 7 * 17 * 23 * 113 * 149 * 193 * 337 * 433 * 4057 * 23473 * 796849 * 32648709937 * 89397828851166113
6257,1,17,x^17 + x^16 + 55,2^4 * 17^2 * 23 * 664123 * 953191 * 11509495220646047 * 44565033993117861062956883517643
6257,1,18,x^18 + x^17 + 3,2^5 * 3^3 * 7 * 13 * 17 * 19 * 23 * 31 * 37 * 149 * 331 * 523 * 1297 * 32377 * 118297 * 70923673 * 102816253 * 14574076453 * 23683265317
6257,1,19,x^19 + x^18 + 39,2^4 * 17 * 23 * 13681 * 143768228987 * 1828111658293 * 60100311154972493976485295568271452926917
6257,1,20,x^20 + x^19 + 33,2^6 * 3 * 5^3 * 7 * 11 * 17 * 23 * 41 * 149 * 193 * 521 * 4057 * 56101 * 167891 * 175014421 * 830068501 * 71742025841 * 47853618856711781
6257,1,21,x^21 + x^20 + 55,2^4 * 17 * 23 * 331 * 1933 * 118297 * 1531769 * 20269415006891 * 3600181905457209494921998333374233458813714849
6257,2,2,x^4 + x^3 + 3,2^6 * 3 * 5^2 * 7 * 17 * 23 * 149 * 193 * 4057
6257,2,3,x^6 + x^5 + 57,2^5 * 3^2 * 7 * 13 * 17 * 23 * 31 * 149 * 331 * 32377 * 118297
6257,2,4,x^8 + x^7 + 10,2^7 * 3 * 5^2 * 7 * 17 * 23 * 149 * 193 * 4057 * 23473 * 32648709937
6257,2,5,x^10 + x^9 + 43,2^5 * 3 * 7 * 11 * 17 * 23 * 41 * 149 * 521 * 167891 * 830068501 * 71742025841
6257,2,6,x^12 + x^11 + 161,2^6 * 3^2 * 5^2 * 7 * 13 * 17 * 23 * 31 * 149 * 193 * 331 * 4057 * 15817 * 32377 * 45949 * 118297 * 2108941
6257,2,7,x^14 + x^13 + 20,2^5 * 3 * 7^2 * 17 * 23 * 29 * 43 * 149 * 1933 * 2017 * 2843 * 377623 * 1531769 * 3174109 * 20269415006891
6257,2,8,x^16 + x^15 + 7,2^8 * 3 * 5^2 * 7 * 17 * 23 * 113 * 149 * 193 * 337 * 433 * 4057 * 23473 * 796849 * 32648709937 * 89397828851166113
6257,2,9,x^18 + x^17 + 3,2^5 * 3^3 * 7 * 13 * 17 * 19 * 23 * 31 * 37 * 149 * 331 * 523 * 1297 * 32377 * 118297 * 70923673 * 102816253 * 14574076453 * 23683265317
6257,2,10,x^20 + x^19 + 33,2^6 * 3 * 5^3 * 7 * 11 * 17 * 23 * 41 * 149 * 193 * 521 * 4057 * 56101 * 167891 * 175014421 * 830068501 * 71742025841 * 47853618856711781
6257,3,2,x^6 + x^5 + 57,2^5 * 3^2 * 7 * 13 * 17 * 23 * 31 * 149 * 331 * 32377 * 118297
6257,3,3,x^9 + x^8 + 10,2^4 * 17 * 19 * 23 * 331 * 1297 * 118297 * 102816253 * 23683265317
6257,3,4,x^12 + x^11 + 161,2^6 * 3^2 * 5^2 * 7 * 13 * 17 * 23 * 31 * 149 * 193 * 331 * 4057 * 15817 * 32377 * 45949 * 118297 * 2108941
6257,3,5,x^15 + x^14 + 62,2^4 * 11 * 17 * 23 * 331 * 1171 * 3061 * 25471 * 118297 * 167891 * 14169301 * 830068501 * 1815704534701
6257,3,6,x^18 + x^17 + 3,2^5 * 3^3 * 7 * 13 * 17 * 19 * 23 * 31 * 37 * 149 * 331 * 523 * 1297 * 32377 * 118297 * 70923673 * 102816253 * 14574076453 * 23683265317
6257,3,7,x^21 + x^20 + 55,2^4 * 17 * 23 * 331 * 1933 * 118297 * 1531769 * 20269415006891 * 3600181905457209494921998333374233458813714849
6257,4,2,x^8 + x^7 + 10,2^7 * 3 * 5^2 * 7 * 17 * 23 * 149 * 193 * 4057 * 23473 * 32648709937
6257,4,3,x^12 + x^11 + 161,2^6 * 3^2 * 5^2 * 7 * 13 * 17 * 23 * 31 * 149 * 193 * 331 * 4057 * 15817 * 32377 * 45949 * 118297 * 2108941
6257,4,4,x^16 + x^15 + 7,2^8 * 3 * 5^2 * 7 * 17 * 23 * 113 * 149 * 193 * 337 * 433 * 4057 * 23473 * 796849 * 32648709937 * 89397828851166113
6257,4,5,x^20 + x^19 + 33,2^6 * 3 * 5^3 * 7 * 11 * 17 * 23 * 41 * 149 * 193 * 521 * 4057 * 56101 * 167891 * 175014421 * 830068501 * 71742025841 * 47853618856711781
6257,5,2,x^10 + x^9 + 43,2^5 * 3 * 7 * 11 * 17 * 23 * 41 * 149 * 521 * 167891 * 830068501 * 71742025841
6257,5,3,x^15 + x^14 + 62,2^4 * 11 * 17 * 23 * 331 * 1171 * 3061 * 25471 * 118297 * 167891 * 14169301 * 830068501 * 1815704534701
6257,5,4,x^20 + x^19 + 33,2^6 * 3 * 5^3 * 7 * 11 * 17 * 23 * 41 * 149 * 193 * 521 * 4057 * 56101 * 167891 * 175014421 * 830068501 * 71742025841 * 47853618856711781
6257,6,2,x^12 + x^11 + 161,2^6 * 3^2 * 5^2 * 7 * 13 * 17 * 23 * 31 * 149 * 193 * 331 * 4057 * 15817 * 32377 * 45949 * 118297 * 2108941
6257,6,3,x^18 + x^17 + 3,2^5 * 3^3 * 7 * 13 * 17 * 19 * 23 * 31 * 37 * 149 * 331 * 523 * 1297 * 32377 * 118297 * 70923673 * 102816253 * 14574076453 * 23683265317
6257,7,2,x^14 + x^13 + 20,2^5 * 3 * 7^2 * 17 * 23 * 29 * 43 * 149 * 1933 * 2017 * 2843 * 377623 * 1531769 * 3174109 * 20269415006891
6257,7,3,x^21 + x^20 + 55,2^4 * 17 * 23 * 331 * 1933 * 118297 * 1531769 * 20269415006891 * 3600181905457209494921998333374233458813714849
6257,8,2,x^16 + x^15 + 7,2^8 * 3 * 5^2 * 7 * 17 * 23 * 113 * 149 * 193 * 337 * 433 * 4057 * 23473 * 796849 * 32648709937 * 89397828851166113
