p,r,n,poly,factorization
29,1,2,x^2 + x + 3,2^3 * 3 * 5 * 7
29,1,3,x^3 + x^2 + 3,2^2 * 7 * 13 * 67
29,1,4,x^4 + x^3 + 2,2^4 * 3 * 5 * 7 * 421
29,1,5,x^5 + x^4 + 2,2^2 * 7 * 732541
29,1,6,x^6 + x^5 + 11,2^3 * 3^2 * 5 * 7 * 13 * 67 * 271
29,1,7,x^7 + x^6 + 2,2^2 * 7^2 * 88009573
29,1,8,x^8 + x^7 + x + 18,2^5 * 3 * 5 * 7 * 421 * 353641
29,1,9,x^9 + x^8 + 19,2^2 * 7 * 13 * 67 * 14437 * 41203
29,1,10,x^10 + x^9 + 2*x + 11,2^3 * 3 * 5^2 * 7 * 11 * 31 * 401 * 732541
29,1,11,x^11 + x^10 + x + 18,2^2 * 7 * 23 * 18944890940537
29,1,12,x^12 + x^11 + 21,2^4 * 3^2 * 5 * 7 * 13 * 37 * 61 * 67 * 271 * 313 * 421
29,1,13,x^13 + x^12 + 19,2^2 * 7 * 521 * 148123 * 4748492087
29,1,14,x^14 + x^13 + 9*x + 8,2^3 * 3 * 5 * 7^2 * 88009573 * 574995877
29,1,15,x^15 + x^14 + 26,2^2 * 7 * 13 * 67 * 181 * 22111 * 120691 * 732541
29,1,16,x^16 + x^15 + x + 3,2^6 * 3 * 5 * 7 * 17 * 421 * 26209 * 353641 * 561377
29,1,17,x^17 + x^16 + 15,2^2 * 7 * 3911 * 1977917 * 33505187587603
29,1,18,x^18 + 2*x^17 + 11,2^3 * 3^3 * 5 * 7 * 13 * 19 * 67 * 271 * 14437 * 41203 * 10435069
29,1,19,x^19 + 2*x^18 + 15,2^2 * 7 * 1386659 * 157193380600163813309
29,1,20,x^20 + x^19 + x + 14,2^4 * 3 * 5^2 * 7 * 11 * 31 * 401 * 421 * 1061 * 732541 * 470925821
29,1,21,x^21 + x^20 + x + 27,2^2 * 7^2 * 13 * 67 * 6637 * 88009573 * 51473298317533
29,1,22,x^22 + 2*x^21 + 27,2^3 * 3 * 5 * 7 * 23 * 5618383 * 72384467 * 18944890940537
29,1,23,x^23 + x^22 + 11,2^2 * 7 * 131327761273 * 1173922372300235340427
29,1,24,x^24 + x^23 + 15,2^5 * 3^2 * 5 * 7 * 13 * 37 * 61 * 67 * 271 * 313 * 421 * 9001 * 353641 * 55576681
29,1,25,x^25 + x^24 + 15,2^2 * 7 * 151 * 732541 * 5902439266151 * 198587315383901
29,1,26,x^26 + x^25 + 2*x + 19,2^3 * 3 * 5 * 7 * 53 * 521 * 3407 * 7489 * 148123 * 252918667 * 4748492087
29,1,27,x^27 + x^26 + 10,2^2 * 7 * 13 * 67 * 14437 * 41203 * 52813 * 2284147 * 1744612878442321
29,1,28,x^28 + x^27 + 16*x + 8,2^4 * 3 * 5 * 7^2 * 421 * 88009573 * 427822081 * 574995877 * 826031641
29,1,29,x^29 + 2*x^28 + 27,2^2 * 7 * 59 * 16763 * 84449 * 2428577 * 14111459 * 58320973 * 549334763
29,1,30,x^30 + x^29 + 8,2^3 * 3^2 * 5^2 * 7 * 11 * 13 * 31 * 67 * 181 * 271 * 401 * 22111 * 120691 * 732541 * 517475046481
29,1,31,x^31 + 3*x^30 + 26,2^2 * 7 * 36767 * 15294622838198819 * 137145934026139645822087
29,1,32,x^32 + x^31 + 15,2^7 * 3 * 5 * 7 * 17 * 421 * 26209 * 353641 * 561377 * 125123236840173674393761
29,1,33,x^33 + x^32 + 2,2^2 * 7 * 13 * 23 * 67 * 17607980281 * 18944890940537 * 9705731115425038321
29,1,34,x^34 + x^33 + 2*x + 26,2^3 * 3 * 5 * 7 * 1973 * 3911 * 1977917 * 3877667 * 31618925959007 * 33505187587603
29,1,35,x^35 + x^34 + 15,2^2 * 7^2 * 71 * 732541 * 88009573 * 14222677166671 * 119693978630517277001
29,1,36,x^36 + x^35 + 2*x + 19,2^4 * 3^3 * 5 * 7 * 13 * 19 * 37 * 61 * 67 * 271 * 313 * 421 * 757 * 14437 * 41203 * 10435069 * 467390730000853
29,1,37,x^37 + x^36 + 4*x + 19,2^2 * 7 * 149 * 13913 * 24603599107 * 899419285187525657599958117409050779
29,1,38,x^38 + x^37 + 15*x + 27,2^3 * 3 * 5 * 7 * 16759 * 1386659 * 157193380600163813309 * 12139270932215509058971
29,1,39,x^39 + 2*x^38 + 3,2^2 * 7 * 13^2 * 67 * 521 * 148123 * 4748492087 * 9297933549871103174322922194269557
29,1,40,x^40 + x^39 + x + 8,2^5 * 3 * 5^2 * 7 * 11 * 31 * 41 * 401 * 421 * 1061 * 353641 * 732541 * 470925821 * 6103563899172302171321
29,1,41,x^41 + x^40 + 7*x + 27,2^2 * 7 * 83 * 2789 * 446983 * 248807517236987713 * 1260314033917609966966100427937
29,1,42,x^42 + x^41 + 26,2^3 * 3^2 * 5 * 7^2 * 13 * 43 * 67 * 271 * 6637 * 1035469 * 88009573 * 574995877 * 8220076663 * 51473298317533
29,1,43,x^43 + x^42 + 2,2^2 * 7 * 173 * 13933 * 213633547 * 52990215639704354810299474687300887696772792277
29,1,44,x^44 + x^43 + 19*x + 27,2^4 * 3 * 5 * 7 * 23 * 421 * 5618383 * 72384467 * 402546025333 * 18944890940537 * 439165605149799397
29,1,45,x^45 + x^44 + x + 21,2^2 * 7 * 13 * 67 * 181 * 14437 * 22111 * 41203 * 120691 * 732541 * 125179767972033304003588319121811441
29,1,46,x^46 + x^45 + x + 14,2^3 * 3 * 5 * 7 * 47 * 131327761273 * 1173922372300235340427 * 3061504055141429624638878278539
29,1,47,x^47 + x^46 + 2,2^2 * 7 * 283 * 659693 * 4440937 * 7823903 * 16200263293163 * 100338952626091 * 1830331915418999963
29,1,48,x^48 + x^47 + 5*x + 15,2^6 * 3^2 * 5 * 7 * 13 * 17 * 37 * 61 * 67 * 271 * 313 * 421 * 673 * 9001 * 26209 * 353641 * 561377 * 55576681 * 371837256582239379457
29,1,49,x^49 + x^48 + 3*x + 27,2^2 * 7^3 * 197 * 88009573 * 1458862987 * 13095953963422382468198048285879375847673170176027
29,1,50,x^50 + x^49 + 5*x^2 + 15,2^3 * 3 * 5^3 * 7 * 11 * 31 * 151 * 401 * 732541 * 5902439266151 * 198587315383901 * 35398913504384285261362997701
29,1,51,x^51 + x^50 + 10,2^2 * 7 * 13 * 67 * 103 * 3911 * 1977917 * 48426439 * 1100628349 * 33505187587603 * 11014209156526242030648919237
29,1,52,x^52 + x^51 + 2*x + 15,2^4 * 3 * 5 * 7 * 53 * 157 * 421 * 521 * 3407 * 6917 * 7489 * 148123 * 252918667 * 4748492087 * 115137932261932697952213846689
29,1,53,x^53 + x^52 + 14,2^2 * 7 * 107 * 10601 * 10120576339526175442145754574584870487021411439410514339727583669257103
29,1,54,x^54 + x^53 + 6*x + 26,2^3 * 3^4 * 5 * 7 * 13 * 19 * 67 * 109 * 271 * 14437 * 41203 * 52813 * 2284147 * 2924209 * 10435069 * 1744612878442321 * 220093795620430651
29,1,55,x^55 + x^54 + 3*x + 2,2^2 * 7 * 23 * 338141 * 732541 * 1193512007711 * 18944890940537 * 13323049382040421 * 5625377963242179726741631
29,1,56,x^56 + x^55 + 6*x + 14,2^5 * 3 * 5 * 7^2 * 421 * 353641 * 2865913 * 88009573 * 427822081 * 574995877 * 826031641 * 596882888281 * 73181145732201697
29,1,57,x^57 + x^56 + 10*x^2 + 3,2^2 * 7 * 13 * 67 * 571 * 11971 * 73303 * 1386659 * 274773085966123 * 157193380600163813309 * 310629920727179958380414509
29,1,58,x^58 + x^57 + 5*x + 26,2^3 * 3 * 5 * 7 * 59 * 233 * 16763 * 84449 * 2428577 * 6864997 * 14111459 * 58320973 * 549334763 * 9487923853 * 5639663878716545087233
29,1,59,x^59 + x^58 + 5*x + 3,2^2 * 7 * 11415793 * 64194072873983107981983523 * 9318002627222228409185860947864045889209906328921429
29,1,60,x^60 + x^59 + 10*x^2 + 11,2^4 * 3^2 * 5^2 * 7 * 11 * 13 * 31 * 37 * 61 * 67 * 181 * 271 * 313 * 401 * 421 * 541 * 1061 * 22111 * 120691 * 732541 * 111855481 * 470925821 * 517475046481 * 4140278225341
29,1,61,x^61 + x^60 + 4*x + 14,2^2 * 7 * 1831 * 13751019673 * 28004534179193290272271310975007581 * 8144571489120745945831283398616719704167
29,1,62,x^62 + x^61 + 12*x + 27,2^3 * 3 * 5 * 7 * 36767 * 3697433 * 192554086217 * 15294622838198819 * 137145934026139645822087 * 101102903473178736400782421
29,1,63,x^63 + x^62 + 3*x + 19,2^2 * 7^2 * 13 * 67 * 6637 * 14437 * 41203 * 88009573 * 51473298317533 * 52012313485270741 * 851537828235200528486153168592744421
29,1,64,x^64 + x^63 + 17*x + 3,2^8 * 3 * 5 * 7 * 17 * 193 * 421 * 26209 * 353641 * 561377 * 63354497 * 125123236840173674393761 * 2560773582536027001020194716916748801
29,1,65,x^65 + 4*x^64 + 11,2^2 * 7 * 521 * 148123 * 732541 * 4748492087 * 118273570956941791 * 16132770616289764711 * 7929892237434016597965554961659881
29,1,66,x^66 + x^65 + x + 8,2^3 * 3^2 * 5 * 7 * 13 * 23 * 67 * 271 * 661 * 727 * 632743 * 5618383 * 72384467 * 163097089 * 3691951429 * 17607980281 * 18944890940537 * 9705731115425038321
29,1,67,x^67 + 2*x^66 + 10,2^2 * 7 * 4691 * 7237 * 100619886317457409306783811775231211387306321569167172292358009748261622655540650925221433
29,1,68,x^68 + x^67 + 17*x + 26,2^4 * 3 * 5 * 7 * 421 * 1973 * 3911 * 354553 * 1977917 * 3877667 * 31618925959007 * 33505187587603 * 176416285087852792172419157313795755429257
29,1,69,x^69 + x^68 + 13*x + 26,2^2 * 7 * 13 * 67 * 139 * 131327761273 * 1173922372300235340427 * 153912874105237767355544773738256170456912399898057768858434219
29,1,70,x^70 + x^69 + 24*x^2 + 21,2^3 * 3 * 5^2 * 7^2 * 11 * 31 * 71 * 281 * 401 * 141961 * 732541 * 88009573 * 574995877 * 181767795581 * 14222677166671 * 17860058418250021 * 119693978630517277001
29,1,71,x^71 + x^70 + 3*x + 11,2^2 * 7 * 31621513293496729 * 5885237414620874027 * 575922000923214999444714868141 * 22541847786630339616954007001425084117
29,1,72,x^72 + x^71 + 24*x^2 + 21,2^5 * 3^3 * 5 * 7 * 13 * 19 * 37 * 61 * 67 * 73 * 271 * 313 * 421 * 757 * 9001 * 14437 * 41203 * 353641 * 869689 * 10435069 * 55576681 * 467390730000853 * 1971810216061538373537448753
29,1,73,x^73 + x^72 + 21,2^2 * 7 * 6053603111 * 378491163256757 * 44615044785278167337 * 1776134532576692154401 * 11191001020961523818549928371589408039979
29,1,74,x^74 + x^73 + 10*x + 21,2^3 * 3 * 5 * 7 * 149 * 1259 * 9769 * 13913 * 24603599107 * 19085335524481 * 182401761659414020505610936016307 * 899419285187525657599958117409050779
29,1,75,x^75 + 2*x^74 + 3,2^2 * 7 * 13 * 67 * 151 * 181 * 12301 * 22111 * 50551 * 120691 * 732541 * 5902439266151 * 198587315383901 * 26180736800421451 * 1924278202630797034450648083768601
29,1,76,x^76 + x^75 + 5*x + 15,2^4 * 3 * 5 * 7 * 421 * 16759 * 1386659 * 157193380600163813309 * 12139270932215509058971 * 44239664898013321738694658016521051099258908813897161
29,1,77,x^77 + x^76 + x + 18,2^2 * 7^2 * 23 * 25873 * 36191 * 101333 * 292601 * 88009573 * 18944890940537 * 1385702521378303805293 * 139154040795711051908562500673414322414692379103
29,1,78,x^78 + x^77 + 12*x + 10,2^3 * 3^2 * 5 * 7 * 13^2 * 53 * 67 * 79 * 271 * 521 * 3407 * 7489 * 148123 * 252918667 * 4748492087 * 1639193821682322095416837009042879 * 9297933549871103174322922194269557
29,1,79,x^79 + x^78 + x + 11,2^2 * 7 * 704807565957958501 * 1714799093232030924887515349835708520197281930261156203147022473048288620452574193731955544731231
29,1,80,x^80 + x^79 + 11*x + 27,2^6 * 3 * 5^2 * 7 * 11 * 17 * 31 * 41 * 401 * 421 * 1061 * 26209 * 353641 * 561377 * 732541 * 1056241 * 128971441 * 470925821 * 4966942978351201 * 92552932737272641 * 6103563899172302171321
29,1,81,x^81 + x^80 + 3*x + 2,2^2 * 7 * 13 * 67 * 487 * 14437 * 41203 * 52813 * 2284147 * 27738169741 * 1744612878442321 * 344856901106881202956291 * 2000995917510777253152619484149543977577903
29,1,82,x^82 + x^81 + 8*x^2 + 18,2^3 * 3 * 5 * 7 * 83 * 2789 * 20747 * 446983 * 812129 * 1453369 * 5055629 * 3711544517 * 350069058439 * 188259475347389 * 248807517236987713 * 1260314033917609966966100427937
