p,n,poly,factorization
5039,2,x^2 + x + 26,2^5 * 3^2 * 5 * 7 * 11 * 229
5039,3,x^3 + x^2 + 3,2 * 11 * 229 * 25396561
5039,4,x^4 + x^3 + 11,2^6 * 3^2 * 5 * 7 * 11 * 13 * 89 * 229 * 10973
5039,5,x^5 + x^4 + 3,2 * 11 * 41 * 131 * 229 * 82981 * 1446871
5039,6,x^6 + x^5 + 101,2^5 * 3^3 * 5 * 7 * 11 * 229 * 8462161 * 25396561
5039,7,x^7 + x^6 + 2,2 * 11 * 197 * 229 * 83116284156069075773
5039,8,x^8 + x^7 + 68,2^7 * 3^2 * 5 * 7 * 11 * 13 * 89 * 229 * 10973 * 45817 * 7035918313
5039,9,x^9 + x^8 + 4,2 * 11 * 19 * 37^2 * 73 * 229 * 2017 * 25396561 * 4274450997931
5039,10,x^10 + x^9 + 79,2^5 * 3^2 * 5^2 * 7 * 11 * 41 * 131 * 229 * 82981 * 512021 * 1446871 * 251787101
5039,11,x^11 + x^10 + 10,2 * 11^2 * 23 * 67 * 229 * 331 * 4980889 * 377745759374101369555789
5039,12,x^12 + x^11 + 51,2^6 * 3^3 * 5 * 7 * 11 * 13 * 89 * 229 * 10973 * 8462161 * 25396561 * 644729313301921
5039,13,x^13 + x^12 + 20,2 * 11 * 79 * 229 * 375103 * 149431934762657 * 60533731642296072126929
5039,14,x^14 + x^13 + 110,2^5 * 3^2 * 5 * 7^2 * 11 * 29 * 43 * 197 * 229 * 1243957331 * 1507335733 * 83116284156069075773
5039,15,x^15 + x^14 + 2,2 * 11 * 41 * 131 * 229 * 82981 * 1446871 * 25396561 * 415593428426932984388524203841
5039,16,x^16 + x^15 + 65,2^8 * 3^2 * 5 * 7 * 11 * 13 * 17 * 89 * 229 * 449 * 10973 * 19553 * 45817 * 7035918313 * 1392567349982852232209
5039,17,x^17 + x^16 + 74,2 * 11 * 229 * 3718411 * 46477048193587972379777535169452252858991191788903971
5039,18,x^18 + x^17 + 91,2^5 * 3^4 * 5 * 7 * 11 * 19 * 37^2 * 73 * 229 * 2017 * 8462161 * 25396561 * 359880553 * 4274450997931 * 15163048226377
5039,19,x^19 + x^18 + 37,2 * 11 * 229 * 761 * 9490972607 * 433987644175476914392291 * 1399947997830839518269651247213
5039,20,x^20 + x^19 + 69,2^6 * 3^2 * 5^2 * 7 * 11 * 13 * 41 * 61 * 89 * 131 * 229 * 421 * 10973 * 82981 * 512021 * 1446871 * 251787101 * 16186126077700395631154161
5039,21,x^21 + x^20 + 89,2 * 11 * 197 * 229 * 25396561 * 7254467943661 * 316653073919449 * 116642503085795149 * 83116284156069075773
