p,r,n,poly,factorization
811,1,2,x^2 + x + 10,2^3 * 3^4 * 5 * 7 * 29
811,1,3,x^3 + x^2 + 9,2 * 3^5 * 5 * 31 * 73 * 97
811,1,4,x^4 + x^3 + 13,2^4 * 3^4 * 5 * 7 * 13 * 29 * 41 * 617
811,1,5,x^5 + x^4 + 34,2 * 3^4 * 5^2 * 6781 * 12774841
811,1,6,x^6 + x^5 + 13,2^3 * 3^5 * 5 * 7 * 29 * 31 * 43 * 73 * 97 * 15277
811,1,7,x^7 + x^6 + 25,2 * 3^4 * 5 * 71 * 281 * 14278950628867
811,1,8,x^8 + x^7 + 21,2^5 * 3^4 * 5 * 7 * 13 * 29 * 41 * 617 * 216298456921
811,1,9,x^9 + x^8 + 5,2 * 3^6 * 5 * 31 * 37 * 73 * 97 * 2563315993710163
811,1,10,x^10 + x^9 + 13,2^3 * 3^4 * 5^2 * 7 * 11 * 29 * 6781 * 12774841 * 39278559911
811,1,11,x^11 + x^10 + 35,2 * 3^4 * 5 * 23 * 620453153 * 8635898822607632819
811,1,12,x^12 + x^11 + 33,2^4 * 3^5 * 5 * 7 * 13 * 29 * 31 * 41 * 43 * 73 * 97 * 617 * 15277 * 432596256121
811,1,13,x^13 + x^12 + 77,2 * 3^4 * 5 * 53 * 79 * 599 * 32318880041140463339740608061
811,1,14,x^14 + x^13 + 3,2^3 * 3^4 * 5 * 7^2 * 29 * 71 * 281 * 8009 * 19139 * 264846583 * 14278950628867
811,1,15,x^15 + x^14 + 46,2 * 3^5 * 5^2 * 31 * 73 * 97 * 6781 * 12774841 * 186909337946524425326641
811,1,16,x^16 + x^15 + 113,2^6 * 3^4 * 5 * 7 * 13 * 17 * 29 * 41 * 617 * 3168353 * 12175697 * 142679153 * 216298456921
811,1,17,x^17 + x^16 + 97,2 * 3^4 * 5 * 613 * 13397 * 183118358041 * 23316834240025877203462368577
811,1,18,x^18 + x^17 + 52,2^3 * 3^6 * 5 * 7 * 19 * 29 * 31 * 37 * 43 * 73 * 97 * 15277 * 2563315993710163 * 14975161801842349
811,1,19,x^19 + x^18 + 34,2 * 3^4 * 5 * 23062756364850267321963255830354981138366945460295429
811,1,20,x^20 + x^19 + 102,2^4 * 3^4 * 5^2 * 7 * 11 * 13 * 29 * 41 * 617 * 6781 * 29501 * 669181 * 12774841 * 39278559911 * 9479508803561
811,1,21,x^21 + x^20 + 45,2 * 3^5 * 5 * 31 * 71 * 73 * 97 * 211^2 * 281 * 14278950628867 * 28497987259897 * 63728737863569353
811,1,22,x^22 + x^21 + 48,2^3 * 3^4 * 5 * 7 * 23 * 29 * 683 * 11177 * 21737 * 620453153 * 740845772657631653 * 8635898822607632819
811,1,23,x^23 + x^22 + 9,2 * 3^4 * 5 * 47 * 139 * 47657 * 32044630610044115446823151682939587772629925062433815713
