p,r,n,poly,factorization
5531,1,2,x^2 + x + 30,2^3 * 3 * 5 * 7 * 79 * 461
5531,1,3,x^3 + x^2 + 25,2 * 5 * 7 * 67 * 79 * 456679
5531,1,4,x^4 + x^3 + 17,2^4 * 3 * 5 * 7 * 79 * 461 * 15295981
5531,1,5,x^5 + x^4 + 19,2 * 5^2 * 7 * 11 * 41 * 79 * 401 * 16061 * 64451
5531,1,6,x^6 + x^5 + 33,2^3 * 3^2 * 5 * 7 * 67 * 79 * 461 * 456679 * 10195477
5531,1,7,x^7 + x^6 + 57,2 * 5 * 7^2 * 79 * 757 * 3557 * 4560977 * 333092467
5531,1,8,x^8 + x^7 + 29,2^5 * 3 * 5 * 7 * 79 * 281 * 461 * 15295981 * 1665245690081
5531,1,9,x^9 + x^8 + 5,2 * 5 * 7 * 67 * 79 * 456679 * 28630039738152507372973
5531,1,10,x^10 + x^9 + 79,2^3 * 3 * 5^2 * 7 * 11 * 41 * 61 * 79 * 401 * 461 * 1151 * 16061 * 64451 * 13326955951
5531,1,11,x^11 + x^10 + 5,2 * 5 * 7 * 79 * 37511 * 6189096486761 * 115432796328229694491
5531,1,12,x^12 + x^11 + 30,2^4 * 3^2 * 5 * 7 * 13 * 67 * 79 * 461 * 456679 * 10195477 * 15295981 * 71989849787197
5531,1,13,x^13 + x^12 + 19,2 * 5 * 7 * 79 * 677 * 911 * 1873 * 709704576489420208145184904408529563
5531,1,14,x^14 + x^13 + 13,2^3 * 3 * 5 * 7^2 * 43 * 79 * 461 * 757 * 3557 * 28351 * 4560977 * 333092467 * 23480459970932287
5531,1,15,x^15 + x^14 + 283,2 * 5^2 * 7 * 11 * 41 * 67 * 79 * 401 * 2251 * 16061 * 64451 * 456679 * 389022970390146599847665971
5531,1,16,x^16 + x^15 + 13,2^6 * 3 * 5 * 7 * 17^2 * 79 * 281 * 461 * 6673 * 8273 * 15295981 * 1665245690081 * 27448415558791993841
5531,1,17,x^17 + x^16 + 131,2 * 5 * 7 * 79 * 103 * 12343 * 412591 * 71403469 * 20485192387863682165754758830387915395467
5531,1,18,x^18 + x^17 + 17,2^3 * 3^3 * 5 * 7 * 19^2 * 67 * 79 * 181 * 461 * 739 * 456679 * 7079707 * 10195477 * 27916129 * 28630039738152507372973
