p,n,poly,factorization
2089,2,x^2 + x + 14,2^4 * 3^2 * 5 * 11 * 19 * 29
2089,3,x^3 + x^2 + 7,2^3 * 3^3 * 13 * 29 * 111949
2089,4,x^4 + x^3 + 11,2^5 * 3^2 * 5 * 11 * 19 * 29 * 661 * 3301
2089,5,x^5 + x^4 + 7,2^3 * 3^2 * 29 * 1901 * 10022581321
2089,6,x^6 + x^5 + 22,2^4 * 3^3 * 5 * 7^2 * 11 * 13 * 19 * 29 * 89017 * 111949
2089,7,x^7 + x^6 + 44,2^3 * 3^2 * 29 * 71 * 64108703 * 18266832487
2089,8,x^8 + x^7 + 99,2^6 * 3^2 * 5 * 11 * 17 * 19 * 29 * 661 * 1889 * 3301 * 296512417
2089,9,x^9 + x^8 + 111,2^3 * 3^4 * 13 * 29 * 163 * 1783 * 111949 * 95317015954213
2089,10,x^10 + x^9 + 185,2^4 * 3^2 * 5^2 * 11 * 19 * 29 * 521 * 1091 * 1901 * 6697511 * 10022581321
2089,11,x^11 + x^10 + 146,2^3 * 3^2 * 29 * 1583406215745472343472723510062051
2089,12,x^12 + x^11 + 7,2^5 * 3^3 * 5 * 7^2 * 11 * 13 * 19 * 29 * 661 * 3301 * 89017 * 111949 * 19043802130321
2089,13,x^13 + x^12 + 44,2^3 * 3^2 * 29 * 5851 * 41081 * 66272467 * 433775464018317383467493
2089,14,x^14 + x^13 + 222,2^4 * 3^2 * 5 * 11 * 19 * 29 * 71 * 5237 * 64108703 * 18266832487 * 15861352607042741
2089,15,x^15 + x^14 + 93,2^3 * 3^3 * 13 * 29 * 61 * 1901 * 111949 * 10022581321 * 115820711491 * 51307813889191
2089,16,x^16 + x^15 + 126,2^7 * 3^2 * 5 * 11 * 17 * 19 * 29 * 661 * 1889 * 3301 * 53377 * 296512417 * 3397217582386568060833
2089,17,x^17 + x^16 + 59,2^3 * 3^2 * 29 * 137 * 2347 * 2551 * 5357909074539895487 * 29942187854286606005267267
2089,18,x^18 + x^17 + 59,2^4 * 3^4 * 5 * 7^2 * 11 * 13 * 19 * 29 * 163 * 379 * 883 * 1783 * 3061 * 57709 * 89017 * 111949 * 1405801 * 95317015954213
2089,19,x^19 + x^18 + 7,2^3 * 3^2 * 29 * 642049 * 894399795833498363160736819382640758044467748585979659
2089,20,x^20 + x^19 + 14,2^5 * 3^2 * 5^2 * 11 * 19 * 29 * 41 * 101 * 521 * 661 * 1091 * 1901 * 3301 * 6697511 * 630634621 * 10022581321 * 138875098687081
2089,21,x^21 + x^20 + 119,2^3 * 3^3 * 13 * 29 * 43 * 71 * 111949 * 64108703 * 18266832487 * 2428628057353 * 66103411075061886261180859
2089,22,x^22 + x^21 + 7,2^4 * 3^2 * 5 * 11^2 * 19 * 23 * 29 * 518233 * 12065101170795767602385989 * 1583406215745472343472723510062051
2089,23,x^23 + x^22 + 28,2^3 * 3^2 * 29 * 47 * 1151 * 108193 * 27662699 * 67543992695680816668268709937425462535703194056580993709
2089,24,x^24 + x^23 + 127,2^6 * 3^3 * 5 * 7^2 * 11 * 13 * 17 * 19 * 29 * 661 * 1889 * 3301 * 11257 * 89017 * 111949 * 296512417 * 19043802130321 * 32216981948127977521513
