p,r,n,poly,factorization
2339,1,2,x^2 + x + 17,2^3 * 3^2 * 5 * 7 * 13 * 167
2339,1,3,x^3 + x^2 + 3,2 * 7 * 167 * 5473261
2339,1,4,x^4 + x^3 + 10,2^4 * 3^2 * 5 * 7 * 13 * 167 * 269 * 10169
2339,1,5,x^5 + x^4 + 3,2 * 7 * 167 * 898921 * 33310801
2339,1,6,x^6 + x^5 + 54,2^3 * 3^3 * 5 * 7 * 13 * 167 * 853 * 2137 * 5473261
2339,1,7,x^7 + x^6 + 44,2 * 7^2 * 167 * 13599713 * 1720835126291
2339,1,8,x^8 + x^7 + 29,2^5 * 3^2 * 5 * 7 * 13 * 137 * 167 * 269 * 10169 * 11593 * 9422681
2339,1,9,x^9 + x^8 + 14,2 * 7 * 167 * 5473261 * 163750008379912524181
2339,1,10,x^10 + x^9 + 22,2^3 * 3^2 * 5^2 * 7 * 11^2 * 13 * 167 * 271 * 898921 * 33310801 * 182478031
2339,1,11,x^11 + x^10 + 9,2 * 7 * 23 * 167 * 12541 * 44089 * 385565068464452280171263
2339,1,12,x^12 + x^11 + 82,2^4 * 3^3 * 5 * 7 * 13 * 37 * 61 * 73 * 167 * 269 * 853 * 2137 * 10169 * 5473261 * 181662961
2339,1,13,x^13 + x^12 + 13,2 * 7 * 131 * 167 * 521 * 38804429 * 193341383 * 52388171388019024273
2339,1,14,x^14 + x^13 + 29,2^3 * 3^2 * 5 * 7^2 * 13 * 167 * 13599713 * 1720835126291 * 163680029731061716867
2339,1,15,x^15 + x^14 + 52,2 * 7 * 31 * 167 * 601 * 898921 * 1427821 * 1620571 * 5473261 * 33310801 * 20771988121
2339,1,16,x^16 + x^15 + 7,2^6 * 3^2 * 5 * 7 * 13 * 17 * 137 * 167 * 269 * 10169 * 11593 * 39937 * 58049 * 1139681 * 9422681 * 9972622241
2339,1,17,x^17 + x^16 + 16,2 * 7 * 167 * 15031978137317501 * 6274060235069692243 * 8513427551757889367
2339,1,18,x^18 + x^17 + 30,2^3 * 3^4 * 5 * 7 * 13 * 19 * 167 * 577 * 853 * 2137 * 1167409 * 5473261 * 4264887943 * 163750008379912524181
2339,1,19,x^19 + x^18 + 27,2 * 7 * 167 * 457 * 571 * 16833615348324931731321152969899645261137470263150347103
2339,1,20,x^20 + x^19 + 21,2^4 * 3^2 * 5^2 * 7 * 11^2 * 13 * 41 * 167 * 269 * 271 * 10169 * 20161 * 107981 * 898921 * 33310801 * 182478031 * 10036872878274061
2339,1,21,x^21 + x^20 + 41,2 * 7^2 * 43 * 167 * 5473261 * 13599713 * 1720835126291 * 623316310255408116575979248993748353227
2339,1,22,x^22 + x^21 + 118,2^3 * 3^2 * 5 * 7 * 13 * 23 * 89 * 167 * 8933 * 12541 * 30493 * 44089 * 270931 * 745882449040946141 * 385565068464452280171263
2339,1,23,x^23 + x^22 + 48,2 * 7 * 47 * 167 * 1427 * 1996933205459 * 981669335586340606289188015387651122219632414207488535891
2339,2,2,x^4 + x^3 + 10,2^4 * 3^2 * 5 * 7 * 13 * 167 * 269 * 10169
2339,2,3,x^6 + x^5 + 54,2^3 * 3^3 * 5 * 7 * 13 * 167 * 853 * 2137 * 5473261
2339,2,4,x^8 + x^7 + 29,2^5 * 3^2 * 5 * 7 * 13 * 137 * 167 * 269 * 10169 * 11593 * 9422681
2339,2,5,x^10 + x^9 + 22,2^3 * 3^2 * 5^2 * 7 * 11^2 * 13 * 167 * 271 * 898921 * 33310801 * 182478031
2339,2,6,x^12 + x^11 + 82,2^4 * 3^3 * 5 * 7 * 13 * 37 * 61 * 73 * 167 * 269 * 853 * 2137 * 10169 * 5473261 * 181662961
2339,2,7,x^14 + x^13 + 29,2^3 * 3^2 * 5 * 7^2 * 13 * 167 * 13599713 * 1720835126291 * 163680029731061716867
2339,2,8,x^16 + x^15 + 7,2^6 * 3^2 * 5 * 7 * 13 * 17 * 137 * 167 * 269 * 10169 * 11593 * 39937 * 58049 * 1139681 * 9422681 * 9972622241
