p,n,poly,factorization
6547,2,x^2 + x + 3,2^3 * 3 * 1091 * 1637
6547,3,x^3 + x^2 + 14,2 * 3^2 * 7^2 * 19 * 1091 * 15349
6547,4,x^4 + x^3 + 3,2^4 * 3 * 5 * 13 * 1091 * 1637 * 329717
6547,5,x^5 + x^4 + 4,2 * 3 * 61 * 1091 * 19681 * 1530589421
6547,6,x^6 + x^5 + 2,2^3 * 3^2 * 7^2 * 19 * 31 * 229 * 1091 * 1637 * 6037 * 15349
6547,7,x^7 + x^6 + 6,2 * 3 * 43 * 113 * 1091 * 91309 * 179327 * 989952181
6547,8,x^8 + x^7 + 47,2^5 * 3 * 5 * 13 * 17 * 1091 * 1637 * 12577 * 329717 * 4296485849
6547,9,x^9 + x^8 + 17,2 * 3^3 * 7^2 * 19 * 1091 * 15349 * 13107386287 * 2002703662873
6547,10,x^10 + x^9 + 30,2^3 * 3 * 11 * 61 * 461 * 1091 * 1637 * 19681 * 1530589421 * 362250858451
6547,11,x^11 + x^10 + 21,2 * 3 * 1091 * 2200797853 * 379457395901 * 173279255572200229
6547,12,x^12 + x^11 + 3,2^4 * 3^2 * 5 * 7^2 * 13 * 19 * 31 * 229 * 1091 * 1637 * 6037 * 15349 * 329717 * 1837254642914473
6547,13,x^13 + x^12 + 14,2 * 3 * 53 * 1091 * 62323 * 444289 * 3424103809543 * 1234348311355728720737
6547,14,x^14 + x^13 + 2,2^3 * 3 * 29 * 43 * 113 * 1091 * 1637 * 91309 * 122039 * 179327 * 19311517 * 989952181 * 1152058909
6547,15,x^15 + x^14 + 160,2 * 3^2 * 7^2 * 19 * 61 * 1091 * 2011 * 15349 * 19681 * 26251 * 1530589421 * 177159258151 * 360869860591
6547,16,x^16 + x^15 + 175,2^6 * 3 * 5 * 13 * 17 * 1091 * 1637 * 12577 * 329717 * 4296485849 * 88286578506289 * 19116749326578529
6547,17,x^17 + x^16 + 6,2 * 3 * 1091 * 57223 * 22183709 * 4475177207 * 65682626743 * 30540649078898558833651466963
6547,18,x^18 + x^17 + 5,2^3 * 3^3 * 7^2 * 19 * 31 * 229 * 1091 * 1637 * 6037 * 15349 * 4092769 * 13107386287 * 2002703662873 * 19241406388300303
6547,19,x^19 + x^18 + 14,2 * 3 * 1091 * 4322266870799 * 113010006113931406396662816982961616515992141500454704083
6547,20,x^20 + x^19 + 75,2^4 * 3 * 5^2 * 11 * 13 * 61 * 181 * 241 * 461 * 1091 * 1637 * 19681 * 329717 * 1530589421 * 362250858451 * 1565137161241 * 9888278561921
