p,e,n,poly,factorization
2477,1,2,x^2 + x + 2,2^3 * 3 * 7 * 59 * 619
2477,1,3,x^3 + x^2 + 5,2^2 * 19 * 619 * 323053
2477,1,4,x^4 + x^3 + 42,2^4 * 3 * 5 * 7 * 29 * 59 * 619 * 21157
2477,1,5,x^5 + x^4 + 12,2^2 * 619 * 328481 * 114648701
2477,1,6,x^6 + x^5 + 12,2^3 * 3^2 * 7 * 19 * 59 * 619 * 323053 * 2044351
2477,1,7,x^7 + x^6 + 5,2^2 * 127 * 619 * 3221 * 564854977327481
2477,1,8,x^8 + x^7 + 46,2^5 * 3 * 5 * 7 * 29 * 59 * 619 * 21157 * 40993 * 459160297
2477,1,9,x^9 + x^8 + 2,2^2 * 19 * 619 * 323053 * 230970247403894346223
2477,1,10,x^10 + x^9 + 57,2^3 * 3 * 7 * 11 * 59 * 211 * 541 * 619 * 328481 * 29967901 * 114648701
2477,1,11,x^11 + x^10 + 12,2^2 * 23 * 619 * 378187870792379499171334894532489
2477,1,12,x^12 + x^11 + 2,2^4 * 3^2 * 5 * 7 * 13 * 19 * 29 * 59 * 619 * 2137 * 5113 * 21157 * 265021 * 323053 * 2044351
2477,1,13,x^13 + x^12 + 13,2^2 * 619 * 16069 * 3321227264918952026382327955981619089
2477,1,14,x^14 + x^13 + 45,2^3 * 3 * 7^2 * 59 * 127 * 619 * 3221 * 1180602389 * 27936953591 * 564854977327481
2477,1,15,x^15 + x^14 + 149,2^2 * 19 * 31 * 571 * 619 * 91141 * 323053 * 328481 * 114648701 * 878053735876811161
2477,1,16,x^16 + x^15 + 2,2^6 * 3 * 5 * 7 * 17 * 29 * 59 * 619 * 4721 * 21157 * 40993 * 459160297 * 8828666976030268464913
2477,1,17,x^17 + x^16 + 46,2^2 * 619 * 1021 * 21163199 * 92978902129838057755854393591189738999363899
2477,1,18,x^18 + x^17 + 59,2^3 * 3^3 * 7 * 19 * 59 * 619 * 323053 * 2044351 * 7963723 * 9667599244453 * 230970247403894346223
2477,1,19,x^19 + x^18 + 70,2^2 * 619 * 6117583 * 338987382269 * 39287023010882924779 * 151297224100319027205239
2477,1,20,x^20 + x^19 + 80,2^4 * 3 * 5^2 * 7 * 11 * 29 * 59 * 61 * 211 * 541 * 619 * 1321 * 21157 * 328481 * 29967901 * 114648701 * 3517266899195375506361
2477,1,21,x^21 + x^20 + 2,2^2 * 19 * 127 * 619 * 3221 * 140281 * 323053 * 564854977327481 * 380135001457350914720133393511759489
2477,1,22,x^22 + x^21 + 284,2^3 * 3 * 7 * 23 * 59 * 619 * 1087585907 * 7991369266206843778418719 * 378187870792379499171334894532489
2477,1,23,x^23 + x^22 + 45,2^2 * 619 * 213533 * 227684258387 * 3279121011156085019219 * 2910663903693459821418615885907423943
2477,2,2,x^4 + x^3 + 42,2^4 * 3 * 5 * 7 * 29 * 59 * 619 * 21157
2477,2,3,x^6 + x^5 + 12,2^3 * 3^2 * 7 * 19 * 59 * 619 * 323053 * 2044351
2477,2,4,x^8 + x^7 + 46,2^5 * 3 * 5 * 7 * 29 * 59 * 619 * 21157 * 40993 * 459160297
2477,2,5,x^10 + x^9 + 57,2^3 * 3 * 7 * 11 * 59 * 211 * 541 * 619 * 328481 * 29967901 * 114648701
2477,2,6,x^12 + x^11 + 2,2^4 * 3^2 * 5 * 7 * 13 * 19 * 29 * 59 * 619 * 2137 * 5113 * 21157 * 265021 * 323053 * 2044351
2477,2,7,x^14 + x^13 + 45,2^3 * 3 * 7^2 * 59 * 127 * 619 * 3221 * 1180602389 * 27936953591 * 564854977327481
2477,2,8,x^16 + x^15 + 2,2^6 * 3 * 5 * 7 * 17 * 29 * 59 * 619 * 4721 * 21157 * 40993 * 459160297 * 8828666976030268464913
2477,2,9,x^18 + x^17 + 59,2^3 * 3^3 * 7 * 19 * 59 * 619 * 323053 * 2044351 * 7963723 * 9667599244453 * 230970247403894346223
2477,2,10,x^20 + x^19 + 80,2^4 * 3 * 5^2 * 7 * 11 * 29 * 59 * 61 * 211 * 541 * 619 * 1321 * 21157 * 328481 * 29967901 * 114648701 * 3517266899195375506361
2477,2,11,x^22 + x^21 + 284,2^3 * 3 * 7 * 23 * 59 * 619 * 1087585907 * 7991369266206843778418719 * 378187870792379499171334894532489
2477,3,2,x^6 + x^5 + 12,2^3 * 3^2 * 7 * 19 * 59 * 619 * 323053 * 2044351
2477,3,3,x^9 + x^8 + 2,2^2 * 19 * 619 * 323053 * 230970247403894346223
2477,3,4,x^12 + x^11 + 2,2^4 * 3^2 * 5 * 7 * 13 * 19 * 29 * 59 * 619 * 2137 * 5113 * 21157 * 265021 * 323053 * 2044351
2477,3,5,x^15 + x^14 + 149,2^2 * 19 * 31 * 571 * 619 * 91141 * 323053 * 328481 * 114648701 * 878053735876811161
2477,3,6,x^18 + x^17 + 59,2^3 * 3^3 * 7 * 19 * 59 * 619 * 323053 * 2044351 * 7963723 * 9667599244453 * 230970247403894346223
2477,3,7,x^21 + x^20 + 2,2^2 * 19 * 127 * 619 * 3221 * 140281 * 323053 * 564854977327481 * 380135001457350914720133393511759489
2477,4,2,x^8 + x^7 + 46,2^5 * 3 * 5 * 7 * 29 * 59 * 619 * 21157 * 40993 * 459160297
2477,4,3,x^12 + x^11 + 2,2^4 * 3^2 * 5 * 7 * 13 * 19 * 29 * 59 * 619 * 2137 * 5113 * 21157 * 265021 * 323053 * 2044351
2477,4,4,x^16 + x^15 + 2,2^6 * 3 * 5 * 7 * 17 * 29 * 59 * 619 * 4721 * 21157 * 40993 * 459160297 * 8828666976030268464913
2477,4,5,x^20 + x^19 + 80,2^4 * 3 * 5^2 * 7 * 11 * 29 * 59 * 61 * 211 * 541 * 619 * 1321 * 21157 * 328481 * 29967901 * 114648701 * 3517266899195375506361
2477,5,2,x^10 + x^9 + 57,2^3 * 3 * 7 * 11 * 59 * 211 * 541 * 619 * 328481 * 29967901 * 114648701
2477,5,3,x^15 + x^14 + 149,2^2 * 19 * 31 * 571 * 619 * 91141 * 323053 * 328481 * 114648701 * 878053735876811161
2477,5,4,x^20 + x^19 + 80,2^4 * 3 * 5^2 * 7 * 11 * 29 * 59 * 61 * 211 * 541 * 619 * 1321 * 21157 * 328481 * 29967901 * 114648701 * 3517266899195375506361
2477,6,2,x^12 + x^11 + 2,2^4 * 3^2 * 5 * 7 * 13 * 19 * 29 * 59 * 619 * 2137 * 5113 * 21157 * 265021 * 323053 * 2044351
2477,6,3,x^18 + x^17 + 59,2^3 * 3^3 * 7 * 19 * 59 * 619 * 323053 * 2044351 * 7963723 * 9667599244453 * 230970247403894346223
2477,7,2,x^14 + x^13 + 45,2^3 * 3 * 7^2 * 59 * 127 * 619 * 3221 * 1180602389 * 27936953591 * 564854977327481
2477,7,3,x^21 + x^20 + 2,2^2 * 19 * 127 * 619 * 3221 * 140281 * 323053 * 564854977327481 * 380135001457350914720133393511759489
2477,8,2,x^16 + x^15 + 2,2^6 * 3 * 5 * 7 * 17 * 29 * 59 * 619 * 4721 * 21157 * 40993 * 459160297 * 8828666976030268464913
2477,9,2,x^18 + x^17 + 59,2^3 * 3^3 * 7 * 19 * 59 * 619 * 323053 * 2044351 * 7963723 * 9667599244453 * 230970247403894346223
2477,10,2,x^20 + x^19 + 80,2^4 * 3 * 5^2 * 7 * 11 * 29 * 59 * 61 * 211 * 541 * 619 * 1321 * 21157 * 328481 * 29967901 * 114648701 * 3517266899195375506361
2477,11,2,x^22 + x^21 + 284,2^3 * 3 * 7 * 23 * 59 * 619 * 1087585907 * 7991369266206843778418719 * 378187870792379499171334894532489
