p,n,poly,factorization
3659,2,x^2 + x + 2,2^3 * 3 * 5 * 31 * 59 * 61
3659,3,x^3 + x^2 + 5,2 * 19 * 31 * 59 * 704839
3659,4,x^4 + x^3 + 6,2^4 * 3 * 5 * 17 * 31 * 59 * 61 * 449 * 877
3659,5,x^5 + x^4 + 12,2 * 31 * 41 * 59 * 4373050469441
3659,6,x^6 + x^5 + 57,2^3 * 3^2 * 5 * 7 * 19 * 31 * 59 * 61 * 73 * 8731 * 704839
3659,7,x^7 + x^6 + 27,2 * 31 * 43 * 59 * 55824482999869275847
3659,8,x^8 + x^7 + 18,2^5 * 3 * 5 * 17 * 31 * 59 * 61 * 449 * 877 * 11273 * 7950238097
3659,9,x^9 + x^8 + 5,2 * 19 * 31 * 37 * 59 * 127 * 181^2 * 704839 * 15588770457439
3659,10,x^10 + x^9 + 6,2^3 * 3 * 5^2 * 11 * 31 * 41 * 59 * 61 * 395971 * 8228201 * 4373050469441
3659,11,x^11 + x^10 + 3,2 * 23 * 31 * 59 * 113885006278513559 * 164266278097057093
3659,12,x^12 + x^11 + 32,2^4 * 3^2 * 5 * 7 * 13 * 17 * 19 * 31 * 59 * 61 * 73 * 449 * 877 * 8731 * 704839 * 852829 * 16167553
3659,13,x^13 + x^12 + 16,2 * 31 * 59 * 443 * 1093 * 3997356949 * 2976259558250112655537904291
3659,14,x^14 + x^13 + 50,2^3 * 3 * 5 * 29 * 31 * 43 * 59 * 61 * 55824482999869275847 * 82729001592061785143
3659,15,x^15 + x^14 + 7,2 * 19 * 31 * 41 * 59 * 208291 * 704839 * 2357031751 * 4373050469441 * 65425135339021
3659,16,x^16 + x^15 + 323,2^6 * 3 * 5 * 17 * 31 * 59 * 61 * 97 * 241 * 433 * 449 * 877 * 11273 * 74257 * 7950238097 * 21372494174984353
3659,17,x^17 + x^16 + 9,2 * 31 * 59 * 1361 * 869950369891 * 872096729507264698928380938655010781558971
3659,18,x^18 + x^17 + 126,2^3 * 3^3 * 5 * 7 * 19 * 31 * 37 * 59 * 61 * 73 * 127 * 181^2 * 8731 * 704839 * 15588770457439 * 799932242762338690621
3659,19,x^19 + x^18 + 35,2 * 31 * 59 * 191 * 2281 * 123007 * 173851 * 1483803553388773328981607816422529297027864540263
3659,20,x^20 + x^19 + 160,2^4 * 3 * 5^2 * 11 * 17 * 31 * 41 * 59 * 61 * 449 * 877 * 10781 * 19861 * 395971 * 8228201 * 4373050469441 * 150051066310760219921
3659,21,x^21 + x^20 + 15,2 * 19 * 31 * 43 * 59 * 704839 * 4995267439 * 2742120148489 * 55824482999869275847 * 420324767069113260271
3659,22,x^22 + x^21 + 262,2^3 * 3 * 5 * 23 * 31 * 59 * 61 * 584941644804529 * 113885006278513559 * 164266278097057093 * 735178634051330389559
