p,r,n,poly,factorization
3571,1,2,x^2 + x + 3,2^3 * 3 * 5 * 7 * 17 * 19 * 47
3571,1,3,x^3 + x^2 + 5,2 * 3^2 * 5 * 7 * 13^2 * 17 * 139 * 181
3571,1,4,x^4 + x^3 + 3,2^4 * 3 * 5 * 7 * 17 * 19 * 47 * 6376021
3571,1,5,x^5 + x^4 + 5,2 * 3 * 5^2 * 7 * 17 * 101 * 322099207841
3571,1,6,x^6 + x^5 + 40,2^3 * 3^2 * 5 * 7 * 13^2 * 17 * 19 * 31 * 47 * 139 * 181 * 411241
3571,1,7,x^7 + x^6 + 19,2 * 3 * 5 * 7^2 * 17 * 17599 * 8276087 * 2034462347
3571,1,8,x^8 + x^7 + 18,2^5 * 3 * 5 * 7 * 17 * 19 * 47 * 91097 * 6376021 * 892535153
3571,1,9,x^9 + x^8 + 9,2 * 3^3 * 5 * 7 * 13^2 * 17 * 139 * 181 * 1718823061 * 402148705051
3571,1,10,x^10 + x^9 + 34,2^3 * 3 * 5^2 * 7 * 11 * 17 * 19 * 41 * 47 * 101 * 47041 * 7662751 * 322099207841
3571,1,11,x^11 + x^10 + 66,2 * 3 * 5 * 7 * 17 * 23 * 199 * 9901 * 71347 * 104324051884768148332219
3571,1,12,x^12 + x^11 + 75,2^4 * 3^2 * 5 * 7 * 13^2 * 17 * 19 * 31 * 47 * 139 * 181 * 541 * 3709 * 411241 * 6376021 * 81041089
3571,1,13,x^13 + x^12 + 13,2 * 3 * 5 * 7 * 17 * 266683 * 4673917 * 3450829551715325208790309165543
3571,1,14,x^14 + x^13 + 58,2^3 * 3 * 5 * 7^2 * 17 * 19 * 29 * 43 * 47 * 17599 * 8276087 * 40236533 * 2034462347 * 41317163161
3571,1,15,x^15 + x^14 + 24,2 * 3^2 * 5^2 * 7 * 13^2 * 17 * 101 * 139 * 181 * 54804301 * 13487885491 * 35763387991 * 322099207841
3571,1,16,x^16 + x^15 + 3,2^6 * 3 * 5 * 7 * 17 * 19 * 47 * 97 * 241 * 91097 * 6376021 * 892535153 * 565587794904654845122753
3571,1,17,x^17 + x^16 + 31,2 * 3 * 5 * 7 * 17^2 * 6257 * 548724437 * 81469595532171659 * 147093776772084115749055031
3571,1,18,x^18 + x^17 + 58,2^3 * 3^3 * 5 * 7 * 13^2 * 17 * 19 * 31 * 47 * 139 * 181 * 411241 * 30264229 * 1718823061 * 402148705051 * 68518758713059
3571,1,19,x^19 + x^18 + 21,2 * 3 * 5 * 7 * 17 * 31123 * 680031668650443137557 * 421432812816203476697902782433712482099
3571,1,20,x^20 + x^19 + 98,2^4 * 3 * 5^2 * 7 * 11 * 17 * 19 * 41 * 47 * 61 * 101 * 47041 * 3840541 * 6376021 * 7662751 * 322099207841 * 112874678586223389481
3571,1,21,x^21 + x^20 + 211,2 * 3^2 * 5 * 7^2 * 13^2 * 17 * 139 * 181 * 3361 * 6763 * 17599 * 8276087 * 2034462347 * 189124881252705919729711739070177547
3571,1,22,x^22 + x^21 + 252,2^3 * 3 * 5 * 7 * 17 * 19 * 23 * 47 * 89 * 199 * 9901 * 23629 * 71347 * 5905153 * 28465522669 * 953654881103 * 104324051884768148332219
3571,2,2,x^4 + x^3 + 3,2^4 * 3 * 5 * 7 * 17 * 19 * 47 * 6376021
3571,2,3,x^6 + x^5 + 40,2^3 * 3^2 * 5 * 7 * 13^2 * 17 * 19 * 31 * 47 * 139 * 181 * 411241
3571,2,4,x^8 + x^7 + 18,2^5 * 3 * 5 * 7 * 17 * 19 * 47 * 91097 * 6376021 * 892535153
3571,2,5,x^10 + x^9 + 34,2^3 * 3 * 5^2 * 7 * 11 * 17 * 19 * 41 * 47 * 101 * 47041 * 7662751 * 322099207841
3571,2,6,x^12 + x^11 + 75,2^4 * 3^2 * 5 * 7 * 13^2 * 17 * 19 * 31 * 47 * 139 * 181 * 541 * 3709 * 411241 * 6376021 * 81041089
3571,2,7,x^14 + x^13 + 58,2^3 * 3 * 5 * 7^2 * 17 * 19 * 29 * 43 * 47 * 17599 * 8276087 * 40236533 * 2034462347 * 41317163161
3571,2,8,x^16 + x^15 + 3,2^6 * 3 * 5 * 7 * 17 * 19 * 47 * 97 * 241 * 91097 * 6376021 * 892535153 * 565587794904654845122753
3571,2,9,x^18 + x^17 + 58,2^3 * 3^3 * 5 * 7 * 13^2 * 17 * 19 * 31 * 47 * 139 * 181 * 411241 * 30264229 * 1718823061 * 402148705051 * 68518758713059
3571,2,10,x^20 + x^19 + 98,2^4 * 3 * 5^2 * 7 * 11 * 17 * 19 * 41 * 47 * 61 * 101 * 47041 * 3840541 * 6376021 * 7662751 * 322099207841 * 112874678586223389481
3571,2,11,x^22 + x^21 + 252,2^3 * 3 * 5 * 7 * 17 * 19 * 23 * 47 * 89 * 199 * 9901 * 23629 * 71347 * 5905153 * 28465522669 * 953654881103 * 104324051884768148332219
3571,3,2,x^6 + x^5 + 40,2^3 * 3^2 * 5 * 7 * 13^2 * 17 * 19 * 31 * 47 * 139 * 181 * 411241
3571,3,3,x^9 + x^8 + 9,2 * 3^3 * 5 * 7 * 13^2 * 17 * 139 * 181 * 1718823061 * 402148705051
3571,3,4,x^12 + x^11 + 75,2^4 * 3^2 * 5 * 7 * 13^2 * 17 * 19 * 31 * 47 * 139 * 181 * 541 * 3709 * 411241 * 6376021 * 81041089
