p,n,poly,factorization
3061,2,x^2 + x + 24,2^3 * 3^2 * 5 * 17 * 1531
3061,3,x^3 + x^2 + 14,2^2 * 3^3 * 5 * 7 * 17 * 446323
3061,4,x^4 + x^3 + 18,2^4 * 3^2 * 5 * 17 * 61 * 1531 * 76801
3061,5,x^5 + x^4 + 14,2^2 * 3^2 * 5^2 * 11 * 17 * 211 * 7567459001
3061,6,x^6 + x^5 + 41,2^3 * 3^3 * 5 * 7 * 17 * 37 * 1531 * 253153 * 446323
3061,7,x^7 + x^6 + 13,2^2 * 3^2 * 5 * 17 * 29 * 1655557 * 17138773720139
3061,8,x^8 + x^7 + 14,2^5 * 3^2 * 5 * 17 * 41 * 61 * 353 * 1531 * 16033 * 76801 * 189169
3061,9,x^9 + x^8 + 65,2^2 * 3^4 * 5 * 7 * 17 * 446323 * 19626463 * 13970652263587
3061,10,x^10 + x^9 + 74,2^3 * 3^2 * 5^2 * 11 * 17 * 31 * 211 * 881 * 1531 * 3213467111 * 7567459001
3061,11,x^11 + x^10 + 91,2^2 * 3^2 * 5 * 17 * 23 * 110419 * 283097 * 100477376338759269912899
3061,12,x^12 + x^11 + 98,2^4 * 3^3 * 5 * 7 * 13^2 * 17 * 37 * 61 * 1531 * 76801 * 253153 * 446323 * 519477291409
3061,13,x^13 + x^12 + 70,2^2 * 3^2 * 5 * 17 * 168533 * 4016214564034522652511007114468372721
3061,14,x^14 + x^13 + 13,2^3 * 3^2 * 5 * 17 * 29 * 43 * 1531 * 1655557 * 1946561 * 9824300712647 * 17138773720139
3061,15,x^15 + x^14 + 197,2^2 * 3^3 * 5^2 * 7 * 11 * 17 * 211 * 446323 * 105668131 * 7567459001 * 72915642633295965211
3061,16,x^16 + x^15 + 6,2^6 * 3^2 * 5 * 17 * 41 * 61 * 193 * 353 * 401 * 1531 * 16033 * 76801 * 189169 * 268049 * 185763663841944913
3061,17,x^17 + x^16 + 18,2^2 * 3^2 * 5 * 17^2 * 524893 * 6659405711592406836939124456453110960460430452117
3061,18,x^18 + x^17 + 120,2^3 * 3^4 * 5 * 7 * 17 * 19 * 37 * 1531 * 2647 * 253153 * 446323 * 19626463 * 74034073 * 220922929 * 13970652263587
3061,19,x^19 + x^18 + 18,2^2 * 3^2 * 5 * 17 * 191 * 2915066513843001659167120267636757075107311587301745822929569
3061,20,x^20 + x^19 + 263,2^4 * 3^2 * 5^2 * 11 * 17 * 31 * 61 * 211 * 881 * 1531 * 76801 * 3213467111 * 7567459001 * 35425973771521 * 217562877243121
3061,21,x^21 + x^20 + 96,2^2 * 3^3 * 5 * 7^2 * 17 * 29 * 446323 * 1655557 * 491139811 * 985810598557 * 17138773720139 * 199582009164437921449
3061,22,x^22 + x^21 + 56,2^3 * 3^2 * 5 * 17 * 23 * 1531 * 5743 * 110419 * 283097 * 15749091013613 * 798173179077989639 * 100477376338759269912899
