p,n,poly,factorization
1747,2,x^2 + x + 5,2^3 * 3^2 * 19 * 23 * 97
1747,3,x^3 + x^2 + 15,2 * 3^3 * 7 * 97 * 145417
1747,4,x^4 + x^3 + 5,2^4 * 3^2 * 5 * 13 * 17 * 19 * 23 * 97 * 1381
1747,5,x^5 + x^4 + 15,2 * 3^2 * 11 * 97 * 541 * 1566139111
1747,6,x^6 + x^5 + 13,2^3 * 3^3 * 7 * 19 * 23 * 97 * 145417 * 3050263
1747,7,x^7 + x^6 + 54,2 * 3^2 * 29 * 97 * 980862424472579993
1747,8,x^8 + x^7 + 72,2^5 * 3^2 * 5 * 13 * 17 * 19 * 23 * 97 * 1381 * 109609 * 42490849
1747,9,x^9 + x^8 + 4,2 * 3^4 * 7 * 97 * 631 * 145417 * 15017817280021921
1747,10,x^10 + x^9 + 78,2^3 * 3^2 * 11 * 19 * 23 * 41 * 97 * 541 * 1566139111 * 227059271381
1747,11,x^11 + x^10 + 40,2 * 3^2 * 97 * 27218027 * 1555966617239 * 6256346589329
1747,12,x^12 + x^11 + 206,2^4 * 3^3 * 5 * 7 * 13 * 17 * 19 * 23 * 37 * 97 * 241 * 1381 * 3709 * 145417 * 281641 * 3050263
1747,13,x^13 + x^12 + 68,2 * 3^2 * 97 * 6917 * 680083 * 44252255347 * 3884618920034438093
1747,14,x^14 + x^13 + 13,2^3 * 3^2 * 19 * 23 * 29 * 43 * 97 * 660754989100428601 * 980862424472579993
1747,15,x^15 + x^14 + 25,2 * 3^3 * 7 * 11 * 97 * 541 * 1801 * 145417 * 2429551 * 1566139111 * 19817772633764551
1747,16,x^16 + x^15 + 50,2^6 * 3^2 * 5 * 13 * 17 * 19 * 23 * 97 * 1381 * 82657 * 109609 * 5994449 * 42490849 * 87555682126817
1747,17,x^17 + x^16 + 4,2 * 3^2 * 97 * 283051 * 37948022389387797493 * 701263610943736009164015287
1747,18,x^18 + x^17 + 5,2^3 * 3^4 * 7 * 19 * 23 * 97 * 631 * 145417 * 3050263 * 15017817280021921 * 28428728100417777007
1747,19,x^19 + x^18 + 15,2 * 3^2 * 97 * 29352070087 * 28877846926499 * 27121731333625734620345542658724809
1747,20,x^20 + x^19 + 59,2^4 * 3^2 * 5^2 * 11 * 13 * 17 * 19 * 23 * 41 * 97 * 541 * 1381 * 88321 * 1566139111 * 227059271381 * 196475822530501357661
1747,21,x^21 + x^20 + 16,2 * 3^3 * 7^2 * 29 * 97 * 145417 * 6512234317 * 980862424472579993 * 17718956245670541092088128251
1747,22,x^22 + x^21 + 89,2^3 * 3^2 * 19 * 23 * 67 * 97 * 419 * 1409 * 3631 * 55661 * 27218027 * 1555966617239 * 6256346589329 * 33105751763613629
1747,23,x^23 + x^22 + 14,2 * 3^2 * 47 * 97 * 139 * 5013817 * 6537496035537309788502071403766750504469779248119916716082937
1747,24,x^24 + x^23 + 53,2^5 * 3^3 * 5 * 7 * 13 * 17 * 19 * 23 * 37 * 97 * 241 * 313 * 1381 * 3709 * 6073 * 109609 * 145417 * 281641 * 3050263 * 42490849 * 45645253272243891169
