p,	r,	result
2,	1,	x^26 + x^25 + x^5 + x + 1	3 * 2731 * 8191
2,	2,	x^52 + x^51 + x^12 + x + 1	3 * 5 * 53 * 157 * 1613 * 2731 * 8191
2,	3,	x^78 + x^77 + x^13 + x^4 + 1	3^2 * 7 * 79 * 2731 * 8191 * 121369 * 22366891
2,	4,	Regular
2,	5,	True	3 * 11 * 31 * 131 * 2731 * 8191 * 409891 * 7623851 * 145295143558111
2,	6,	True	3^2 * 5 * 7 * 13^2 * 53 * 79 * 157 * 313 * 1249 * 1613 * 2731 * 3121 * 8191 * 21841 * 121369 * 22366891
2,	7,	True	3 * 43 * 127 * 911 * 2731 * 8191 * 224771 * 1210483 * 112901153 * 23140471537 * 25829691707
2,	8,	Regular
2,	9,	True	
2,	10,	True	
2,	11,	True	
2,	12,	Regular
2,	13,	True	
3,	1,	Regular
3,	2,	Regular
3,	3,	Regular
3,	4,	Regular
3,	5,	Regular
3,	6,	Regular
3,	7,	Regular
3,	8,	Regular
5,	1,	x^26 + x^25 + 3*x^8 + 3	2^3 * 3 * 5227 * 38923 * 305175781
5,	2,	x^52 + x^51 + 4*x^9 + 2	2^4 * 3 * 13^2 * 53 * 5227 * 38923 * 305175781 * 83181652304609
5,	3,	True	2^3 * 3^2 * 7 * 31 * 79 * 3121 * 5227 * 38923 * 305175781 * 22735632934561 * 608459012088799
5,	4,	Regular
5,	5,	True	
7,	1,	x^26 + x^25 + 2*x + 5	2^4 * 3 * 53 * 228511817 * 16148168401
7,	2,	x^52 + 2*x^51 + 2*x^3 + 5	2^5 * 3 * 5^2 * 53 * 157 * 228511817 * 16148168401 * 1195857367853217109
7,	3,	True	
7,	4,	Regular
11,	1,	x^26 + 2*x^25 + 2*x^3 + 2	2^3 * 3 * 5 * 53 * 911 * 1093 * 59583967 * 3158528101
11,	2,	True	2^4 * 3 * 5 * 53 * 61 * 911 * 1093 * 59583967 * 3158528101 * 9768997162071483134919121
11,	3,	True	
11,	4,	Regular
13,	1,	Regular
13,	2,	Regular
13,	3,	Regular
17,	1,	x^26 + x^25 + 5*x + 6	2^5 * 3^2 * 53 * 79 * 65651 * 212057 * 2001793 * 2919196853
17,	2,	Regular
17,	3,	True	
19,	1,	x^26 + x^25 + 4*x + 2	2^3 * 3^2 * 5 * 131 * 313 * 599 * 29251 * 176021 * 291331 * 133338869
19,	2,	True	
19,	3,	True	
23,	1,	x^26 + x^25 + 11	2^4 * 3 * 11 * 47691619 * 480393499 * 21001515080686141
23,	2,	Regular
23,	3,	True	
29,	1,	Regular
29,	2,	Regular
31,	1,	x^26 + 2*x^25 + 12	2^6 * 3 * 5 * 17863 * 42407 * 2426789 * 7908811 * 42716694944587
31,	2,	True	
37,	1,	x^26 + 2*x^25 + 24	2^3 * 3^2 * 19 * 53 * 591163 * 204576480239 * 6765811783780036261
37,	2,	True	
41,	1,	x^26 + x^25 + 10*x + 13	2^4 * 3 * 5 * 7 * 79 * 11831 * 110969 * 432589 * 17615988547 * 644522798011
41,	2,	True	
43,	1,	x^26 + 2*x^25 + 34	2^3 * 3 * 7 * 11 * 53 * 55147 * 13361016018611 * 40911050578149780601
43,	2,	Regular
47,	1,	x^26 + x^25 + 39	2^5 * 3 * 23 * 53 * 131 * 2237 * 12377 * 14050609 * 71265169 * 70168829040103
47,	2,	True	
53,	1,	Regular
53,	2,	Regular
59,	1,	x^26 + x^25 + 14	2^3 * 3 * 5 * 29 * 53 * 19709 * 1674882874058629 * 1809873235795386729241
59,	2,	True	
61,	1,	Regular
61,	2,	Regular
67,	1,	x^26 + x^25 + 31	2^3 * 3 * 11 * 17 * 79 * 157 * 2029 * 5279 * 126867415853933 * 3973575555985282729
67,	2,	True	
71,	1,	x^26 + 2*x^25 + 22	2^4 * 3^2 * 5 * 7 * 79 * 131 * 8893 * 677561 * 259496173 * 3202878953 * 5196608121641
71,	2,	True	
73,	1,	True	2^4 * 3^2 * 37 * 5669 * 147083 * 2644669 * 1506911267681 * 157870943937341207
73,	2,	True	
79,	1,	Regular
79,	2,	Regular
83,	1,	True	2^3 * 3 * 7 * 41 * 1249 * 1396513 * 1423319 * 2820403 * 43580447 * 37447665332413207
83,	2,	True	
89,	1,	x^26 + x^25 + x + 15	2^4 * 3^2 * 5 * 11 * 53 * 79 * 2003 * 29785404613009501 * 244246065747870338744593
89,	2,	True	
97,	1,	True	2^6 * 3 * 7^2 * 53 * 79 * 20359 * 2892928273 * 237393489259057 * 8224356155341457
97,	2,	True	
101,	1,	True	2^3 * 3 * 5^2 * 17 * 79 * 157 * 521 * 2029 * 7307 * 60919 * 2891083442729 * 75258668960331767
101,	2,	Regular
103,	1,	True	2^4 * 3 * 13^2 * 17 * 313 * 46567 * 246637 * 400500370843 * 108619357503813928536337
103,	2,	Regular
107,	1,	Regular
107,	2,	Regular
109,	1,	True	2^3 * 3^3 * 5 * 11 * 292631 * 780287 * 3571884578300682359 * 9700639967080761011
109,	2,	True	
113,	1,	Regular
113,	2,	Regular
127,	1,	True	2^8 * 3^2 * 7 * 9049 * 165829 * 3444143 * 3379840127 * 12346432697 * 1437263292796553
131,	1,	Regular
137,	1,	True	2^4 * 3 * 17 * 23 * 79 * 864319 * 19805293 * 46774391 * 2572605139183 * 11745000879180089
139,	1,	Regular
149,	1,	True	2^3 * 3 * 5^2 * 37 * 53 * 131 * 1873 * 25793 * 354603836140919 * 120547934639675608922684101
151,	1,	True	2^4 * 3 * 5^2 * 19 * 3269242003 * 42698208814473967 * 141451988078598368963321713
157,	1,	Regular
163,	1,	True	2^3 * 3^4 * 41 * 53 * 131 * 313 * 7879 * 10865297 * 20418902995136101 * 32574836199364307993
167,	1,	True	2^4 * 3 * 7 * 83 * 599 * 288653 * 423816863419 * 1842467295761 * 1639947561355176119957
173,	1,	True	2^3 * 3 * 29 * 43 * 79 * 157 * 70981 * 64867793848691122693 * 9045300534933595186589479
179,	1,	True	2^3 * 3^2 * 5 * 79 * 89 * 10531 * 145601 * 94597128022319068199 * 102175620749107142489383
181,	1,	True	2^3 * 3^2 * 5 * 7 * 13^2 * 8737 * 301159 * 792425219 * 26991238223 * 152943249629 * 13661113788479
191,	1,	Regular
193,	1,	True	2^7 * 3 * 97 * 131 * 65027 * 104287 * 37919936939 * 3022376751345979 * 70077028939427459
197,	1,	True	2^3 * 3^2 * 7^2 * 11 * 53 * 521 * 547 * 1171 * 386621 * 192193163592043381 * 8882177114415454425161
199,	1,	True	2^4 * 3^2 * 5^2 * 11 * 53 * 79 * 131 * 3581839 * 3501822143 * 309047089313 * 6996578982265494494029
211,	1,	Regular
223,	1,	True	2^6 * 3 * 7 * 37 * 53 * 79 * 131 * 126517 * 1519967383333858933267 * 2168542989253363826179987
227,	1,	True	2^3 * 3 * 19 * 53 * 79 * 113 * 937 * 5981 * 433421 * 63305062436853931201 * 544332487792213545959
229,	1,	True	2^3 * 3 * 5 * 19 * 23 * 53 * 79 * 1647127 * 2377883 * 2549951 * 2091592231 * 4945730798062086575721179
233,	1,	True	
239,	1,	True	
241,	1,	True	
251,	1,	True	
257,	1,	True	
263,	1,	Regular
269,	1,	Regular
271,	1,	True	
277,	1,	True	
281,	1,	True	
283,	1,	True	
293,	1,	True	
307,	1,	True	
311,	1,	True	
313,	1,	Regular
317,	1,	True	
331,	1,	True	
337,	1,	True	
347,	1,	Regular
349,	1,	True	
353,	1,	True	
359,	1,	True	
367,	1,	Regular
373,	1,	Regular
379,	1,	True	
383,	1,	True	
389,	1,	True	
397,	1,	True	
401,	1,	True	
409,	1,	True	
419,	1,	Regular
421,	1,	True	
431,	1,	True	
433,	1,	True	
439,	1,	True	
443,	1,	Regular
449,	1,	True	
457,	1,	True	
461,	1,	True	
463,	1,	True	
467,	1,	True	
479,	1,	True	
487,	1,	True	
491,	1,	True	
499,	1,	True	
503,	1,	Regular
509,	1,	True	
521,	1,	Regular
523,	1,	Regular
541,	1,	True	
547,	1,	Regular
557,	1,	True	
563,	1,	True	
569,	1,	True	
571,	1,	True	
577,	1,	True	
587,	1,	True	
593,	1,	True	
599,	1,	Regular
601,	1,	Regular
607,	1,	Regular
613,	1,	True	
617,	1,	True	
619,	1,	True	
631,	1,	True	
641,	1,	True	
643,	1,	True	
647,	1,	True	
653,	1,	Regular
659,	1,	Regular
661,	1,	True	
673,	1,	True	
677,	1,	Regular
683,	1,	True	
691,	1,	True	
701,	1,	True	
709,	1,	True	
719,	1,	True	
727,	1,	True	
733,	1,	True	
739,	1,	True	
743,	1,	True	
751,	1,	True	
757,	1,	Regular
761,	1,	True	
769,	1,	True	
773,	1,	True	
787,	1,	True	
797,	1,	True	
809,	1,	Regular
811,	1,	True	
821,	1,	True	
823,	1,	True	
827,	1,	True	
829,	1,	True	
839,	1,	True	
853,	1,	True	
857,	1,	True	
859,	1,	Regular
863,	1,	True	
877,	1,	True	
881,	1,	True	
883,	1,	True	
887,	1,	Regular
907,	1,	True	
911,	1,	Regular
919,	1,	Regular
929,	1,	True	
937,	1,	Regular
941,	1,	True	
947,	1,	True	
953,	1,	True	
967,	1,	True	
971,	1,	Regular
977,	1,	True	
983,	1,	True	
991,	1,	Regular
997,	1,	Regular
1009,	1,	True	
1013,	1,	True	
1019,	1,	True	
1021,	1,	True	
1031,	1,	True	
1033,	1,	True	
1039,	1,	True	
1049,	1,	Regular
1051,	1,	True	
1061,	1,	True	
1063,	1,	True	
1069,	1,	Regular
1087,	1,	True	
1091,	1,	True	
1093,	1,	Regular
1097,	1,	True	
1103,	1,	True	
1109,	1,	True	
1117,	1,	True	
1123,	1,	True	
1129,	1,	True	
1151,	1,	True	
1153,	1,	Regular
1163,	1,	True	
1171,	1,	Regular
1181,	1,	True	
1187,	1,	True	
1193,	1,	True	
1201,	1,	True	
1213,	1,	True	
1217,	1,	True	
1223,	1,	Regular
1229,	1,	True	
1231,	1,	Regular
1237,	1,	True	
1249,	1,	Regular
1259,	1,	True	
1277,	1,	Regular
1279,	1,	True	
1283,	1,	Regular
1289,	1,	True	
1291,	1,	True	
1297,	1,	True	
1301,	1,	Regular
1303,	1,	Regular
1307,	1,	True	
1319,	1,	True	
1321,	1,	True	
1327,	1,	Regular
1361,	1,	Regular
1367,	1,	True	
1373,	1,	True	
1381,	1,	Regular
1399,	1,	True	
1409,	1,	True	
1423,	1,	True	
1427,	1,	True	
1429,	1,	True	
1433,	1,	Regular
1439,	1,	Regular
1447,	1,	True	
1451,	1,	True	
1453,	1,	True	
1459,	1,	Regular
1471,	1,	True	
1481,	1,	True	
1483,	1,	Regular
1487,	1,	True	
1489,	1,	True	
1493,	1,	True	
1499,	1,	True	
1511,	1,	Regular
1523,	1,	True	
1531,	1,	True	
1543,	1,	Regular
1549,	1,	True	
1553,	1,	True	
1559,	1,	True	
1567,	1,	True	
1571,	1,	True	
1579,	1,	True	
1583,	1,	True	
1597,	1,	True	
1601,	1,	True	
1607,	1,	True	
