p,	e,	result
2,	1,	x^50 + x^49 + x^21 + x + 1	3 * 11 * 31 * 251 * 601 * 1801 * 4051
2,	2,	x^100 + x^99 + x^9 + x + 1	3 * 5^3 * 11 * 31 * 41 * 101 * 251 * 601 * 1801 * 4051 * 8101 * 268501
2,	3,	x^150 + x^149 + x^70 + x^2 + 1	3^2 * 7 * 11 * 31 * 151 * 251 * 331 * 601 * 1801 * 4051 * 100801 * 10567201 * 1133836730401
2,	4,	Regular
2,	5,	x^250 + x^249 + x^115 + x + 1	3 * 11 * 31 * 251 * 601 * 1801 * 4051 * 229668251 * 269089806001 * 4710883168879506001 * 5519485418336288303251
2,	6,	x^300 + x^299 + x^62 + x^14 + 1	3^2 * 5^3 * 7 * 11 * 13 * 31 * 41 * 61 * 101 * 151 * 251 * 331 * 601 * 1201 * 1321 * 1801 * 4051 * 8101 * 63901 * 100801 * 268501 * 10567201 * 13334701 * 1182468601 * 1133836730401
2,	7,	True	3 * 11 * 31 * 43 * 71 * 127 * 251 * 281 * 601 * 1051 * 1801 * 4051 * 39551 * 86171 * 110251 * 122921 * 60816001 * 347833278451 * 34010032331525251 * 535347624791488552837151
2,	8,	Regular
2,	9,	True	3^3 * 7 * 11 * 19 * 31 * 73 * 151 * 251 * 331 * 601 * 631 * 1801 * 4051 * 23311 * 100801 * 115201 * 617401 * 10567201 * 18837001 * 1348206751 * 4714696801 * 1133836730401 * 13861369826299351 * 281941472953710177758647201
2,	10,	True	
2,	11,	True	
2,	12,	Regular
2,	13,	True	
2,	14,	True	
2,	15,	True	
2,	16,	Regular
3,	1,	x^50 + x^49 + x^29 + 2	2^3 * 11^2 * 61 * 151 * 8951 * 391151 * 22996651
3,	2,	x^100 + x^99 + 2*x^6 + 2*x + 2	2^4 * 5^3 * 11^2 * 61 * 101 * 151 * 1181 * 8951 * 391151 * 394201 * 22996651 * 61070817601
3,	3,	x^150 + x^149 + x^21 + 2*x + 2	2^3 * 7 * 11^2 * 13 * 31 * 61 * 151 * 271 * 601 * 2551 * 4561 * 8951 * 9601 * 26251 * 119101 * 391151 * 1530601 * 22996651 * 2098303812601
3,	4,	Regular
3,	5,	True	2^3 * 11^2 * 61 * 151 * 251 * 2251 * 8951 * 100501 * 391151 * 22996651 * 358291751 * 14781691751 * 391632555001 * 989947158849251 * 2278135721427929786778229917312351656251
3,	6,	True	
3,	7,	True	
3,	8,	Regular
3,	9,	True	
3,	10,	True	
5,	1,	Regular
5,	2,	Regular
5,	3,	Regular
5,	4,	Regular
5,	5,	Regular
5,	6,	Regular
7,	1,	x^50 + x^49 + 5*x^8 + 3	2^4 * 3 * 11 * 191 * 2551 * 2801 * 31280679788951 * 79787519018560501
7,	2,	x^100 + 2*x^99 + 2*x^11 + 5	2^5 * 3 * 5^4 * 11 * 101 * 191 * 281 * 2551 * 2801 * 4021 * 13001 * 25301 * 31280679788951 * 79787519018560501 * 38327966300231909291101
7,	3,	True	2^4 * 3^2 * 11 * 19 * 31 * 43 * 151 * 191 * 2551 * 2801 * 29251 * 159871 * 6568801 * 6005492312551 * 31280679788951 * 79787519018560501 * 7021370289199888801 * 217648180992721729506406538251
7,	4,	Regular
7,	5,	True	
11,	1,	Regular
11,	2,	Regular
11,	3,	Regular
11,	4,	Regular
13,	1,	x^50 + x^49 + 6*x^2 + 11	2^3 * 3 * 7 * 11 * 101 * 701 * 2411 * 9851 * 30941 * 57751 * 2752135920929651 * 3258254426373251
13,	2,	x^100 + x^99 + 9*x^6 + 6	2^4 * 3 * 5^3 * 7 * 11 * 17 * 101 * 421 * 601 * 641 * 701 * 2411 * 9851 * 30941 * 57751 * 1253653901 * 26771688828701 * 2752135920929651 * 3258254426373251 * 2152338940237584453701
13,	3,	True	
13,	4,	Regular
17,	1,	x^50 + x^49 + 3*x^2 + 5	2^5 * 3^2 * 11 * 71 * 101 * 2551 * 5351 * 88741 * 26278001 * 11330289301 * 4064228544226537005066401
17,	2,	True	2^6 * 3^2 * 5^3 * 11 * 29 * 71 * 101 * 2551 * 5351 * 5801 * 21881 * 63541 * 88301 * 88741 * 26278001 * 373207301 * 11330289301 * 4064228544226537005066401 * 17280974612770188922074220577701
17,	3,	True	
19,	1,	x^50 + x^49 + 6*x + 14	2^3 * 3^2 * 5^3 * 11 * 101 * 151 * 911 * 1601 * 2251 * 6451 * 79151 * 127051 * 747596648084101 * 36035657195482151
19,	2,	Regular
19,	3,	True	
23,	1,	x^50 + x^49 + 2*x + 21	2^4 * 3 * 11 * 31 * 41 * 101 * 211 * 6551 * 56951 * 292561 * 1068701 * 279175761283651 * 261968569374120475321751
23,	2,	True	
23,	3,	True	
29,	1,	x^50 + x^49 + 5*x^2 + 15	2^3 * 3 * 5^3 * 7 * 11 * 31 * 151 * 401 * 732541 * 5902439266151 * 198587315383901 * 35398913504384285261362997701
29,	2,	Regular
29,	3,	True	
31,	1,	Regular
31,	2,	Regular
31,	3,	Regular
37,	1,	x^50 + x^49 + 13*x + 35	2^3 * 3^2 * 11 * 19 * 41 * 101 * 2801 * 4271 * 25951 * 332951 * 1824841 * 2141401 * 245482016086923528751 * 416085303355584502351
37,	2,	True	
37,	3,	True	
41,	1,	Regular
41,	2,	Regular
41,	3,	Regular
43,	1,	x^50 + 3*x^49 + 18	2^3 * 3 * 7 * 11 * 101 * 3341101 * 3500201 * 4624318461389381883708744315401 * 467056170954468301850494793701001
43,	2,	True	
47,	1,	x^50 + x^49 + 2*x + 35	2^5 * 3 * 11 * 23 * 31 * 101 * 251 * 1951 * 14621 * 30851 * 36451 * 1420151 * 4174151 * 4778021 * 1732383120852310351 * 13400982391355740651
47,	2,	True	
53,	1,	x^50 + x^49 + 13*x + 31	2^3 * 3^3 * 11 * 13 * 131 * 151 * 751 * 1301 * 2011 * 3851 * 5581 * 10501 * 42451 * 6829441351 * 50987694101 * 116957184401 * 349256553039169443901
53,	2,	True	
59,	1,	x^50 + x^49 + 2*x + 38	2^3 * 3 * 5^3 * 11 * 29 * 41 * 151 * 181 * 33851 * 2383081 * 8394128753651 * 919375876855271401 * 52248067027835787286773384144131401
59,	2,	Regular
61,	1,	Regular
61,	2,	Regular
67,	1,	x^50 + 2*x^49 + 46	2^3 * 3 * 11 * 17 * 151 * 421 * 761 * 26881 * 47161 * 64951 * 6385901 * 269918801 * 655658951 * 19470889601 * 51157605951627299966057589688751
67,	2,	True	
71,	1,	Regular
71,	2,	Regular
73,	1,	x^50 + x^49 + x + 15	2^4 * 3^2 * 11 * 37 * 131 * 151 * 1901 * 19441 * 160751 * 2246201 * 28792661 * 4325401928085456016477853201 * 760898226137569525999135855001
73,	2,	True	
79,	1,	x^50 + 2*x^49 + 29	2^5 * 3 * 5^3 * 11 * 13 * 101 * 151 * 641 * 1091 * 2351 * 10651 * 681251 * 4493551 * 39449441 * 4888896851 * 12255372035351 * 45220376158151 * 507462482721001
79,	2,	Regular
83,	1,	x^50 + x^49 + 73	2^3 * 3 * 7 * 11 * 41 * 151 * 401 * 1951 * 10631 * 2327551 * 48037081 * 92673191278001 * 7391482887442501 * 123396993431156712980914532600062951
83,	2,	True	
89,	1,	x^50 + x^49 + 3*x + 56	2^4 * 3^2 * 5^3 * 11 * 31 * 131 * 601 * 691 * 701 * 8101 * 43151 * 400291 * 3802641100328251 * 255690619312203871750351 * 925605996716440548672556751
89,	2,	Regular
97,	1,	x^50 + x^49 + 3*x + 56	2^6 * 3 * 7^2 * 11 * 31 * 101 * 3931 * 22291 * 262321 * 488700001 * 6808853110601 * 1634249573288071001 * 53841024058423007561487815324533951201
97,	2,	True	
101,	1,	Regular
101,	2,	Regular
103,	1,	x^50 + x^49 + x + 35	2^4 * 3 * 11 * 13 * 17 * 701 * 1171 * 95191 * 10332211 * 10928101 * 8151355651 * 56592946951 * 577700122751 * 3582676889101 * 44598886554623988985262651
103,	2,	True	
107,	1,	x^50 + x^49 + 80	2^3 * 3^3 * 11 * 41 * 53 * 101 * 151 * 211 * 2851 * 7901 * 108401 * 627091 * 1851587248801 * 138405843068999094980513051 * 45181454037244659701655250094701
107,	2,	True	
109,	1,	x^50 + x^49 + 6	2^3 * 3^3 * 5^3 * 11 * 31 * 191 * 4801 * 24061 * 393401 * 669701 * 27974981 * 315696107101 * 93992579148143730601 * 16737053602769127391163480880991201
109,	2,	Regular
113,	1,	x^50 + x^49 + 3*x + 70	2^5 * 3 * 7 * 11 * 19 * 41 * 61 * 251 * 59581 * 64621 * 3578951 * 5088701 * 30833851 * 4011216270906751 * 205200499847359364701 * 28727166489811602305912351
113,	2,	True	
127,	1,	x^50 + 3*x^49 + 45	2^8 * 3^2 * 7 * 11 * 41 * 151 * 21101 * 89101 * 212801 * 572311 * 262209281 * 678846861844951 * 92564905412519951 * 373933551512831586851376055846423651
127,	2,	True	
131,	1,	Regular
131,	2,	Regular
137,	1,	x^50 + x^49 + x + 90	2^4 * 3 * 11 * 17 * 23 * 71 * 101 * 881 * 3251 * 5591 * 9151 * 319411 * 1551701 * 3040503551 * 117521622390457326495085642501 * 1784291588578488595269342256095151
137,	2,	True	
139,	1,	x^50 + 2*x^49 + 22	2^3 * 3 * 5^3 * 7 * 11 * 23 * 31 * 41 * 181 * 1201 * 72551 * 9170881 * 195669101 * 2262673906612451 * 79596165091116451 * 3274777384716261551 * 1255337371776356384101
139,	2,	Regular
149,	1,	x^50 + x^49 + 10	2^3 * 3 * 5^4 * 11 * 37 * 61 * 251 * 691 * 2851 * 2861 * 4651 * 145931 * 25880401 * 113306794751 * 3549624213731551 * 111064373596771201 * 11039593195011078176434021601
149,	2,	Regular
151,	1,	Regular
151,	2,	Regular
157,	1,	x^50 + x^49 + 73	2^3 * 3 * 11 * 13 * 31 * 79 * 101 * 251 * 601 * 371851 * 739301 * 1793161 * 603727801 * 3667990892434067166979168327164451 * 446167603864356673433474489102401951
157,	2,	True	
163,	1,	True	2^3 * 3^4 * 11 * 31 * 41 * 61 * 1051 * 1301 * 1601 * 11501761 * 398776202766301 * 418234773219960218351099351 * 175287960537637489955312336589638705088563101
163,	2,	True	
