p,	r,	result
2,	1,	x^74 + x^73 + x^37 + x^2 + 1	3 * 223 * 1777 * 25781083 * 616318177
2,	2,	x^148 + x^147 + x^3 + x + 1	3 * 5 * 149 * 223 * 593 * 1777 * 25781083 * 184481113 * 231769777 * 616318177
2,	3,	x^222 + x^221 + x^112 + x + 1	3^2 * 7 * 223 * 1777 * 3331 * 17539 * 321679 * 25781083 * 26295457 * 319020217 * 616318177 * 107775231312019
2,	4,	Regular
2,	5,	x^370 + x^369 + x^53 + x + 1	3 * 11 * 31 * 223 * 1481 * 1777 * 25781083 * 28136651 * 616318177 * 1587855697992791 * 7248808599285760001152755641 * 778429365397887608540618330873281
2,	6,	x^444 + x^443 + x^214 + x + 1	3^2 * 5 * 7 * 13 * 149 * 223 * 593 * 1777 * 3109 * 3331 * 17539 * 321679 * 25781083 * 26295457 * 184481113 * 231769777 * 319020217 * 616318177 * 1398316729 * 4345052821 * 107775231312019 * 1453030298001690873541
2,	7,	True	3 * 43 * 127 * 223 * 1777 * 25781083 * 616318177 * 2499285769 * 1456235596904319041738812533139 * 107636344217840413139193500838915409 * 21234370960880098806027750185552713706866970578963970119
2,	8,	Regular
2,	9,	True	3^3 * 7 * 19 * 73 * 223 * 1777 * 1999 * 3331 * 10657 * 17539 * 169831 * 304363 * 321679 * 1238761 * 25781083 * 26295457 * 36085879 * 199381087 * 319020217 * 616318177 * 698962539799 * 9853387597819 * 107775231312019 * 31031320083857011 * 4096460559560875111 * 1270593144646505233013326197403
2,	10,	True	
2,	11,	True	
2,	12,	Regular
2,	13,	True	
2,	14,	True	
2,	15,	True	
2,	16,	Regular
2,	17,	True	
3,	1,	x^74 + x^73 + 2*x^19 + x + 2	2^3 * 18427 * 107671 * 13097927 * 56737873 * 17189128703
3,	2,	Regular
3,	3,	x^222 + x^221 + x^99 + 2	2^3 * 7 * 13 * 223 * 18427 * 107671 * 13097927 * 18702169 * 25709599 * 56737873 * 78539161 * 119779213 * 17189128703 * 64326272436179833 * 6962353413269964253
3,	4,	Regular
3,	5,	True	2^3 * 11^2 * 61 * 2221 * 17761 * 18427 * 35521 * 107671 * 146891 * 13097927 * 56737873 * 228082801 * 10322251861 * 17189128703 * 49804972211 * 87841814842081 * 4183611889192231 * 1654235911196704741 * 55223513719943993551 * 282595984982093378351221
3,	6,	Regular
3,	7,	True	
3,	8,	Regular
3,	9,	True	
3,	10,	Regular
5,	1,	x^74 + x^73 + 2*x^54 + 2	2^3 * 3 * 149 * 9103 * 29010221 * 13971969971 * 8737481256739 * 45920153384867
5,	2,	x^148 + x^147 + 4*x^6 + 3	2^4 * 3 * 13 * 149 * 9103 * 9769 * 40849 * 29010221 * 13971969971 * 8737481256739 * 45920153384867 * 510241095096183757930733363918820917976121
5,	3,	x^222 + x^221 + 2*x^5 + 3	2^3 * 3^2 * 7 * 31 * 149 * 223 * 3109 * 5107 * 9103 * 668221 * 13844587 * 29010221 * 107903101 * 13971969971 * 8737481256739 * 45920153384867 * 221746234901611997486023 * 54928520946880307112306785731407655242899973469
5,	4,	Regular
5,	5,	True	
5,	6,	True	
5,	7,	True	
7,	1,	Regular
7,	2,	Regular
7,	3,	Regular
7,	4,	Regular
7,	5,	Regular
7,	6,	Regular
11,	1,	x^74 + x^73 + 2*x^6 + 8	2^3 * 3 * 5 * 2591 * 36855109 * 136151713 * 2615418118891695851 * 2691614274040036601 * 10527743181888260981
11,	2,	Regular
11,	3,	True	
11,	4,	Regular
13,	1,	x^74 + x^73 + 9*x^2 + 6	2^3 * 3 * 7 * 223 * 1481 * 21017 * 152219 * 67495678093 * 1548921490187 * 4287755796749 * 31964044249933 * 10626791079749447
13,	2,	x^148 + x^147 + 9*x^2 + 11	2^4 * 3 * 5 * 7 * 17 * 149 * 223 * 1481 * 21017 * 152219 * 67495678093 * 1548921490187 * 4287755796749 * 31964044249933 * 1738568407946597 * 10626791079749447 * 613735291639671522765908606069959851453062958262028210920934089
13,	3,	True	
13,	4,	Regular
17,	1,	x^74 + x^73 + 5*x^2 + 11	2^5 * 3^2 * 149 * 223 * 1481 * 2591 * 172683287783 * 1016919604559540581 * 6218882581209875638403 * 281880352305551730895009697
17,	2,	True	2^6 * 3^2 * 5 * 29 * 149 * 223 * 1481 * 2591 * 172683287783 * 194296461049 * 1017719645617 * 1649702304713 * 1016919604559540581 * 6218882581209875638403 * 3805112685822988789997017 * 281880352305551730895009697 * 31401907642819255826324699129
17,	3,	True	
17,	4,	Regular
19,	1,	x^74 + x^73 + 8*x + 10	2^3 * 3^2 * 5 * 149 * 3588174588084451 * 21406757809476033811281103559 * 10300379826060720504760427912621791994517454717
19,	2,	True	2^4 * 3^2 * 5 * 149 * 181 * 593 * 1009361 * 3849970177 * 3588174588084451 * 19406602558617444383054581 * 21406757809476033811281103559 * 10300379826060720504760427912621791994517454717 * 2621499681069932048839478858359689009641643288781
19,	3,	True	
19,	4,	Regular
23,	1,	x^74 + x^73 + 4*x + 14	2^4 * 3 * 11 * 593 * 1925658337781 * 10445744467953088708693 * 1628263171508931784019729 * 5713839242138307627889538424597962861
23,	2,	True	2^5 * 3 * 5 * 11 * 53 * 149 * 593 * 571873 * 65887757401 * 1925658337781 * 10445744467953088708693 * 1628263171508931784019729 * 5713839242138307627889538424597962861 * 19692162406531325433055282541272864232456449863223225642655178005226902629974341
23,	3,	True	
29,	1,	x^74 + x^73 + 10*x + 21	2^3 * 3 * 5 * 7 * 149 * 1259 * 9769 * 13913 * 24603599107 * 19085335524481 * 182401761659414020505610936016307 * 899419285187525657599958117409050779
29,	2,	True	
29,	3,	True	
31,	1,	x^74 + x^73 + 10*x + 21	2^6 * 3 * 5 * 149 * 4219 * 152597832677 * 257803457371 * 386626708057 * 52812493022953 * 969963587051157584202299 * 488064548082098022956156062559
31,	2,	True	
31,	3,	True	
37,	1,	Regular
37,	2,	Regular
37,	3,	Regular
41,	1,	x^74 + x^73 + 2*x + 6	2^4 * 3 * 5 * 7 * 223 * 1259 * 1481 * 18131 * 1966350929587743049062089653861757958962611094209 * 8906922594974482624566205944454413657194714412015680819
41,	2,	Regular
41,	3,	True	
43,	1,	x^74 + x^73 + 9*x + 34	2^3 * 3 * 7 * 11 * 670811 * 9109553699 * 11795676517 * 12857916473 * 1097982497857379 * 902262173255076222109 * 11309675751385682184001 * 392278670244313775322559
43,	2,	True	
43,	3,	True	
47,	1,	Regular
47,	2,	Regular
47,	3,	Regular
53,	1,	Regular
53,	2,	Regular
59,	1,	x^74 + x^73 + 34*x + 30	2^3 * 3 * 5 * 29 * 223 * 1777 * 4219 * 85020707743 * 990116455919 * 17395041510811891 * 516712893585521659973267554759 * 25083147886815209619227003534040326735952683748221
59,	2,	True	
61,	1,	x^74 + 2*x^73 + 26	2^3 * 3 * 5 * 31 * 149 * 688867 * 2025952207539438008204327 * 88483310099281534490868158423041 * 19013087418896543607659206142267856546797091624826498592389251997
61,	2,	True	
67,	1,	x^74 + x^73 + 3*x + 28	2^3 * 3 * 11 * 17 * 149 * 607097 * 17350559 * 32370404083 * 116221985603 * 26485640651567 * 288869657925297336228900132462079193 * 6646238222884336050852535753133467823361617737
67,	2,	Regular
71,	1,	Regular
71,	2,	Regular
73,	1,	x^74 + x^73 + 11	2^4 * 3^2 * 37^2 * 149 * 1777 * 20129 * 12144289 * 408645381163562173 * 9937068079521195804733363899717981872049877 * 14840647824290526973548855618162380642921634938022140461
73,	2,	Regular
79,	1,	x^74 + x^73 + 35	2^5 * 3 * 5 * 13 * 593 * 7549 * 102595199900702981 * 27629773909361414119716419 * 12754861599657075107697469341341435808283 * 263084900789781031252054610310611582440158602453
79,	2,	True	
83,	1,	Regular
83,	2,	Regular
89,	1,	x^74 + x^73 + x + 46	2^4 * 3^2 * 5 * 11 * 1481 * 921079 * 3105041 * 28925639 * 44478737 * 8090368571 * 53025666928225013361727 * 2345628306482488482010403 * 41406353222000471441065548008594883520305186322397011
89,	2,	True	
97,	1,	x^74 + x^73 + x + 23	2^6 * 3 * 7^2 * 2887 * 293017357 * 295315435769 * 59050431899402327248471 * 22411903071927958016696141 * 337507116686293990049793563249167463387817822419468016366663340756115941
97,	2,	True	
101,	1,	x^74 + 2*x^73 + 42	2^3 * 3 * 5^2 * 17 * 1999 * 2221 * 2887 * 11471 * 275066876202623893829603 * 2011651135354867839016761583 * 109835479184934140751718043275112754661 * 229107053859712562986811744594328490567951
101,	2,	Regular
103,	1,	x^74 + x^73 + 84	2^4 * 3 * 13 * 17 * 149 * 223 * 3257 * 9103 * 125181921098979574500365291 * 255408405635195619122759910799 * 338234308123794643183756022273864344817 * 788557249790932385691852845984640725221
103,	2,	True	
107,	1,	Regular
107,	2,	Regular
109,	1,	x^74 + x^73 + 4*x + 44	2^3 * 3^3 * 5 * 11 * 2591 * 3923 * 647398177 * 243921354057313 * 34218273027014767 * 995309568661550063695233580057386307707058100503 * 9057766586713846275063638613129747866622164083957969
109,	2,	True	
113,	1,	x^74 + x^73 + x + 68	2^5 * 3 * 7 * 19 * 149 * 44623 * 120473 * 25689402076363 * 3922914143324205674237980073912165023710042170497 * 82164532059904939917487035097771458271804140310352688400187236361098038661
113,	2,	True	
127,	1,	Regular
127,	2,	Regular
131,	1,	x^74 + 2*x^73 + 85	2^3 * 3 * 5 * 11 * 13 * 3257 * 51061 * 41743452763 * 115068379900767547 * 3300066938178506646361 * 261865440119340716337310191899 * 53015468619877998293317463652389 * 7587585779882906290476499604252831
131,	2,	True	
137,	1,	Regular
137,	2,	Regular
139,	1,	x^74 + x^73 + 56	2^3 * 3 * 5 * 7 * 23 * 593 * 44338211 * 481969919 * 2825081947691933 * 3054213311757945863 * 27317091960127376102939166261790304732951 * 6635450650407578709846399522870502037267501516780691299461309
139,	2,	Regular
149,	1,	Regular
149,	2,	Regular
151,	1,	x^74 + x^73 + 3*x + 93	2^4 * 3 * 5^2 * 19 * 2715592577557 * 405995073131417828901445268201975946187 * 6788638746888622235864756212194214164223 * 1028468933833384578069161765758190934959297365250088877345210379341
151,	2,	Regular
157,	1,	Regular
157,	2,	Regular
163,	1,	x^74 + 2*x^73 + 148	2^3 * 3^4 * 41 * 223 * 42296699 * 49358594683601491 * 69713600294098864983693541141 * 1172758918478175349805966433533 * 12727586291842274529338054396405431 * 3910906497332627368435111263563257004941
163,	2,	True	
167,	1,	x^74 + x^73 + 143	2^4 * 3 * 7 * 83 * 223 * 1259 * 83248346139050180999166452317788265831752031043393683716160387495785560868179 * 464403289904565810584555667726453150470883620966341542135789665393289758383627
167,	2,	True	
173,	1,	x^74 + x^73 + 8	2^3 * 3 * 29 * 43 * 149 * 41102783 * 3708608177020689127 * 744136349882720858968514849269339181 * 501793289526301632835052730918095419269510161 * 16251300442586113017133347684603184990668277773763069
173,	2,	Regular
179,	1,	x^74 + x^73 + 79	2^3 * 3^2 * 5 * 89 * 149 * 26641 * 27369271 * 264958037 * 430148903 * 45228380500883 * 403859677479462937847132290597514990165856916656804664297 * 7095684808479880684844646469756103438469799713570632195722663
179,	2,	True	
181,	1,	Regular
181,	2,	Regular
191,	1,	x^74 + x^73 + 44	2^7 * 3 * 5 * 19 * 149 * 223 * 1259 * 3257 * 425279 * 527399 * 161799151 * 615122411 * 437329395653 * 3367449839119 * 155015584499859886121618886385388346648925123 * 247083378176222619030563834191940715419265911223308036537
191,	2,	True	
193,	1,	True	2^7 * 3 * 97 * 223 * 1259 * 166723 * 6178853 * 21846059 * 863894131 * 2266440329 * 22225687621 * 1764551848826816705108684507 * 2874239007145852156634768431 * 260443492775365372798721619354968607959065916706859295231
193,	2,	True	
197,	1,	Regular
197,	2,	Regular
199,	1,	x^74 + 2*x^73 + 44	2^4 * 3^2 * 5^2 * 11 * 7919 * 51949 * 87758546423 * 316711889485136611183 * 213415224156066539775002201 * 106653159197672129950403027320381 * 12648296091246670019363476329443609229749705082080423726672588676563
199,	2,	True	
211,	1,	Regular
211,	2,	Regular
223,	1,	Regular
223,	2,	Regular
227,	1,	True	2^3 * 3 * 19 * 113 * 223 * 15319 * 41737 * 7456973119 * 67783601141 * 99381629078923 * 496088552081921009 * 28054790689073800485227 * 17109563141520417318812293363 * 25235688136248437472237122991137428425242336340383709773
227,	2,	True	
229,	1,	Regular
229,	2,	Regular
233,	1,	True	2^4 * 3^2 * 13 * 29 * 26575177 * 35745109 * 4341646453 * 108636566276003309872117 * 4233402923890209917232036085945897 * 25432703846907403872108381475962769 * 5837526930103568821669770402792313886826394027916902969
233,	2,	Regular
239,	1,	x^74 + x^73 + x + 103	2^5 * 3 * 5 * 7 * 17 * 223 * 18306121 * 6464553201479 * 686065607791282838045609 * 275090039781970635510288655227048928126297600660375133121383 * 352676279641716424203169504585910468260824951101088144211095167483
239,	2,	True	
241,	1,	x^74 + x^73 + 202	2^5 * 3 * 5 * 11^2 * 1259 * 7819061332621751 * 995977377634984226715679001629 * 5794147005004872577047531768714885757 * 56339788108446410217823225881825221679891156037937498590972662685228858353746655978721
241,	2,	True	
251,	1,	x^74 + x^73 + 5*x + 87	2^3 * 3^2 * 5^3 * 7 * 149 * 223 * 46993997 * 336438404388631283 * 4433888363650202391471980281 * 27398111902135488856927006728529 * 4952291907751271356572104472815025697 * 189131616323142967902600944314506496104382992977
251,	2,	True	
257,	1,	True	2^9 * 3 * 43 * 223 * 37660687541 * 538458485515151 * 1704994540585371691 * 28110293986279296850587233388175261693929050567978048504481811 * 1510976612417378261254393659438278696059314166698493968040980431857
257,	2,	True	
263,	1,	True	2^4 * 3 * 11 * 131 * 149 * 1481 * 2395461919 * 6716018371 * 174392134945909 * 8452882796375891338375577786350642189 * 436999576289754237796902293505941268479 * 754336181227597161377961152345682009538272936871312115278259
263,	2,	Regular
269,	1,	Regular
269,	2,	Regular
271,	1,	Regular
271,	2,	Regular
277,	1,	True	2^3 * 3 * 23 * 139 * 223 * 593 * 1259 * 2135197 * 26901517 * 10692176233 * 5089728825074759 * 19736181146558965541 * 101761933836993207721 * 140598390412311028235652552125010808414691 * 491314350240504260684947066133817345485508816737
277,	2,	True	
281,	1,	x^74 + x^73 + 186	2^4 * 3 * 5 * 7 * 47 * 149 * 593 * 42304541483 * 2206070574054871 * 2044141475067926430730354443042197905836551 * 11787186680247119006320964134046478587500819 * 1020215848236496382643707670226999038837635728848300859944913
281,	2,	True	
283,	1,	True	2^3 * 3 * 47 * 71 * 223 * 29279676997553161183456811 * 1170840490491512730832954525043 * 2412571141559162972421598759399 * 18313855127146208497313685607229326104630043023492817126165285994676951002382699024591661
283,	2,	True	
293,	1,	Regular
293,	2,	Regular
307,	1,	True	2^3 * 3^2 * 7 * 11 * 17 * 149 * 593 * 2015317 * 7540009 * 5639066623 * 4126473097864657 * 1136053993842616060761154998034617323 * 150888494379032797360118133643807087384221383711 * 22139617141809545754797359869934205381778492626028607
307,	2,	Regular
311,	1,	True	2^4 * 3 * 5 * 13 * 31 * 593 * 21894726913 * 11520980531794939 * 80580241388943307775593268196722877618293770288047026712407632545508211 * 24982751449739868790264082363695158157052628427308951010432170509043425019368437
311,	2,	True	
313,	1,	True	2^4 * 3 * 13 * 157 * 6661 * 74673031 * 889548992336233 * 9637223624236551163 * 496001166067871682287399843 * 163072747762875039437002169213 * 1385184514183084956550117156705944856722683074940478313961608167847184991782491
313,	2,	True	
317,	1,	True	2^3 * 3 * 53 * 79 * 149 * 820957 * 35631889 * 156120983 * 4993651721 * 881254040731925981 * 10250701879830330701 * 165886881154356854099651009290253117218536469871 * 234088124931641259980018059982630422507328200507304682905858221
317,	2,	Regular
331,	1,	True	2^3 * 3 * 5 * 11 * 83 * 149 * 223 * 14431 * 3631181 * 9536381 * 122028160061 * 299330642802956117 * 405896217546707597 * 8493994839939752559920519971 * 1436444320390291397906606399280142199 * 8911964167704949827111307682207401826712008049641
331,	2,	True	
337,	1,	True	2^5 * 3 * 7 * 13^2 * 149 * 593 * 1999 * 9547 * 6843373 * 4569401536859 * 2220079132450227287047 * 634446093735105394503925325947 * 1604164584512311276706312250340707879008829519917 * 819019734528721340842297859425905063957706670522251
337,	2,	Regular
347,	1,	True	2^3 * 3 * 29 * 149 * 173 * 17761 * 146669 * 1298942327825727743756745137843313493834328293210766688411841392928774286461345095961 * 1589073221147151107569849677889785182944551048776876835433158362372603927201304368457421
347,	2,	True	
349,	1,	Regular
349,	2,	Regular
353,	1,	True	2^6 * 3 * 11 * 59 * 593 * 17761 * 317609 * 2734819 * 69033121 * 200490569 * 116631307649 * 5409706007687 * 2345303418057852122612848356675258076681962649 * 14692627720878578739202546712520199574551561260355984574321960393962272081500249
353,	2,	True	
359,	1,	Regular
359,	2,	Regular
367,	1,	Regular
367,	2,	Regular
373,	1,	True	2^3 * 3 * 11 * 17 * 31 * 593 * 3889441 * 312194277626882123843 * 6493965205664325001783 * 16370561473484596398359 * 19244566633986307771403999927246138529086473 * 98807639454753801557210539732456528829647569853504697603039688530159
373,	2,	Regular
379,	1,	Regular
383,	1,	True	2^8 * 3 * 149 * 191 * 477671 * 11864051 * 1258361088742253 * 3332410061480582616403 * 991919415167687258981558353 * 1913096312129992064068367242961 * 2185148006840939149397534052074153 * 66605291925171226025977238550969837736176979
389,	1,	True	2^3 * 3 * 5 * 13 * 97 * 1259 * 1856069 * 2132311 * 2377198138172890259 * 20871392798443063120335294216698248292983 * 38985359607772654676618628176090175529964463037 * 310731594243439149400404274492297853430810719723113003617170928773
397,	1,	True	2^3 * 3^2 * 11 * 199 * 223 * 399379 * 4828723 * 109603843 * 12742232200073 * 748876861870013 * 6284598137302364979129450705245057 * 3422731962202746074731334333897096706512467 * 1340493614262526339666064159829009179529271358841356485280207
401,	1,	True	2^5 * 3 * 5^2 * 67 * 149 * 1223591 * 18410751721989693193 * 1193110729427553933011393390479 * 192705117986128033332024515189903195381 * 34588319775019034410021397840202596317027116728827823559944857072868363022212683317314925149
409,	1,	True	2^4 * 3 * 5 * 17 * 41 * 2591 * 6143 * 198885638699678274329 * 12444482925339929424553 * 3331584865385112466288672308724058856114219201403510095418508158973 * 843338026664075716331167081694821938246075892527531812041575802152856009
419,	1,	Regular
421,	1,	True	2^3 * 3 * 5 * 7 * 149 * 211 * 5107 * 11027 * 132563157571391 * 834006670026997130557 * 4267850821925541971414209755291872149411432139358113338396660741 * 224234408222796425035566009112541181844059745670506882450258278685195199013020471
431,	1,	True	2^5 * 3^3 * 5 * 43 * 149 * 223 * 593 * 83295895763 * 96176789621240891 * 44845232848972947701 * 9777307222102609328725129400160408106307 * 93389872469841262707468183722215798086889 * 744544668367647818765790665292910246891377962897653753
433,	1,	Regular
439,	1,	True	2^4 * 3 * 5 * 11 * 73 * 223 * 593 * 3923 * 9547 * 90281 * 1616827 * 9933613 * 8964740440076347447991127177546763073 * 2750617958137551731810665994471151009851 * 102156917408921892821862161188510856057421666478174591419174832595251339529295672071
443,	1,	True	2^3 * 3 * 13 * 17 * 37^2 * 149 * 122182733 * 73531931988623 * 46994329363244393111 * 84799713424454882863 * 36934688986272165638571687833 * 4279701852421618044184962379237145360291 * 1114060803378874197355968979948376528155194434447373651157
449,	1,	True	2^7 * 3^2 * 5^2 * 7 * 126097 * 582011 * 1670716427 * 1439557796866053690016819974900116002849765430649915031918380933612153338919845279 * 518765290274493148009812652624471391408545520966335442908649914052362052842751603822959667
457,	1,	True	2^4 * 3 * 19 * 229 * 1481 * 1999 * 2221 * 18652441 * 32101224027283 * 588332092850137 * 35084933024435827817076056038793794216169639626235426371915757397229913 * 4018385654902804816004997377565308438943282732524523798412446105409620407293
