p,	e,	result
2,	1,	x^6 + x^5 + x^4 + x + 1	3^2 * 7
2,	2,	Regular
2,	3,	x^18 + x^17 + x^5 + x + 1	3^3 * 7 * 19 * 73
2,	4,	Regular
2,	5,	True	3^2 * 7 * 11 * 31 * 151 * 331
2,	6,	Regular
2,	7,	True	
2,	8,	Regular
2,	9,	True	
3,	1,	Regular
3,	2,	Regular
3,	3,	Regular
3,	4,	Regular
3,	5,	Regular
5,	1,	x^6 + x^5 + 2	2^3 * 3^2 * 7 * 31
5,	2,	Regular
5,	3,	True	
7,	1,	Regular
7,	2,	Regular
7,	3,	Regular
11,	1,	x^6 + x^5 + x + 7	2^3 * 3^2 * 5 * 7 * 19 * 37
11,	2,	Regular
13,	1,	Regular
13,	2,	Regular
17,	1,	x^6 + x^5 + 3	2^5 * 3^3 * 7 * 13 * 307
17,	2,	Regular
19,	1,	Regular
19,	2,	Regular
23,	1,	x^6 + x^5 + 7	2^4 * 3^2 * 7 * 11 * 13^2 * 79
23,	2,	Regular
29,	1,	True	2^3 * 3^2 * 5 * 7 * 13 * 67 * 271
31,	1,	Regular
37,	1,	Regular
41,	1,	True	
43,	1,	Regular
47,	1,	True	
53,	1,	True	
59,	1,	True	
61,	1,	Regular
67,	1,	Regular
71,	1,	True	
73,	1,	Regular
79,	1,	Regular
83,	1,	True	
89,	1,	True	
97,	1,	Regular
101,	1,	True	
103,	1,	Regular
107,	1,	True	
109,	1,	Regular
113,	1,	True	
127,	1,	Regular
131,	1,	True	
137,	1,	True	
139,	1,	Regular
149,	1,	True	
151,	1,	Regular
157,	1,	Regular
163,	1,	Regular
167,	1,	True	
173,	1,	True	
179,	1,	True	
181,	1,	Regular
191,	1,	True	
193,	1,	Regular
197,	1,	True	
199,	1,	Regular
211,	1,	Regular
223,	1,	Regular
227,	1,	True	
229,	1,	Regular
233,	1,	True	
239,	1,	True	
241,	1,	Regular
251,	1,	True	
257,	1,	True	
263,	1,	True	
269,	1,	True	
271,	1,	Regular
277,	1,	Regular
281,	1,	True	
283,	1,	Regular
293,	1,	True	
307,	1,	Regular
311,	1,	True	
313,	1,	Regular
317,	1,	True	
331,	1,	Regular
337,	1,	Regular
347,	1,	True	
349,	1,	Regular
353,	1,	True	
359,	1,	True	
367,	1,	Regular
373,	1,	Regular
379,	1,	Regular
383,	1,	True	
389,	1,	True	
397,	1,	Regular
401,	1,	True	
409,	1,	Regular
419,	1,	True	
421,	1,	Regular
431,	1,	True	
433,	1,	Regular
439,	1,	Regular
443,	1,	True	
449,	1,	True	
457,	1,	Regular
461,	1,	True	
463,	1,	Regular
467,	1,	True	
479,	1,	True	
487,	1,	Regular
491,	1,	True	
499,	1,	Regular
503,	1,	True	
509,	1,	True	
521,	1,	True	
523,	1,	Regular
541,	1,	Regular
547,	1,	Regular
557,	1,	True	
563,	1,	True	
569,	1,	True	
571,	1,	Regular
577,	1,	Regular
587,	1,	True	
593,	1,	True	
599,	1,	True	
601,	1,	Regular
607,	1,	Regular
613,	1,	Regular
617,	1,	True	
619,	1,	Regular
