p,	r,	result
2,	1,	x^68 + x^67 + x^21 + x + 1	3 * 5 * 137 * 953 * 26317 * 43691 * 131071
2,	2,	x^136 + x^135 + x^45 + x + 1	3 * 5 * 17^2 * 137 * 953 * 26317 * 43691 * 131071 * 354689 * 2879347902817
2,	3,	x^204 + x^203 + x^179 + x^4 + 1	3^2 * 5 * 7 * 13 * 103 * 137 * 307 * 409 * 953 * 2143 * 2857 * 3061 * 6529 * 11119 * 13669 * 26317 * 43691 * 131071 * 1326700741
2,	4,	x^272 + x^271 + x^202 + x^2 + 1	3 * 5 * 17^2 * 137 * 257 * 953 * 26317 * 43691 * 131071 * 354689 * 383521 * 2368179743873 * 2879347902817 * 373200722470799764577
2,	5,	x^340 + x^339 + x^255 + x + 1	3 * 5^2 * 11 * 31 * 41 * 137 * 953 * 1021 * 4421 * 26317 * 43691 * 131071 * 550801 * 23650061 * 7226904352843746841 * 9520972806333758431 * 26831423036065352611
2,	6,	x^408 + x^407 + x^335 + x^10 + 1	3^2 * 5 * 7 * 13 * 17^2 * 103 * 137 * 241 * 307 * 409 * 953 * 2143 * 2857 * 3061 * 6529 * 8161 * 11119 * 13669 * 26317 * 43691 * 131071 * 354689 * 40932193 * 1326700741 * 1467129352609 * 2879347902817 * 737539985835313
2,	7,	True	3 * 5 * 29 * 43 * 113 * 127 * 137 * 239 * 953 * 2381 * 9521 * 20231 * 26317 * 42841 * 43691 * 131071 * 823481 * 823679683 * 62983048367 * 131105292137 * 536296539263941 * 143162553165560959297 * 18292898984156916156396101
2,	8,	Regular
2,	9,	True	3^3 * 5 * 7 * 13 * 19 * 37 * 73 * 103 * 109 * 137 * 307 * 409 * 613 * 919 * 953 * 2143 * 2857 * 3061 * 6529 * 11119 * 13669 * 26317 * 43691 * 123931 * 131071 * 2582029 * 4260133 * 318194713 * 1326700741 * 26159806891 * 27439122228481 * 12458723489217613 * 238495197879143209 * 75582488424179347083438319
2,	10,	True	
2,	11,	True	
2,	12,	True	
2,	13,	True	
2,	14,	True	
2,	15,	True	
2,	16,	Regular
2,	17,	True	
3,	1,	x^68 + x^67 + x^51 + 2	2^4 * 5 * 103 * 307 * 1021 * 1871 * 34511 * 956353 * 1743831169
3,	2,	x^136 + x^135 + x^37 + 2*x + 2	2^5 * 5 * 41 * 103 * 137 * 307 * 1021 * 1871 * 34511 * 956353 * 1743831169 * 6458150122561 * 3833564416504313
3,	3,	x^204 + x^203 + 2*x^78 + 2*x + 2	2^4 * 5 * 7 * 13 * 73 * 103 * 307 * 409 * 613 * 1021 * 1871 * 12853 * 30091 * 34511 * 956353 * 49637281 * 129159847 * 1743831169 * 99810171997 * 187668407555352123529
3,	4,	x^272 + x^271 + 2*x^56 + 2*x^3 + 2	2^6 * 5 * 17^2 * 41 * 103 * 137 * 193 * 307 * 1021 * 1871 * 34511 * 956353 * 5641553 * 23229617 * 1743831169 * 6458150122561 * 3833564416504313 * 2670091735108484737 * 1981703105982814843334309489
3,	5,	True	2^4 * 5^2 * 11^2 * 61 * 103 * 307 * 1021 * 1181 * 1531 * 1871 * 34511 * 224401 * 956353 * 7674481 * 1743831169 * 2663568851051 * 862970652262943171 * 13271362257832586268931 * 1706953634650967930299490233845839250457448201276787601
3,	6,	True	2^5 * 5 * 7 * 13 * 41 * 73 * 103 * 137 * 307 * 409 * 613 * 1021 * 1871 * 6481 * 12853 * 30091 * 34511 * 956353 * 49637281 * 129159847 * 1743831169 * 99810171997 * 6458150122561 * 3833564416504313 * 187668407555352123529 * 53958784909638588059956801 * 221200680720606092053543425481471681
3,	7,	True	
3,	8,	True	
3,	9,	True	
3,	10,	True	
5,	1,	x^68 + x^67 + x^13 + 3	2^4 * 3 * 13 * 409 * 1973 * 3061 * 20129 * 45289 * 41540861 * 466344409 * 12447002677
5,	2,	x^136 + x^135 + 4*x^45 + 2	2^5 * 3 * 13 * 137 * 313 * 409 * 1973 * 3061 * 20129 * 45289 * 623017 * 41540861 * 466344409 * 12447002677 * 938894988049 * 1361753880209 * 4959636586609
