p, e, n, C1, C2, C3, C4, C5, C6
2, 1, 102, False, False, False, False, False, x^102 + x^6 + x^5 + x^3 + 1
2, 2, 102, False, True, True,,,
2, 3, 102, False, True, True,,,
2, 4, 102, False, True, True,,,
2, 5, 102, True, True, True,,,
3, 1, 102, False, False, False, False, False, x^102 + x^5 + x^3 + x^2 + x + 2
3, 2, 102, False, False, False, False, False, x^204 + x^6 + x^4 + x^2 + x + 2
3, 3, 102, False, False, False, False, False, x^306 + x^6 + x^5 + x^3 + x + 2
5, 1, 102, False, True, True,,,
5, 2, 102, False, True, True,,,
7, 1, 102, False, True, True,,,
7, 2, 102, False, True, True,,,
11, 1, 102, False, True, True,,,
13, 1, 102, False, True, True,,,
19, 1, 102, False, True, True,,,
23, 1, 102, False, True, True,,,
29, 1, 102, True, True, True,,,
31, 1, 102, False, True, True,,,
37, 1, 102, False, True, True,,,
41, 1, 102, True, True, True,,,
43, 1, 102, False, True, True,,,
47, 1, 102, True, True, True,,,
53, 1, 102, True, True, True,,,
59, 1, 102, True, True, True,,,
61, 1, 102, False, True, True,,,
67, 1, 102, False, True, True,,,
71, 1, 102, True, True, True,,,
73, 1, 102, True, True, True,,,
79, 1, 102, True, True, True,,,
83, 1, 102, True, True, True,,,
89, 1, 102, True, True, True,,,
97, 1, 102, True, True, True,,,
101, 1, 102, True, True, True,,,
2, 1, 104, False, False, False, False, False, x^104 + x^9 + x^8 + x^6 + x^5 + x^4 + x^3 + x^2 + 1
2, 2, 104, False, False, False, False, False, x^208 + x^8 + x^7 + x^6 + x^4 + x + 1
2, 3, 104, False, False, False, False, False, x^312 + x^10 + x^9 + x^8 + x^6 + x^4 + 1
5, 1, 104, False, False, False, True,,
5, 2, 104, False, True, True,,,
7, 1, 104, False, True, True,,,
7, 2, 104, False, True, True,,,
11, 1, 104, False, True, True,,,
17, 1, 104, False, True, True,,,
19, 1, 104, False, True, True,,,
23, 1, 104, False, True, True,,,
31, 1, 104, True, True, True,,,
37, 1, 104, False, True, True,,,
41, 1, 104, False, True, True,,,
43, 1, 104, True, True, True,,,
47, 1, 104, True, True, True,,,
59, 1, 104, True, True, True,,,
67, 1, 104, True, True, True,,,
71, 1, 104, True, True, True,,,
73, 1, 104, False, True, True,,,
83, 1, 104, True, True, True,,,
89, 1, 104, True, True, True,,,
97, 1, 104, True, True, True,,,
101, 1, 104, True, True, True,,,
103, 1, 104, True, True, True,,,
